file,pages,bytes,sha256,decision,reasons,text_hits,blank_pages,empty_contents_pages,low_text_pages_reported,sample_right_edge_pages
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",102,1086756,8ff72082180fac18e994185683d256af6107427c4abe6b2680d91192181f3e8f,PASS,,,,[],[],
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",75,650790,d82f2881cc48c4a9ea78910a2240a37b7096430ef88c4664ff90268b18f42298,PASS,,,,[],[],
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,20,133286,ea06ad4672a830765e5703f7284debb7c4851e95db4a0bea22124d5befc99c16,PASS,,,,[],[],
10-09 English Translation - Bhaskara II - Lilavati.pdf,23,150722,21b814a160385feee1778190a5b4a12df793d93c7ce61d5b680b437ea3623274,PASS,,,,[],[],
"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",72,830787,1a0bd0015fd34ce23145c369cbea306fef90baaba98f88c97e06c33dc6a5a327,PASS,,,,[],[],
40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,116,661269,b6a582b865be2292738aee80fdf08f4c600ef1fda11e862cbaa1b0691317d84d,PASS,,,,[],[],
"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",101,1146689,d98d6ebe3640f5dcb31addb128c18d963c52810d0f37422b393e129b598b0cf8,PASS,,,,[],[],
40-06 Chinese Original - Sunzi Suanjing.pdf,32,262001,01b72afc55d99d39f3e7ec5c548fb0e58eb9a4c6295f3413dade8a23cc043b9d,PASS,,,,[],[],
"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",88,832417,32968af0e1a8eb655f8df515968a769a3a4a1eadd3433757904b086b81740199,PASS,,,,[],[],
"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",50,3190784,f9bad6a30a501bdcc7c2e196e8f33ec87eaadce8b438a761c160742be4bc7726,PASS,,,,[],[],
50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,18,152321,81b3a4b7e8692e814a9821448a72e4b33881e1291ba6199c78a0bdd38ed755c4,PASS,,,,[],[],
50-03 Indian Original - Bhaskara II - Lilavati.pdf,14,138825,dca0df12047fcb4e5ef77371605d8d56d0ea7465e5693bd08698d5df8d86b077,PASS,,,,[],[],
60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,60,350387,1b11adddf217e30e296532252d42a0c1d243e985136c038e31d6b1993ca6cd5e,PASS,,,,[],[],
