"coverage_record_id","candidate_id","lineage_group","structural_unit","observed_body_state","measured_evidence","uncertainty_or_contradiction","classification","legacy_row_number","supersedes_legacy_composite_key"
"COV-001","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","Exposé I opening and I.1","substantive partial-control text","I.1 has 8 nonblank body lines plus opening sentence","I.1 contains an explicit unsure marker for canularesque and omits simply Delta","control_only_not_reviewed","2","JM_29ac35d|Exposé I opening and I.1"
"COV-002","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","I.2","substantive but unresolved","17 nonblank body lines","contains missing text and completelyunsure markers","incomplete_control","3","JM_29ac35d|I.2"
"COV-003","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","I.3","substantive but unresolved","65 nonblank body lines","multiple unsure/completelyunsure markers and malformed expressions","incomplete_control","4","JM_29ac35d|I.3"
"COV-004","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","I.4","substantive but unresolved","65 nonblank body lines","unresolved wording remains","incomplete_control","5","JM_29ac35d|I.4"
"COV-005","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","I.5","abandoned start","5 nonblank body lines","ends after theorem and 'Recall what radical means:'","fragment","6","JM_29ac35d|I.5"
"COV-006","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","I.6-I.11","absent","no section headings or bodies","README boxes unchecked","absent","7","JM_29ac35d|I.6-I.11"
"COV-007","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","VI.0","substantive control text","14 nonblank body lines","not source-reviewed here","control_only","8","JM_29ac35d|VI.0"
"COV-008","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","VI.1","substantive control text","22 nonblank body lines","not source-reviewed here","control_only","9","JM_29ac35d|VI.1"
"COV-009","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","VI.2-VI.7","heading-only stubs","zero body lines after each heading","headings do not establish translation coverage","stubs","10","JM_29ac35d|VI.2-VI.7"
"COV-010","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","VI.8","substantive control text","124 nonblank body lines","not source-reviewed here","control_only","11","JM_29ac35d|VI.8"
"COV-011","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","VI.9-VI.13","absent","no headings or bodies","README boxes unchecked","absent","12","JM_29ac35d|VI.9-VI.13"
"COV-012","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","II-V and VIII-XIII","title-only chapter stubs","chapter files are 128-185 bytes","compiled PDF cannot expand this coverage","stubs","13","JM_29ac35d|II-V and VIII-XIII"
"COV-013","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","Foreword and introduction","substantive editable control text","4523-byte foreword; 15766-byte introduction","author says drafts are not generally fully proofread","control_only","14","TH_c4fd0e8|Foreword and introduction"
"COV-014","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","I.1-I.11","substantive editable control text","eleven non-stub Forester unit files","same translator lineage as JM chapter I; not independent corroboration","control_only_not_independent","15","TH_c4fd0e8|I.1-I.11"
"COV-015","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","II.1-II.5","heading-only stubs","133; 159; 142; 164; 141 bytes respectively","STATUS incorrectly marks II.1-II.3 checked","stubs_status_overclaim","16","TH_c4fd0e8|II.1-II.5"
"COV-016","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","III-XIII","absent","no SGA1 unit bodies in tree","STATUS presents planned headings only","absent","17","TH_c4fd0e8|III-XIII"
"COV-017","JCR_RECOVERED","JCREINHOLD_LLM_LINEAGE","full SGA1-looking TeX/PDF","broad apparent coverage","1026712-byte TeX and 321-page PDF","header says LLM-generated snapshot and not mathematically proofed; no unitwise provenance/source audit","control_only_coverage_unproven","18","JCR_RECOVERED|full SGA1-looking TeX/PDF"
"COV-018","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA1 front matter, Exposes I-XIII, explicit Expose VII absence, index and glossary","self-described complete readable Markdown translation","19 Markdown files in current expanded upstream archive","one LLM-generated target-language lineage; not independent corroboration; no unitwise French/formula/structure audit supplied","control_only_requires_unit_matching","19","JCR_CURRENT_e7a259f|SGA1 front matter, Exposes I-XIII, explicit Expose VII absence, index and glossary"
"COV-019","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA2","self-described complete readable Markdown translation","20 Markdown files","outside this task's source cursor; control-only for SGA-wide normalization","control_only","20","JCR_CURRENT_e7a259f|SGA2"
"COV-020","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA3","self-described complete readable Markdown translation","36 Markdown files including VI_A/B and VII_A/B","outside assigned production scope; no SGA3 range assigned; control-only","control_only","21","JCR_CURRENT_e7a259f|SGA3"
"COV-021","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA4 Tome I front matter plus Exposes I-IV and indices/ledger","partial OCR-derived Markdown translation","9 Markdown files; root README does not present SGA4 as a completed volume","image-only-scan OCR basis; notation and diagrams explicitly suspect","partial_control_only","22","JCR_CURRENT_e7a259f|SGA4 Tome I front matter plus Exposes I-IV and indices/ledger"
"COV-022","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.7","absent","12973-byte Exposé I chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.7","repository and chapter filenames do not establish body coverage","absent_verified","23","JM_29ac35d|SGA1 I.7"
"COV-023","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.7","substantive target-language control","12058-byte tree SHA 934172CFF13378BDE495776DD14A24747728ECB35E69A9C7E6749AB8B9D98C1D spans the bounded unit","correlated with JM lineage and contains hierarchy terminology and source-defect regressions","control_only_source_compared","24","TH_c4fd0e8|SGA1 I.7"
"COV-024","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA1 I.7","substantive current Markdown control","whole file 68737 bytes SHA 9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A; I.7 slice lines 478-660 is 10103 bytes SHA 9690E08683FAC96C532224DDE20C028E2F5D0DF01E4AFC4AEF69365EE27B0438","one LLM lineage; omits diagram and corrupts some notation; never source evidence","control_only_source_compared","25","JCR_CURRENT_e7a259f|SGA1 I.7"
"COV-025","JCR_LEGACY_LOCAL","JCREINHOLD_LLM_LINEAGE","SGA1 I.7","stale TeX-conversion control","whole file 1026712 bytes SHA 231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0; I.7 slice lines 1123-1342 is 10564 bytes SHA 429B071884FDE21DFFE88362F1412956077E2A201958B1C9483C76073D389D1A","same lineage as current Markdown and contains poor conversion constructs; no independent agreement","stale_control_only_source_compared","26","JCR_LEGACY_LOCAL|SGA1 I.7"
"COV-026","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.8","absent","12973-byte Expose I chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.8","repository and chapter filenames do not establish body coverage","absent_verified","27","JM_29ac35d|SGA1 I.8"
"COV-027","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.8","substantive target-language control","6504-byte tree SHA 15785A4D60E40820D1352D58176D6171174F3A5E3697E359ADEDAB0CBFEA2632 spans I.8; normalized slice SHA F8B93309511786146223C9D6ED396D0F9A1BAE64540750ED32F710E7FEE35A05","correlated with JM lineage and contains title hierarchy formula and source-defect regressions","control_only_source_compared","28","TH_c4fd0e8|SGA1 I.8"
"COV-028","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA1 I.8","substantive current Markdown control","whole file 68737 bytes SHA 9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A; I.8 slice lines 661-762 is 5907 bytes SHA C7AB0D2DB1148C9CB2A01A41830E0616A868FF85825517DE973EC047ED5DEFA4","one LLM lineage; source defects and Markdown formula rendering require direct French audit","control_only_source_compared","29","JCR_CURRENT_e7a259f|SGA1 I.8"
"COV-029","JCR_LEGACY_LOCAL","JCREINHOLD_LLM_LINEAGE","SGA1 I.8","stale TeX-conversion control","whole file 1026712 bytes SHA 231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0; I.8 slice lines 1343-1476 is 6415 bytes SHA 1D14682262C334E442D6F70E12FE74B9F850BA2CDE3B9142B1A479577B45C738","same lineage as current Markdown and contains poor conversion constructs; no independent agreement","stale_control_only_source_compared","30","JCR_LEGACY_LOCAL|SGA1 I.8"
"COV-030","JM_29ac35d","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.9 opening through I.9.1","absent","12973-byte Expose I chapter SHA 5607E758966B31A5DB558C33506CB0A60413F7295B0F506F7215888C65CFF8B3 stops before I.9","repository and chapter filenames do not establish body coverage","absent_verified","31","JM_29ac35d|SGA1 I.9 opening through I.9.1"
"COV-031","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.9 opening through I.9.1","substantive target-language control","whole tree 15101 bytes SHA F1CA86515D3821F025F03C37702F26C0143A81369B0BA95BE944CA724B458587; lines 1-45 are 2451 bytes SHA AAA66BDD2793369D43928BAB2CDEE14DEEA209410E6C0AACC7962A42E6807A43","correlated with JM lineage and contains heading terminology gr bullet and uppercase K regressions","control_only_source_compared","32","TH_c4fd0e8|SGA1 I.9 opening through I.9.1"
"COV-032","JCR_CURRENT_e7a259f","JCREINHOLD_LLM_LINEAGE","SGA1 I.9 opening through I.9.1","substantive current Markdown control","whole file 68737 bytes SHA 9F9D34E6D38B5730E9C3A248245AB775CB342EBA524D134CF317FDB00FC7541A; lines 763-801 are 2177 bytes SHA CCD8D102315730A29A3462926C2F49F9C152E57B2DDA9448B1030DE2B521F7C8","one LLM lineage; formula is plaintext gr* and emphasis structure require direct French audit","control_only_source_compared","33","JCR_CURRENT_e7a259f|SGA1 I.9 opening through I.9.1"
"COV-033","JCR_LEGACY_LOCAL","JCREINHOLD_LLM_LINEAGE","SGA1 I.9 opening through I.9.1","stale TeX-conversion control","whole file 1026712 bytes SHA 231178EAD9F0F73959342018FC1998277D1FBAA12AE25655B180B0833899FCC0; lines 1477-1525 are 2325 bytes SHA 472F3A2E27827B4ECD85E1673900961CB6A0AF6FD978517B6BD51F3E6641F062","same lineage as current Markdown and contains malformed Pandoc formula constructs; no independent agreement","stale_control_only_source_compared","34","JCR_LEGACY_LOCAL|SGA1 I.9 opening through I.9.1"
"COV-034","TH_c4fd0e8","HOSGOOD_DERIVATIVE_LINEAGE","SGA1 I.9.3","substantive target-language control","whole tree 15101 bytes SHA F1CA86515D3821F025F03C37702F26C0143A81369B0BA95BE944CA724B458587; lines 69-93 are 1693 bytes SHA 5F1DA660C443FA638BEFE2C4A4551EB24752E87495C2C6B220EA8AF22F3FCB5D","correlated with the jmoellermath translator lineage; page marker omitted and terminology requires direct French audit","control_only_source_compared","35","TH_c4fd0e8|SGA1 I.9.3"
