"adverse_id","unit","candidate_or_pressure","observed_form_or_claim","risk","selected_response","evidence","status"
"A-001","I opening","Hosgood derivative lineage","starting from section I.2","resolves source boundary ambiguity and may shift applicability","retain literal after no. I.2","French line 566 and independent source-first review","rejected"
"A-002","I.1 heading","Hosgood derivative lineage","Basics of differential calculus","flattens source register","Notions of differential calculus","French line 568","rejected"
"A-003","I.1 first sentence","Hosgood derivative lineage","omits or simply Delta and says prescheme on Y","notation loss and nonstandard relation","retain or simply Delta and over Y","French lines 570-573 plus notation index","rejected"
"A-004","I.1 parenthetical","Hosgood derivative lineage","misleading hypothesis","softens canularesque from hoax/farce register","farcical","French line 579 and dictionary evidence","rejected"
"A-I02-001","I.2 proposition condition (iii)","jcreinhold LLM candidate","completion `Â` of A","broken formula glyph from Markdown conversion","use explicit completion \\widehat A","French lines 620-621","rejected"
"A-I02-002","I.2 fiber sentence","original print and French TeX versus target candidates","original print and French line 636 have f^{-1}(x); jcreinhold silently changes to f^{-1}(f(x)); Hosgood derivative prints the source form","source defect could be silently normalized or reproduced as a type error","print type-correct f^{-1}(f(x)) and disclose the source-original f^{-1}(x) in an editorial note","Wstein scan SHA-256 B97308E4DA3542CDCA400FD965B59033F8E236D76D0B7102F8D76FEFB8ADB7E0 physical p.19/printed p.2; French line 636; morphism typing","closed_source_defect_disclosed"
"A-I02-003","I.2 closing remark","Hosgood derivative lineage","polysyllogism","rare target-language choice obscures the explicit implication-chain context and is not a source fact","chain of implications","French lines 649-651; SGA5 convention at an explicit implication chain; target-language register review","rejected"
"A-I02-004","I.2 publication gate","successful compile alone","treat compiled four-page PDF as a closed checkpoint","compile does not prove source, formula, ledger, or visual closure","require exact source-span hash, original-print adjudication, per-unit ledgers, final rebuild, full render, and independent frozen review","lane publication rules and completed I.2 gate sequence","rejected"
"A-005","I.1 parenthetical","jcreinhold control","farcical here","adds location adverb absent from source","omit here","French lines 577-581","rejected"
"A-006","I.1 notation","editorial mathematical repair pressure","change O_{X times X} to O_{X times_Y X}","silently rewrites authoritative notation","preserve O_{X times X}","exact French line 580","rejected"
"A-007","I.1 formula layout","jcreinhold control","principal-parts equality displayed","changes source paragraph and emphasis","retain inline equality","French lines 588-590","rejected"
"A-008","I.1 formula typography","JM control","mathscr P","changes source calligraphic family","mathcal P","French line 589","rejected"
"A-009","I.1 terminology","Hosgood derivative lineage","British neighbourhood","conflicts with manager-controlled SGA English baseline","US neighborhood","shared baseline counts","rejected"
"A-010","I.1 logic term","Hosgood derivative lineage","polysyllogism","unnecessary replacement of an available English technical cognate","singular sorites","French line 600 and lexical review","rejected"
"A-011","I.1 ending","Hosgood derivative lineage","use it for something helpful","changes saying something useful into instrumental use","speak of it when there is something useful to say","French lines 601-603","rejected"
"A-012","I.1 ending","jcreinhold control","namely with smooth morphisms","adds an exclusivity/identification marker absent from source","in connection with smooth morphisms","French lines 602-603","rejected"
"A-013","candidate provenance","initial inventory assumption","JM and Thosgood treated as two controls","creates false corroboration","record one Hosgood derivative lineage","Git history and blame","corrected"
"A-014","candidate coverage","Thosgood STATUS","II.1-II.3 checked","status overstates zero-body stub files","record stubs and contradiction","tracked file contents and byte counts","corrected"
"A-015","candidate quality","jmoellermath README and TeX","Google Translate sufficient; unsure/completelyunsure markers","candidate cannot support certification or source alignment","use only as adverse/terminology control","README and tracked TeX","controlled"
"A-016","candidate rights","Thosgood site and repo","public Git repository but no root translation license; personal-use notice","verbatim reuse/publication risk","do not copy; translate from French and send rights caveat to archive maintainer","website and tracked tree","controlled"
"A-017","inherited control","jcreinhold full-looking TeX/PDF","apparent complete volume","filename/page count may be mistaken for source-aligned completeness","control-only until unitwise French comparison","internal provenance header","controlled"
"A-018","SGA5 packaging","mutable shared control","historical SGA5 SHA ledger pointed to later-modified WITNESS_MANIFEST.csv","38/39 drift could be hidden by rewriting a historical freeze","preserve the historical control; replace it with payload-scoped hashes in the independently audited SGA5 r1 candidate","SGA5 manager decision ENGGER-SGA5-20260718-0015 and exact r1 public-package custody handoff","resolved_by_sga5_replacement_handoff"
"A-019","candidate provenance and scope","current jcreinhold/sga e7a259f","self-described complete readable LLM translation of SGA1 with CC BY 4.0 translation license","broad editable coverage can be mistaken for source-audited corroboration or an independent agreement signal","prefer current Markdown over stale Pandoc conversions only as a wording/terminology candidate; require unit-matched French formula and structure audit before reuse","archive SHA-256 978FB9CE9313F0AAED37E945234A0E2A11234321366E3713747FDFEB5BC40636; upstream README and LICENSE; 19-file SGA1 inventory","controlled"
"A-020","I.3 terminology","French net ou non ramifié","literal net as the unexplained running English term or complete erasure of net","either choice loses historical source information or modern target clarity","retain both in heading/definition and use unramified thereafter","French lines 653 and 690-706; SGA-wide normalization protocol","working_pending_manager_review"
"A-021","I.3 Proposition I.3.5","Hosgood lineage","An immersion and composites/base changes are ramified","reverses all three mathematical assertions","reject; translate all three as unramified","French lines 749-755","rejected"
"A-022","I.3 Corollary I.3.4","French TeX and original print","graph Gamma_g target X times_Y X","ill-typed and contradicted by the immediately following pullback domain X' times_Y X","use X' times_Y X with immediate source-defect footnote","French lines 724-736; Wstein scan SHA-256 B97308E4DA3542CDCA400FD965B59033F8E236D76D0B7102F8D76FEFB8ADB7E0 physical p.20/printed p.3","closed_source_defect_disclosed_independent_pass"
"A-023","I.3 Proposition I.3.7","Hosgood lineage","residue extension trivial with kappa(A) algebraically closed","collapses the source's logical disjunction and strengthens the hypothesis","retain trivial OR algebraically closed","French lines 774-780","rejected"
"A-024","I.3 Proposition I.3.7","current jcreinhold Markdown","widehat A rendered twice as Â","encoding corruption destroys the completion formula","use explicit widehat A and widehat B TeX","French lines 778-780","rejected"
"A-025","I.3 Definition I.3.2 footnote","candidate range regrets remorse or omission","modernize away Grothendieck's remords","silently erases source voice","retain the regrets with exact Exposé III no.1.2 reference","French line 706","working_selected_independent_pass"
"A-026","I.3 source index","working reader without index machinery","omit five index commands silently","loses exact cumulative apparatus and prevents later restoration audit","record five row-level restoration debts and retain notation label","French lines 692 696 739 742 743","controlled_deferred"
"A-027","I.3 Corollary I.3.4 proof","French TeX and original print","pullback map g times_Y id_X' from X' times_Y X to X times_Y X","the identity factor has domain X' but must act on the X factor, so the displayed map is ill-typed","use g times_Y id_X on the source-stated domain and disclose it together with the graph-target defect","French lines 732-736; Wstein scan SHA-256 B97308E4DA3542CDCA400FD965B59033F8E236D76D0B7102F8D76FEFB8ADB7E0 physical p.20/printed p.3; domain-codomain typing","closed_source_defect_disclosed_independent_pass"
"A-028","I.3 Corollaries I.3.6(iv)","initial working normalization","fiber product of two unramified morphisms","adds a common relative base that the source sentence does not state","use Cartesian product and reserve fiber product for explicit relative products","French lines 764-772; independent source-syntax review; external candidates are comparison controls only","working_source_precision_closed_independent_pass"
"A-029","I.4 source pagination p.5","French TeX marker at lines 830-834 and both external candidates","page 5 begins in or after the proof of I.4.2","contradicts the original printed page which continues through the I.4.6 statement","place the page 5 marker before the proof of I.4.6 at line 873","French lines 830-873; original-print physical pp.21-22/printed pp.4-5","working_source_pagination_correction_independent_pass"
"A-030","I.4 source pagination p.6","French TeX marker at lines 943-946 and Hosgood lineage","page 6 begins after the opening word of the closing remark","splits the original printed remark across a false boundary","place the page 6 marker before the complete plain unnumbered remark","French lines 942-951; original-print physical p.23/printed p.6","working_source_pagination_correction_independent_pass"
"A-031","I.4 Proposition I.4.10","French TeX original print and Hosgood lineage","trace pairing defines an isomorphism B onto B","an A-bilinear form induces B to its A-dual and the printed target is ill-typed","use B to B-dual with an immediate source-defect footnote","French lines 918-940; original-print physical p.22/printed p.5; bilinear-form typing","working_source_defect_disclosed_independent_pass"
"A-032","I.4 Definition I.4.9","literal French composé fini and Hosgood finite composition","finite composition of finite separable extensions","suggests a tower or a single field and excludes a general finite commutative separable algebra","use finite product of finite separable extensions and record the terminology adjudication","French lines 910-916 and later clarification composée directe at lines 2064-2069","working_terminology_adjudication_independent_pass"
"A-033","I.4 Proposition I.4.6 proof","external English candidates","Latinize multiplodoque as multiplodocus or add an unverified historical translator note","silently replaces a deliberate French nonce word or imports source-external commentary","retain the italic French form multiplodoque without the external note","French line 877; candidates are controls only","working_selected_independent_pass"
"A-034","I.4 section title","first-pass normalization pressure","join the two source title clauses with and","changes the source's deliberate two-part heading punctuation","retain Étale morphisms. Étale coverings","French line 800","working_selected_independent_pass"
"A-035","I.4 Definition I.4.9 source index","bounded reader without index machinery","omit four source index commands silently","loses cumulative terminology apparatus and restoration trace","record four row-level restoration debts","French lines 812 and 900-902","controlled_deferred"
"A-036","I.4 Proposition I.4.6(iii)","literal elliptic rendering pressure","Base change as a fragment only","leaves the mathematical assertion unstated in English","expand to A base change of an étale morphism is étale while preserving item number","French lines 863-870; parallel assertions i-ii and proof at 873-875","working_selected_independent_pass"
"A-037","I.4 Proposition I.4.10","modernizing pressure","finite locally free covering of rank n","changes the source register and suppresses Grothendieck's parenthetical complaint about the missing definition","retain flat covering of degree n and the parenthetical comment","French lines 918-923","working_selected_independent_pass"
"A-038","I.4 opening notice first reviewed draft","internal first-pass placement","put the Exposé IV footnote after the sentence period","changes the source note attachment and leaves punctuation outside its authority position","move the footnote before the final period and use if necessary for s'il y a lieu","French lines 802-804; independent source/register audit","closed_failed_draft_corrected_independent_pass"
"A-039","I.4 closing remark first reviewed draft","internal first-pass environment-name interpretation","print a superscript star in the Remark heading","mistakes newtheorem-star syntax for visible source content","print plain unnumbered Remark and preserve the failed draft only as revision history","French lines 942-950; sga1-smf.sty lines 188-191; original-print physical p.23/printed p.6","closed_failed_draft_corrected_independent_pass"
"A-040","I.5 Theorem I.5.1","jmoellermath partial candidate","radical for radiciel","changes the technical term and mathematical meaning","select radicial and retain its residue-field and universal-base-change definition","French lines 955-970; established SGA terminology","rejected"
"A-041","I.5 Theorem I.5.1 proof 1","original branches and literal-copy pressure","en; f-prime; feminine fermée","imports three source-marked defects into the English proof","follow the active corrected on f and fermé branches and translate the homeomorphism as onto Y","French lines 968-985; corrected-source conditionals","working_selected"
"A-042","I.5 Theorem I.5.1 proof 2","inherited jcreinhold TeX conversion","Â for widehat A","corrupts a completion symbol in a central formula","use widehat A at every occurrence and retain B tensor_A widehat A","French lines 998-1000; TeX formula check","rejected"
"A-043","I.5 Theorem I.5.5","Thosgood candidate","Hom_{S0}(X0,Y0) as target","reverses source and target arguments and changes the theorem","retain Hom_S(Y,X) to Hom_{S0}(Y0,X0)","French lines 1055-1064; variance check","rejected"
"A-044","I.5 Scholium","Thosgood candidate","repeats the theorem and omits the fully faithful full-subcategory and later-equivalence assertions","deletes the categorical content of the Scholium","translate the entire source Scholium as an unnumbered paragraph","French lines 1071-1083","rejected"
"A-045","I.5 Corollary I.5.6","inherited jcreinhold TeX conversion","linear text in place of the commutative square","destroys the four-arrow diagram and triangle condition","render a two-by-two TeX diagram with both horizontal arrows left and both vertical arrows down","French lines 1098-1108; rendered visual review","rejected"
"A-046","I.5 Corollary I.5.6 title","Thosgood candidate","Extension of liftings","weakens the source theorem-title register","select Extension theorem for liftings","French lines 1092-1096","rejected"
"A-047","I.5 Proposition I.5.7","literal typo pressure","preschemes of finite types","reproduces the source grammar defect type finis","use preschemes of finite type without changing the mathematical hypothesis","French line 1124; grammatical adjudication","working_selected"
"A-048","I.5 Corollaries I.5.3 I.5.8","candidate and historical terminology pressure","net as unexplained running English terminology","obscures the established English term after the synonym has already been declared","use unramified in running prose while retaining net in the terminology and index ledgers","French lines 1023 and 1146; normalization N-016 and N-024","working_selected"
"A-049","I.5 Corollary I.5.8","modern editorial cleanup pressure","delete the parenthetical that the result should move to I.3","silently removes source editorial evidence","retain the parenthetical exactly in translated form","French lines 1141-1147","rejected"
"A-050","I.5 Corollary I.5.8 proof","notation drift","k(g(x)) beside the established kappa notation","creates inconsistent residue-field notation in one proof","render the source field as kappa(g(x)) consistently","French lines 1150-1151; SGA1 notation baseline","working_selected"
"A-051","I.5 Corollary I.5.3","French TeX original print and all observed complete candidates","projection X_i to Y is an isomorphism equivalently surjective and radicial by I.5.1","omits the étale hypothesis required by I.5.1 and is false for a nilpotent closed immersion","use surjective étale and radicial in the body with an immediate source-defect footnote and explicit counterexample","French lines 1023-1029; Wstein physical 24 printed p.7; Theorem I.5.1; Spec(k) to Spec(k[epsilon]/epsilon^2)","closed_source_defect_corrected_disclosed_independent_pass"
"A-052","I.6 editorial opening","Thosgood target-language control","This section; get away without much difficulty","modernizes the source unit term and loses the explicit economic idiom à meilleur compte","retain This number and here one can get by more cheaply","French lines 1171-1177; original physical 26 printed p.9; independent source review","rejected_independent_pass"
