"check_id","source_lines","source_item","english_item","comparison_result","editorial_action","status"
"FS-I093-001","1722","Unheaded bridge Cela equivaut au","One standalone bridge sentence: This is equivalent to the following corollary","match","Keep the bridge outside the theorem environment and attach it to the bounded unit","closed_source_build_render_independent_pass"
"FS-I093-002","1723-1732","Corollary environment with label I.9.3 and one reducedness equivalence","Exact numbered corollary hierarchy and label retained","match","Do not flatten the hierarchy or hide the number in a comment","closed_source_build_render_independent_pass"
"FS-I093-003","1725-1731","Map f colon A to B; local etale homomorphism; B isomorphic to a localization of a finite-type A-algebra; A reduced iff B reduced","Every ring role finite-type hypothesis and logical equivalence retained","match after candidate regression rejection","Reject the malformed localized A-algebra of an A-algebra construction","closed_source_build_render_independent_pass"
"FS-I093-004","1725-1730","Original print breaks page 16 after B etant isomorphe; page 17 begins a une; corrected TeX marker is shifted after isomorphe a une","Target margin marker is placed after isomorphic and before to a localization","match against original-print pagination control","Select the exact original-print boundary; do not use the shifted TeX marker as the visual break","closed_source_build_render_independent_pass"
"FS-I093-005","1734-1735","Necessity proves B reduced implies A reduced by faithful-flat injectivity; sufficiency assumes A reduced","Explicit target directions read If B is reduced, then A is reduced; Conversely, suppose that A is reduced","match with direction made explicit","Replace bare necessity and sufficiency labels by explicit hypotheses without changing the logic","closed_source_build_render_independent_pass"
"FS-I093-006","1736-1748","orig=false branch selects mathfrak p_i; A maps injectively to product_i A/p_i; flat tensoring gives B maps injectively to product_i B/p_iB; quotient maps remain etale","Exact symbols mathfrak p_i, p_iB, products, quotient rings, flatness, and etale bases retained","match against corrected branch","Reject inactive plain-p branch and jcreinhold p_{iB} corruption","closed_source_build_render_independent_pass"
"FS-I093-007","1749-1753","A integral; K field of fractions; A to K and B to B tensor_A K injective; reduction to reducedness of the tensor product","Integral domain and field of fractions selected; both maps and the flatness implication retained","match after terminology normalization","Use integral domain and field of fractions consistently with SGA-wide English controls","closed_source_build_render_independent_pass"
"FS-I093-008","1753-1756","B is a localization and local ring at x of X=Spec(C), with X finite type and etale over Y=Spec(A); B tensor_A K localizes C tensor_A K","Exact scheme ring point morphism and tensor roles retained","match","Keep etale attached to X over Y and retain every localization object","closed_source_build_render_independent_pass"
"FS-I093-009","1755-1759","Suitable multiplicatively stable set; X tensor_A K etale over K; finite product of fields separable over K; same for B tensor_A K","Multiplicatively closed set; finite product of fields that are finite separable extensions of K; same conclusion for B tensor_A K","match after source-safe English normalization","Reject stable set, omission of separability, and any claim that the product itself is one field","closed_source_build_render_independent_pass"
"FS-I093-010","1759-1761","Source closes with cqfd, retains blank line 1760, and begins Corollary I.9.4 at excluded line 1761","This proves the corollary; no proof wrapper or QED glyph; blank separator retained; next corollary excluded","match and cursor fixed","Set the continuation cursor to exact excluded line 1761 and preserve its line hash","closed_source_build_render_independent_pass"
