ordinal,relative_path,bytes,sha256,baseline_match,custody_state,notes
1,AUTHORITY_ARTIFACT_LEDGER.csv,1284,A43075811ED55217E52BF2CA019AD8F261F0E41544175E391E5AEC3EFE4C9C3D,true,restricted_superseded_predecessor,not copied into R2
2,AUXILIARY_LEDGER_VALIDATION.json,1602,CFE0D31FCA8CAEAAED1B1A18822E41DB2C6E5BC551A7CEC481DBC9F00A302C43,true,restricted_superseded_predecessor,not copied into R2
3,BUILD_PASS1.log,7329,E165C0717B70F0BCBCEE721D0183D405EDDF41C1AD5B33F5E606CC3FDD853298,true,restricted_superseded_predecessor,not copied into R2
4,BUILD_PASS1_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
5,BUILD_PASS2.log,7329,E165C0717B70F0BCBCEE721D0183D405EDDF41C1AD5B33F5E606CC3FDD853298,true,restricted_superseded_predecessor,not copied into R2
6,BUILD_PASS2_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
7,BUILD_PASS3.log,7329,E165C0717B70F0BCBCEE721D0183D405EDDF41C1AD5B33F5E606CC3FDD853298,true,restricted_superseded_predecessor,not copied into R2
8,BUILD_PASS3_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
9,DETERMINISTIC_REPLAY_VALIDATION.json,2934,61AB1EDA5B05ED53A25E81F298BD16FE50713D2E08510579381B00CD30370B69,true,restricted_superseded_predecessor,not copied into R2
10,FINAL_VALIDATION.json,5561,0C9EEF51DF175947A929EC2548D94B1D1E97018698C5C85F597DA7EAD1BDDAC8,true,restricted_superseded_predecessor,not copied into R2
11,FORMULA_DIAGRAM_STRUCTURE_LEDGER.csv,2021,9D1515D435CA94B6754CB47F40128B67116183480C9DD539F2CA98755927E29D,true,restricted_superseded_predecessor,not copied into R2
12,JCREINHOLD_LINES446_466_UTF8_LF.md,1889,0C4088E8BAFB02005D23E5EA4FBB743F4E5BA9B22A444BFCE643A5354C9DB4A5,true,restricted_superseded_predecessor,not copied into R2
13,MACHINE_EVIDENCE.csv,16186,8C719940815B56A4700B176A8A2DCAD3292DDE8267309AE50EF30ED531E7952B,true,restricted_superseded_predecessor,not copied into R2
14,MACHINE_EVIDENCE.jsonl,44694,8BD53F300E5A523BD107345A49306B73B2B7F301B93524B49B3ABB27BCDA4D89,true,restricted_superseded_predecessor,not copied into R2
15,MACHINE_LEDGER_VALIDATION.json,676,1C77A8475B5C4E10F033697C3C7C1BDB1728FF5F9E6FB155BF0E8A90F73AC277,true,restricted_superseded_predecessor,not copied into R2
16,PRIVACY_SCAN.csv,228,2ED083B3D508C84E3DDDF60C536457423933958F1D144CBE023EE3E3577DD7DB,true,restricted_superseded_predecessor,not copied into R2
17,PRIVACY_SCAN_VALIDATION.json,693,0D59DE2B7C8A5369D46C1B7939C250BE854A9DBEEC35331AE34EAED3B195E2A5,true,restricted_superseded_predecessor,not copied into R2
18,PRODUCER_PASS_RETURN.md,2812,8CA2E9DC384484E457E0FAD521A1846B8594DC4A73756E2D9C070FCEE6AEDDB9,true,restricted_superseded_predecessor,not copied into R2
19,RENDERED_VISUAL_QA.md,2608,38C5F504222247C2378E3F04AE57EF32EB4AD8A30EB0B0834BEE80BBBC229431,true,restricted_superseded_predecessor,not copied into R2
20,REPLAY_BASELINE.json,2834,D7011C560349C06E09A3149A12CD57EEC2BBDBD867A6A37B290F4AA5B03428D6,true,restricted_superseded_predecessor,not copied into R2
21,RIGHTS_AND_RELEASE_LEDGER.csv,1876,59A0C2112E5C860C6C487BD7B965C70CE0E8F02A76497B61A960B7AEE3D2AF94,true,restricted_superseded_predecessor,not copied into R2
22,RIGHTS_AND_RELEASE_VALIDATION.json,384,B0E9738FCE194DEC81716727A58F51421A7A7351699F91D51A52CB265DF1A398,true,restricted_superseded_predecessor,not copied into R2
23,SGA2_Expose_X_Purity_Theorem_Part_I_Proof_English_SourceAligned.pdf,238640,70FE943717063093C9D0A8F7CB56838694268CA64487AA4257011FAD3F2D802B,true,restricted_superseded_predecessor,not copied into R2
24,SGA2_Expose_X_Purity_Theorem_Part_I_Proof_English_SourceAligned.tex,4263,BC57F45DB805F1E82371F1AE856455930549656C178935A946AF111C753E911B,true,restricted_superseded_predecessor,not copied into R2
25,SHA256SUMS.csv,14290,2F14A107EE4670CAE93E43C436924B43569196E9983F4D8A3DD064F80FE54E09,true,restricted_superseded_predecessor,not copied into R2
26,SHA256SUMS_VALIDATION.json,497,39C1B2F4ACBFC801890DF00BB77BBC167CE5734A8C5C35EACE6F61C2804470B5,true,restricted_superseded_predecessor,not copied into R2
27,SOURCE_ALIGNMENT_LEDGER.csv,1249,35971544AF2C90F140A88F926E0102C97B99A861740C0DC524B9B03D12CC1236,true,restricted_superseded_predecessor,not copied into R2
28,SOURCE_BOUNDARY_LINES_3566_3573_LATIN1_LF.tex,3557,12BE4289BEBBE9713AC5B67A75A62421E3E01E816A457B367D7C66E933C47081,true,restricted_superseded_predecessor,not copied into R2
29,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,4271,6010E6CA72069CF9410D7C2AE715A31F4C728ACF4527206D6BBCEECD29E9F737,true,restricted_superseded_predecessor,not copied into R2
30,SOURCE_DEFECT_LEDGER.csv,927,1ADB246172A4447F0DBE18C873EED35375EC247BAA77563E47A9D6DA4291A5EC,true,restricted_superseded_predecessor,not copied into R2
31,SOURCE_EVIDENCE_PREPARATION_RECEIPT.json,2403,F1AD5F581C3F8FCE60131F05A14216B33172CC20223C19796DACD50719689D63,true,restricted_superseded_predecessor,not copied into R2
32,SOURCE_LINES_3568_3571_LATIN1_LF.tex,1951,9F1568E7EF1A39A857E5DD119673EAC07F291F3D8E0B60B13DD8107DADB462BE,true,restricted_superseded_predecessor,not copied into R2
33,SOURCE_NEXT_BLANK_3572_LF.tex,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,true,restricted_superseded_predecessor,not copied into R2
34,SOURCE_NEXT_SUBSTANTIVE_3573_LATIN1_NO_EOL.tex,965,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,true,restricted_superseded_predecessor,not copied into R2
35,SOURCE_PAGE_105_RENDER_STDERR.log,900,95BD77F55426D14675E53EB7AB498AB0F831BF8C4EDE4FD1F95D45D540940A59,true,restricted_superseded_predecessor,not copied into R2
36,SOURCE_PAGE_105_RENDER_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
37,SOURCE_PAGE_105_TEXT_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
38,SOURCE_PAGE_105_TEXT_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
39,SOURCE_PHYSICAL_PAGE_105_200DPI.png,493953,F02CECCC0744EF15A848483CB9F64333536ED81F1B31190A777CB51372B42D51,true,restricted_superseded_predecessor,not copied into R2
40,SOURCE_PHYSICAL_PAGE_105_EXTRACTED_TEXT.txt,3576,79C45ED5FEF3F692B3434CCA0AB8D36E03B6C66800C26CB27ADF66AFC547AFE3,true,restricted_superseded_predecessor,not copied into R2
41,SOURCE_PRECEDING_BLANK_3567_LF.tex,1,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,true,restricted_superseded_predecessor,not copied into R2
42,SOURCE_READER_PDFINFO.txt,648,0258F8CB747A9345EBB873AFA5868D9E901EC7C7D5A575D19C533949D90D4CF7,true,restricted_superseded_predecessor,not copied into R2
43,SOURCE_READER_PDFINFO_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
44,TARGET_EXTRACTED_TEXT.txt,3250,BE27C4D218BB5D8E97115B09656C9BB630917682340AEA14999ACDE8CC32060B,true,restricted_superseded_predecessor,not copied into R2
45,TARGET_PAGE_001_200DPI.png,415920,768DE68E40F4A34141836841EBF93E3ED18803D1476B44AD279680CCF6774BA5,true,restricted_superseded_predecessor,not copied into R2
46,TARGET_PDFFONTS.txt,1615,A3D0360FFAC1921C87213232BCADD1F3B319BE95B93F109096AE9C39B76502E2,true,restricted_superseded_predecessor,not copied into R2
47,TARGET_PDFFONTS_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
48,TARGET_PDFINFO.txt,680,9B7181AB75297037082C61C5BC1FC7A92452D6D304732BF807D7E26B80C72CC7,true,restricted_superseded_predecessor,not copied into R2
49,TARGET_PDFINFO_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
50,TARGET_RENDER_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
51,TARGET_RENDER_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
52,TARGET_TEXT_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
53,TARGET_TEXT_STDOUT.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,restricted_superseded_predecessor,not copied into R2
54,TERMINOLOGY_REJECTED_CHOICES_LEDGER.csv,1332,CB51E23E4F53B1508C0CDA2746C2776D8D704E4D53CFB003E795A9E0414F4A2E,true,restricted_superseded_predecessor,not copied into R2
55,__pycache__/finalize_package.cpython-313.pyc,27808,350FA22E8C9294B8DE3959FE71912E31F884C596DF5B7BA1B0150E39A1CB25BF,true,restricted_superseded_predecessor,not copied into R2
56,__pycache__/generate_evidence.cpython-313.pyc,40533,2D6D8AD0EB5D525921E60848599906F34665AB56E777BB327A9056F4D506D342,true,restricted_superseded_predecessor,not copied into R2
57,artifact_tool_evidence/ARTIFACT_TOOL_FORMULA_ERRORS.ndjson,61,44B42BBC2FA2BBF67B44AB8B232A112CF94C577C317F8B4F242E70E8F343DB89,true,restricted_superseded_predecessor,not copied into R2
58,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_A_E.png,224582,0B135226A0AAB42CB4E52F37A7EE21DECE4EFA3DAF353F1D0F263611758F283D,true,restricted_superseded_predecessor,not copied into R2
59,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_F_J.png,111665,98407EDCAA21BC0489234538282DFCF04AE55B767FA555F6F3A7A91D9C31312F,true,restricted_superseded_predecessor,not copied into R2
60,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_K_O.png,465686,8B46806570C9F5B0E78447A5AFAECF619D4BB468161E300FC5862107E278C90C,true,restricted_superseded_predecessor,not copied into R2
61,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_P_T.png,269315,2F7A949AC2D425F7265544CE83A830AC6246F8C03D1B1F0C0CB0FDC976D71423,true,restricted_superseded_predecessor,not copied into R2
62,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_U_Z.png,393596,354C2488778E49AC903ACE36908604720C5688698409BDBC17962BF48873857E,true,restricted_superseded_predecessor,not copied into R2
63,artifact_tool_evidence/ARTIFACT_TOOL_OVERVIEW.ndjson,18117,9FEA6A83264271950724BFC3FBC4D3395D8B5A2C40CC84A5B99EBEC2A3C438CB,true,restricted_superseded_predecessor,not copied into R2
64,artifact_tool_evidence/ARTIFACT_TOOL_RECEIPT.json,1759,2F1B348BBCD9C8E222A666D8C92C8B8CDA5B35837DAA3DE6CC30B33D7639821A,true,restricted_superseded_predecessor,not copied into R2
65,artifact_tool_evidence/ARTIFACT_TOOL_REGION.ndjson,652,6510E82B9A255724C501FBBC25FDDB34857A15796C21D195F6C80D4F5580600B,true,restricted_superseded_predecessor,not copied into R2
66,artifact_tool_machine_qa.mjs,4549,C4719C2FFA16128F060D18F6E915DCC967E2D9A46F8E31428A54E438771F5D2C,true,restricted_superseded_predecessor,not copied into R2
67,finalize_package.py,20958,9CC62CC0212833564F469A67E2B696505DF29EB6D4797DAD01D06ABCA27D6141,true,restricted_superseded_predecessor,not copied into R2
68,generate_evidence.py,38727,F7A79C0AA2636D96345A805A5FE5D651AC93272ADA4480BE69E05D6EC5938D25,true,restricted_superseded_predecessor,not copied into R2
