record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,source_locator,authority_role,authority_sha256,source_reading,target_reading,decision,status,confidence,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,revisit_condition
SGA2-X-L3568-L3571-PURITY-I-PROOF@1,unit_status,,1,,,SGA2-X-L3568-L3571-PURITY-I-PROOF@2,SGA2,X,purity theorem part i proof,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,base case and induction step for Theorem 3.4(i),source-aligned English proof,retain no-overwrite unit pending independent review,superseded_by_r2_privacy_successor,high,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,4271,6010E6CA72069CF9410D7C2AE715A31F4C728ACF4527206D6BBCEECD29E9F737,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-AUTHORITY@1,authority_binding,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-AUTHORITY@2,SGA2,X,French authority,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,corrected arXiv French TeX,authority unchanged,use as sole editable authority,superseded_by_r2_privacy_successor,high,SOURCE_EVIDENCE_PREPARATION_RECEIPT.json,2403,F1AD5F581C3F8FCE60131F05A14216B33172CC20223C19796DACD50719689D63,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-SLICE@1,source_binding,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-SLICE@2,SGA2,X,exact proof slice,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,four-line Latin-1 LF slice,one bounded English proof unit,bind exact source bytes,superseded_by_r2_privacy_successor,high,SOURCE_LINES_3568_3571_LATIN1_LF.tex,1951,9F1568E7EF1A39A857E5DD119673EAC07F291F3D8E0B60B13DD8107DADB462BE,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-BOUNDARY@1,boundary_control,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-BOUNDARY@2,SGA2,X,boundary context,3566-3573,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,preceding proof close through excluded part ii opening,lines 3568-3571 only,exclude line3573 and all candidates attached to it,superseded_by_r2_privacy_successor,high,SOURCE_BOUNDARY_LINES_3566_3573_LATIN1_LF.tex,3557,12BE4289BEBBE9713AC5B67A75A62421E3E01E816A457B367D7C66E933C47081,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-CURSOR@1,cursor_control,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-CURSOR@2,SGA2,X,continuation cursor,3572-3573,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,blank then part ii opening,raw 3572 substantive 3573,keep cursors distinct and hold line3573,superseded_by_r2_privacy_successor,high,SOURCE_NEXT_SUBSTANTIVE_3573_LATIN1_NO_EOL.tex,965,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-LOCATOR-PRINT@1,locator_control,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-LOCATOR-PRINT@2,SGA2,X,printed page split,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed121 then marker122 inside line3569,printed121-122,retain printed marker boundary,superseded_by_r2_privacy_successor,high,SOURCE_PHYSICAL_PAGE_105_200DPI.png,493953,F02CECCC0744EF15A848483CB9F64333536ED81F1B31190A777CB51372B42D51,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-LOCATOR-P105@1,locator_control,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-LOCATOR-P105@2,SGA2,X,physical page105,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,running97 contains the full bounded unit,physical105 running97,do not conflate physical and printed pages,superseded_by_r2_privacy_successor,high,SOURCE_PHYSICAL_PAGE_105_200DPI.png,493953,F02CECCC0744EF15A848483CB9F64333536ED81F1B31190A777CB51372B42D51,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-READER@1,pdf_witness,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-READER@2,SGA2,X,same-edition reader,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed manifestation,layout control only,do not treat as independent corroboration,superseded_by_r2_privacy_successor,high,SOURCE_READER_PDFINFO.txt,648,0258F8CB747A9345EBB873AFA5868D9E901EC7C7D5A575D19C533949D90D4CF7,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-PURITYI-CANDIDATE@1,comparison_binding,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-PURITYI-CANDIDATE@2,SGA2,X,jcreinhold comparison,3568-3571,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,one LLM-generated English lineage,comparison only,reject hatted Et and literal prof/dp notation,superseded_by_r2_privacy_successor,high,JCREINHOLD_LINES446_466_UTF8_LF.md,1889,0C4088E8BAFB02005D23E5EA4FBB743F4E5BA9B22A444BFCE643A5354C9DB4A5,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
SGA2-X-L3569-REGULARITY-CONTEXT-OBS-001,context_observation,SGA2-X-L3568-L3571-PURITY-I-PROOF@1,1,,,SGA2-X-L3569-REGULARITY-CONTEXT-OBS-001@2,SGA2,X,regularity context,3569,printed121-122;physical105;running97,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,opening sentence omits regular while later sentence invokes it,regularity inherited from Theorem 3.4(i),retain source wording and disclose inherited theorem context; no source emendation,superseded_by_r2_privacy_successor,high,TARGET_PAGE_001_200DPI.png,415920,768DE68E40F4A34141836841EBF93E3ED18803D1476B44AD279680CCF6774BA5,3572,3573,internal_superseded_predecessor,see_reciprocal_r2_successor
