ordinal,relative_path,bytes,sha256,artifact_class,release_state,notes
1,__pycache__/generate_r2_evidence.cpython-313.pyc,42420,364295E842E7E8DC7A8E59119D079E6260792A988EACF03A8CC5684417219645,reproducibility_control,internal_not_for_release,fresh independent review required
2,artifact_tool_evidence/ARTIFACT_TOOL_FORMULA_ERRORS.ndjson,61,44B42BBC2FA2BBF67B44AB8B232A112CF94C577C317F8B4F242E70E8F343DB89,artifact_tool_evidence,internal_not_for_release,fresh independent review required
3,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_A_E.png,479112,BB7E32EE83DBF2708EE9E0E4DA56C9FBA4A90B2E32750E86BD736643708259E7,artifact_tool_evidence,internal_not_for_release,fresh independent review required
4,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_F_J.png,345126,B9B6D9FAFA312C8CF6FCED88BF56F14A78CC95D2574285B552C97DF2C8BB18B8,artifact_tool_evidence,internal_not_for_release,fresh independent review required
5,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_K_O.png,974043,8F17D32DD04E225742B30512FC07D25922EB85B359EB5011F075C4A8ECFC6882,artifact_tool_evidence,internal_not_for_release,fresh independent review required
6,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_P_T.png,708068,0A5D27D47C16FD87C689CFD30FDA0C3C4B96E743E996CD1E04177E595832DB1D,artifact_tool_evidence,internal_not_for_release,fresh independent review required
7,artifact_tool_evidence/ARTIFACT_TOOL_MACHINE_QA_U_Z.png,827764,A331839093F1E00E4D76BE91C4383A4B5DAA93EF9D221151ACCEF0DAC9D86CF9,artifact_tool_evidence,internal_not_for_release,fresh independent review required
8,artifact_tool_evidence/ARTIFACT_TOOL_OVERVIEW.ndjson,41837,6F1BE1B5FFE694985FBD1BAC6005375419DE32A8A49AD306E2F80714121ADC93,artifact_tool_evidence,internal_not_for_release,fresh independent review required
9,artifact_tool_evidence/ARTIFACT_TOOL_RECEIPT.json,1768,0BF9BBCF28ABF21D786D5B23FB6C14E63749EE80820AE2E30F443E8FFC2FBA17,artifact_tool_evidence,internal_not_for_release,fresh independent review required
10,artifact_tool_evidence/ARTIFACT_TOOL_REGION.ndjson,654,EED2B7D8C048B058CA1A0324A2270664B342C4672E4747C5CF6A59BE1BD81904,artifact_tool_evidence,internal_not_for_release,fresh independent review required
11,artifact_tool_machine_qa.mjs,4558,C8CA4C9FBBFE9103D44577613E7E3BB21A4C459A3BD5B88402414C9EF79E5F2E,reproducibility_control,internal_not_for_release,fresh independent review required
12,AUTHORITY_ARTIFACT_LEDGER.csv,1605,C5413A2CE43200B6D040A2A184CF0D319C3D83A92F4A81F044098E13543CFC0E,machine_control,internal_not_for_release,fresh independent review required
13,AUXILIARY_LEDGER_VALIDATION.json,2514,D74AF309BBAC63325BFD097F8D8508B494CDD8A617485481C948BEC04C27C34B,machine_control,internal_not_for_release,fresh independent review required
14,BUILD_LOG_SANITIZATION_LEDGER.csv,1436,78C33C80143A12015F5C051EB3D165AB564383114F01E9D9459AFF3E782B54BF,machine_control,internal_not_for_release,fresh independent review required
15,BUILD_PASS1_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
16,BUILD_PASS1.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
17,BUILD_PASS2_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
18,BUILD_PASS2.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
19,BUILD_PASS3_STDERR.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
20,BUILD_PASS3.log,7439,F6F136A61AEE26D42EC4846D448BBE2EE0DA8730CCF23AE81406F45C3572E853,human_or_process_evidence,internal_not_for_release,sanitized R2 build log; raw R2 output not retained
21,FORMULA_DIAGRAM_STRUCTURE_LEDGER.csv,2837,1AF9D2DE028920B4D7B262BD248FA86DDC1B34F54D55BFECD7BBEDC6D2E1BEF1,machine_control,internal_not_for_release,fresh independent review required
22,generate_r2_evidence.py,36529,71AFFBF971DED2D6E4C47EE5CA155757626DF0484732C1108F2FE8570E86AC4B,reproducibility_control,internal_not_for_release,fresh independent review required
23,INDEPENDENT_FAIL_BINDING_VALIDATION.json,466,499F825B310838A5A11210D636280768ED9F495F09AF6BA0244E98D0F7DD7DC0,machine_control,internal_not_for_release,fresh independent review required
24,INDEPENDENT_FAIL_BINDING.csv,1121,560C66C48F5B254326571D7E19CB2E6E6368EAC9E7CF40A183634F04F75C5258,machine_control,internal_not_for_release,fresh independent review required
25,JCREINHOLD_LINES446_466_UTF8_LF.md,1889,0C4088E8BAFB02005D23E5EA4FBB743F4E5BA9B22A444BFCE643A5354C9DB4A5,human_or_process_evidence,internal_not_for_release,rights-gated source/comparison evidence
26,MACHINE_EVIDENCE.csv,38180,E7C5D83090341B2B4121E17F501CF07E687DAA1EC90ADB0D8F2C1BE986536A10,machine_control,internal_not_for_release,fresh independent review required
27,MACHINE_EVIDENCE.jsonl,99686,AF712F5D652BF26CEBC066C15AED6343CD2D14CBD756360412B3061F8C5BB83A,machine_control,internal_not_for_release,fresh independent review required
