record_id,source_lines,formula_role,source_formula,target_formula,symbol_order_preserved,subscripts_preserved,arrow_direction_preserved,logical_property_preserved,status,notes,revision,revision_of,supersedes,superseded_by
SGA2-X-PURITYI-FORM-001@2,3569,base_scheme,X'=Spec(A),X'=operatorname Spec(A),true,true,na,na,pass,operator styling only,2,SGA2-X-PURITYI-FORM-001@1,SGA2-X-PURITYI-FORM-001@1,
SGA2-X-PURITYI-FORM-002@2,3569,closed_point,x=r(A),x=mathfrak r(A),true,true,na,na,pass,font normalization,2,SGA2-X-PURITYI-FORM-002@1,SGA2-X-PURITYI-FORM-002@1,
SGA2-X-PURITYI-FORM-003@2,3569,punctured_scheme,X=X'-{x},X=X' setminus {x},true,true,na,na,pass,set-minus normalization,2,SGA2-X-PURITYI-FORM-003@1,SGA2-X-PURITYI-FORM-003@1,
SGA2-X-PURITYI-FORM-004@2,3569,depth_A,prof A=2,depth A=2,true,true,na,equality,pass,standard English operator,2,SGA2-X-PURITYI-FORM-004@1,SGA2-X-PURITYI-FORM-004@1,
SGA2-X-PURITYI-FORM-005@2,3569,restriction_functor,Et(X')->Et(X),Et(X')->Et(X),true,true,true,fully_faithful,pass,Et remains unhatted,2,SGA2-X-PURITYI-FORM-005@1,SGA2-X-PURITYI-FORM-005@1,
SGA2-X-PURITYI-FORM-006@2,3569,covering_map,r:R->X,r:R->X,true,true,true,etale_covering,pass,exact direction,2,SGA2-X-PURITYI-FORM-006@1,SGA2-X-PURITYI-FORM-006@1,
SGA2-X-PURITYI-FORM-007@2,3569,covering_algebra,Acal=r_*(O_R),mathcal A=r_*(mathcal O_R),true,true,na,pushforward,pass,calligraphic normalization,2,SGA2-X-PURITYI-FORM-007@1,SGA2-X-PURITYI-FORM-007@1,
SGA2-X-PURITYI-FORM-008@2,3569,immersion,i:X->X',i:X->X',true,true,true,canonical_immersion,pass,exact direction,2,SGA2-X-PURITYI-FORM-008@1,SGA2-X-PURITYI-FORM-008@1,
SGA2-X-PURITYI-FORM-009@2,3569,coherent_algebra,i_*(Acal)=Bcal over O_X',i_*(mathcal A)=mathcal B over mathcal O_X',true,true,na,coherence,pass,base X' preserved,2,SGA2-X-PURITYI-FORM-009@1,SGA2-X-PURITYI-FORM-009@1,
SGA2-X-PURITYI-FORM-010@2,3569,projective_dimension_identity,dimp Bcal+prof Bcal=dim A=2,pd Bcal+depth Bcal=dim A=2,true,true,na,equality,pass,operators normalized only,2,SGA2-X-PURITYI-FORM-010@1,SGA2-X-PURITYI-FORM-010@1,
SGA2-X-PURITYI-FORM-011@2,3569,projective_dimension_zero,dimp Bcal=0,pd Bcal=0,true,true,na,implication_to_free,pass,full implication chain retained,2,SGA2-X-PURITYI-FORM-011@1,SGA2-X-PURITYI-FORM-011@1,
SGA2-X-PURITYI-FORM-012@2,3571,parameter_class,t in r(A); image nonzero in r(A)/r(A)^2,same,true,true,na,nonzero_class,pass,exact quotient,2,SGA2-X-PURITYI-FORM-012@1,SGA2-X-PURITYI-FORM-012@1,
SGA2-X-PURITYI-FORM-013@2,3571,regular_quotient,B=A/tA; dim B=n-1,B=A/tA; dim B=n-1,true,true,na,regular_and_pure,pass,induction dependency retained,2,SGA2-X-PURITYI-FORM-013@1,SGA2-X-PURITYI-FORM-013@1,
SGA2-X-PURITYI-FORM-014@2,3571,dimension_bound,n-1>=2,n-1>=2,true,true,na,induction_bound,pass,exact,2,SGA2-X-PURITYI-FORM-014@1,SGA2-X-PURITYI-FORM-014@1,
