"visual_id","relative_path","role","parent_pdf_sha256","output_page","printed_page_span","linked_scope","width_px","height_px","dpi","rotation_degrees","bounding_box","bytes","sha256","qa_disposition","publication_disposition","rights_basis"
"VE-NOE-P04-PP144-154-001","pages/page-058.png","pre_scope_boundary_control","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","58","boundary_control_not_mapped","adjacent output boundary control","1241","1754","150","0","full_page","510731","56F48A0AD64C608ECEE93ED8E05C61EEDE76EE793F9957CCC6377BF7ABF82927","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-002","pages/page-059.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","59","144","Paper 4 printed pp144-154","1241","1754","150","0","full_page","357555","754BD30A03C1F4C035FBDA86EFE50850C28B8EEFFD5A4A855E16C2089C5E0724","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-003","pages/page-060.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","60","144;145","Paper 4 printed pp144-154","1241","1754","150","0","full_page","342491","87EFD245F70B1119314069F35E2713A170BA25950053C34AE1ED84358E9642AA","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-004","pages/page-061.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","61","145;146;147","Paper 4 printed pp144-154","1241","1754","150","0","full_page","399633","FE4B73EF6FCBCF3D857FC0661C656650B2CE5857C8207AC55C9D6CA27FE0FCA8","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-005","pages/page-062.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","62","147;148;149","Paper 4 printed pp144-154","1241","1754","150","0","full_page","321990","77114EAF103937040235783CA33E7E3E50634BD33A5AA7070013EE8C41576106","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-006","pages/page-063.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","63","149;150","Paper 4 printed pp144-154","1241","1754","150","0","full_page","328054","9466F053F8EB8FB235DCB7369DF128FD496086E3FF8E86F165518BFEDE38A152","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-007","pages/page-064.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","64","150;151;152","Paper 4 printed pp144-154","1241","1754","150","0","full_page","447340","F195EA18AEE02C74B4BFC1C32C0A97F095C6D13615C324B4085ED9F2D45BB2D7","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-008","pages/page-065.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","65","152;153;154","Paper 4 printed pp144-154","1241","1754","150","0","full_page","557926","F84CC6FB51FCDF7D91BFB068BF59B5DEB70306781584A96C3B1A0A4125BE2589","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-009","pages/page-066.png","source_audited_output_page","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","66","154","Paper 4 printed pp144-154","1241","1754","150","0","full_page","150092","6BDD41F45F6347E5A913C779CC08C84E2EE557DB90A1B2F3B40E075730357C65","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
"VE-NOE-P04-PP144-154-010","pages/page-067.png","post_scope_boundary_control","BA03AA9AF88A73D5768DB753E645465E9A4313B134AA558B7C4DCA16813AE9D3","67","boundary_control_not_mapped","adjacent output boundary control","1241","1754","150","0","full_page","527121","CEE073094BBECE9C112C08F4D14E5AFB652605607E455EF3B85AD3C0E38C9750","PASS: byte-identical to the separately rendered producer-final page at 150 dpi and visually inspected","open_payload","project-generated render of project TeX/PDF; contains no source-scan pixels"
