book_page,source_pdf_page,png
441,459,img/vol1_pdf-459_bookp441.png
442,460,img/vol1_pdf-460_bookp442.png
443,461,img/vol1_pdf-461_bookp443.png
444,462,img/vol1_pdf-462_bookp444.png
445,463,img/vol1_pdf-463_bookp445.png
446,464,img/vol1_pdf-464_bookp446.png
447,465,img/vol1_pdf-465_bookp447.png
448,466,img/vol1_pdf-466_bookp448.png
449,467,img/vol1_pdf-467_bookp449.png
450,468,img/vol1_pdf-468_bookp450.png
451,469,img/vol1_pdf-469_bookp451.png
452,470,img/vol1_pdf-470_bookp452.png
453,471,img/vol1_pdf-471_bookp453.png
454,472,img/vol1_pdf-472_bookp454.png
455,473,img/vol1_pdf-473_bookp455.png
456,474,img/vol1_pdf-474_bookp456.png
457,475,img/vol1_pdf-475_bookp457.png
