"field","value","source","boundary"
"requested_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478","current-frontier wake","requested generated-draft OLP frontier"
"requested_subject","Add e084 Non-Slavic 49D visibility route","current-frontier wake / git log 5838ea80","route visibility only"
"requested_parent","e08498d6","current-frontier wake","prior package lineage"
"prior_local_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8","ACTIVE_SESSION_STATE before wake","prior local OLP packet set"
"intermediate_frontier","e08498d6","current-frontier wake","intermediate route lineage"
"intermediate_subject","Add 49D OLP 61F source-use interlinear visibility","git log 49d0983c..5838ea80","intermediate route lineage"
"coordinator_compare_e084_to_5838_ahead_by","1","current-frontier wake","route visibility only"
"coordinator_compare_e084_to_5838_changed_paths","28","current-frontier wake","route visibility only"
"coordinator_compare_61f_to_5838_ahead_by","4","current-frontier wake","route visibility only"
"coordinator_compare_61f_to_5838_changed_paths","124","current-frontier wake","route visibility only"
"local_compare_49d_to_5838_ahead_by","2","git log 49d0983c..5838ea80","route visibility only"
"local_compare_49d_to_5838_changed_paths","72","git diff --name-only 49d0983c..5838ea80","route visibility only"
"observed_remote_frontier_after_fetch","2c2df6b09c48aa13b0341219929ae89ff3d5fe33","fetch + origin/codex/noether-pc-20260629","post-5838 B3 visibility lineage only"
"observed_remote_subject_after_fetch","Add 698 Non-Slavic 5838 OLP visibility route","git log -1 origin/codex/noether-pc-20260629","post-5838 B3 visibility lineage only"
"observed_5838_to_remote_ahead_by","2","git log 5838ea80..origin/codex/noether-pc-20260629","post-5838 B3 visibility lineage only"
"observed_5838_to_remote_changed_paths","87","git diff --name-only 5838ea80..origin/codex/noether-pc-20260629","post-5838 B3 visibility lineage only"
"prior_source_use_package","OLP_49D0983C_SOURCE_USE_FABLE_A942_ROUTE_20260707","local artifact lineage","prior source-use/Fable package"
"prior_interlinear_package","OLP_49D0983C_INTERLINEAR_TERMINOLOGY_A942_ROUTE_20260707","local artifact lineage","prior interlinear package"
"prior_review_boundary_package","OLP_49D0983C_REVIEW_BOUNDARY_A942_ROUTE_20260707","local artifact lineage","prior review-boundary package"
"generated_draft_status","non-canonical","lane boundary rule","no accepted terminology or translation-completion claim"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence changed in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
