audit_id,lane,canonical_source_basis,source_root_or_route,local_capture_status,ocr_unicode_or_text_gate,licensing_reuse_status,allowed_downstream_use,next_required_return,next_artifact,promotion_allowed
R9-SLCA-001,Hausa,R9_HAUSA_DIRECT_MATH_SOURCE_RETURN_PASS2_20260703T162646Z,"sources/non_slavic_reference_corpus/20260703T162646Z_r9_hausa_direct_math_source_return_pass2",direct Hausa SS1/SS2 math book/app metadata route strengthened; actual textbook/app content not locally extracted,no local content OCR possible yet,metadata and app listings do not grant reuse or term extraction permission,source-return route only; no translation support,"source owner or reviewer return with cacheable content, license note, exact wording, and blockers",R9_HAUSA_BOOK_CONTENT_OR_REVIEWER_RETURN_<timestamp>,false
R9-SLCA-002,Igbo,R9_IGBO_GLOSSARY_TEXTBOOK_SOURCE_RETURN_PASS2_20260703T162950Z,"sources/non_slavic_reference_corpus/20260703T162950Z_r9_igbo_glossary_textbook_source_return_pass2",basic Igbo mathematics book route and context studies captured; actual textbook content not local,no source-cleared math text available for extraction,commercial metadata and context sources do not clear reuse,source-return route only; no translation support,source-cleared book/glossary text or named Igbo reviewer return,R9_IGBO_TEXTBOOK_CONTENT_OR_REVIEWER_RETURN_<timestamp>,false
R9-SLCA-003,Amharic,R9_AMHARIC_FULL_SHELF_SOURCE_RETURN_PASS2_20260703T164546Z,"sources/non_slavic_reference_corpus/20260703T164546Z_r9_amharic_pass2; https://ethiopialearning.com/",48 chapter PDFs captured; 588 pages; 0 full textbooks and 0 teacher guides,44 font/garbled rows 3 extractable rows 1 empty row; later triage confirms visible Ethiopic may have unusable text layer,no source permission public signoff or reuse clearance claimed,OCR/font-map closure and reviewer-question preparation only,script-aware OCR/font-map repair page transcription and reviewer verification,R9_AMHARIC_OCR_FONTMAP_TRANSCRIPTION_QUEUE_<timestamp>,false
R9-SLCA-004,Afar,R9_AFAR_USABLE_MATH_STEM_SOURCE_RETURN_PASS2_20260703T165443Z,sources/non_slavic_reference_corpus/20260703T165443Z_r9_afar_pass2,14 of 16 routes captured including 3 direct Qafar/Afar math media metadata leads and 5 PDFs/232 pages context,no transcript or local math wording,media metadata and context reports do not clear reuse or wording,source-return route only; no translation support,transcript audio review source-owner permission or Qafar/Afar reviewer extraction,R9_AFAR_TRANSCRIPT_OR_REVIEWER_RETURN_<timestamp>,false
R9-SLCA-005,Somali,R9_SOMALI_OROMO_CURRENT_TEXTBOOK_SOURCE_RETURN_PASS2_20260703T170417Z,"sources/non_slavic_reference_corpus/20260703T170417Z_r9_somali_oromo_pass2; https://ethiopialearning.com/",74 PDFs/3446 pages from 84 candidates; 19 seed rows reconfirmed as pointers,Latin extraction usable for source-side pointers but proof/theorem frames still need review,current shelf permission and attribution remain open,non-canonical reviewer/corpus support only where exact source row exists,source permission/attribution ledger plus proof-language reviewer return,R9_SOMALI_SOURCE_PERMISSION_AND_PROOF_REVIEW_<timestamp>,false
R9-SLCA-006,Oromo,R9_SOMALI_OROMO_CURRENT_TEXTBOOK_SOURCE_RETURN_PASS2_20260703T170417Z,"sources/non_slavic_reference_corpus/20260703T170417Z_r9_somali_oromo_pass2; https://ethiopialearning.com/",83 PDFs/3444 pages from 84 candidates; 29 seed rows reconfirmed as pointers,Latin extraction usable but apostrophes source spelling and proof frames need page review,current shelf permission and attribution remain open,non-canonical reviewer/corpus support only after page-image spelling check,source permission/attribution ledger plus orthography/proof reviewer return,R9_OROMO_SOURCE_PERMISSION_ORTHOGRAPHY_PROOF_REVIEW_<timestamp>,false
R9-SLCA-007,Tigrigna_Tigrinya,R9_TIGRIGNA_TIGRINYA_CURRENT_SOURCE_RETURN_PASS2_20260703T172503Z,"sources/non_slavic_reference_corpus/20260703T172503Z_r9_tigrigna_tigrinya_pass2; https://ethiopialearning.com/",82 PDFs/3420 pages from 84 candidates; 53 extractable Ethiopic rows; 33 seed rows reconfirmed as pointers,rows 004 and 007 small clean-text candidates; row 003 ASCII-heavy/noisy; weak rows need OCR or transcription,no source permission public signoff or reuse clearance claimed,non-canonical source support only after render/text comparison and reviewer verification,script label decision OCR/transcription and reviewer verification,R9_TIGRIGNA_SCRIPT_OCR_AND_LABEL_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-008,Fulfulde_Fulani,R9_FULFULDE_FULANI_VARIANT_GLOSSARY_LEDGER_20260703T143706Z,NYU/NYSED glossary source route,variant glossary rows exist for reviewer prompts,UTF-8 source forms preserved; variety labels unresolved,reuse and attribution not cleared,non-canonical reviewer prompts only,variety-scoped reviewer return,R9_FULFULDE_VARIANT_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-009,Mandinka_Manding,R9_MANDINKA_MANDING_GLOSSARY_LEDGER_20260703T145619Z,NYU/NYSED glossary source route,Mandinka glossary rows exist; Manding-wide extension not authorized,source forms can only seed Mandinka reviewer prompts,reuse and attribution not cleared,Mandinka support only; no Manding bridge,Mandinka-specific reviewer return and Manding scope note,R9_MANDINKA_SCOPE_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-010,Akan_Twi,R9_AKAN_TWI_GLOSSARY_LEDGER_20260703T150216Z,NYU/NYSED glossary source route,Twi source rows exist; Akan context is not a bridge,source forms can only seed Twi reviewer prompts,reuse and attribution not cleared,Twi support only unless separate Akan source return exists,Twi reviewer return and separate Akan-scope decision,R9_TWI_AKAN_SCOPE_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-011,Wolof,R9_WOLOF_GLOSSARY_LEDGER_20260703T150917Z,NYU/NYSED glossary source route,math/science glossary rows exist,variant/register and proof-language choices unresolved,reuse and attribution not cleared,non-canonical reviewer prompts only,Wolof register/variant reviewer return,R9_WOLOF_VARIANT_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-012,Yoruba,R9_YORUBA_DICTIONARY_SEED_LEDGER_20260703T152409Z,Yoruba-English mathematics dictionary seed route,dictionary-seed rows exist; school/STEM source witness absent,damaged extraction and proof/theorem/definition gaps remain,dictionary reuse and attribution not cleared,dictionary prompts only; no prose or term spine,rendered-page extraction review plus school/STEM source return,R9_YORUBA_DICTIONARY_AND_SOURCE_REVIEW_QUEUE_<timestamp>,false
R9-SLCA-013,AF05_South_Sudan,R9_AF05_SOUTH_SUDAN_EXTERNAL_PACKET_INGEST_20260630T183911Z,AF-05 packet starter and math-control checklist,Dinka/Nuer/Zande packet starter only,no local approved wording,request packet is not source approval,blocked from translation support,named reviewer/authority return and official source route,R9_AF05_REVIEWER_RETURN_QUEUE_<timestamp>,false
R9-SLCA-014,AF06_Omotic_Southern_Non_Bantu,R9_AF06_OMOTIC_SOUTHERN_NON_BANTU_AUTHORITY_MAP_INGEST_20260630T184845Z,Khoekhoegowab/Juhoansi anchors and rendered-page navigation,source anchors exist but exact local labels are not closed,exact local-label transcription click/ejective notation and source-font checks remain,source-anchor navigation is not reuse approval,blocked from translation support,exact transcription and reviewer/source-font return,R9_AF06_REVIEWER_QUESTION_QUEUE_<timestamp>,false
