edge_id,subject_id,predicate,object_id,object_type,provenance,status
JA-P24-E001,NOETHER-P24-JA-WORKING,is_translation_of,NOETHER-P24-DE-SEALEDP31,source_unit,"sealed P31 whole-file and unit hashes",verified
JA-P24-E002,NOETHER-P24-DE-SEALEDP31,is_source_checked_by,NOETHER-P24-DE-AUDIT,source_audit,"P24 33-page audit package and repair ledger",verified
JA-P24-E003,NOETHER-P24-JA-WORKING,semantically_revises,NOETHER-P24-JA-INHERITED,draft_translation,"source-keyed formula, prose, and apparatus rebase; frozen TeX E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; extracted text D7A6765954426D566A1902B5F31105908028F966C83E7553DEFB3978BC64F6E4; PDF C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16/16 original-detail page renders passed",internal-final
JA-P24-E004,NOETHER-P24-JA-WORKING,is_structurally_mapped_by,NOETHER-P24-DISPLAY-MAP,structural_artifact,"54-row display correspondence",verified
JA-P24-E005,NOETHER-P24-JA-WORKING,is_annotated_by,NOETHER-P24-NOTE-MAP,structural_artifact,"24-row footnote correspondence",verified
JA-P24-E006,NOETHER-P24-DISPLAY-MAP,is_parented_by,NOETHER-P24-DEPENDENCIES,structural_artifact,"15 checked dependency ranges",verified
JA-P24-E007,NOETHER-P24-NOTE-MAP,is_parented_by,NOETHER-P24-DEPENDENCIES,structural_artifact,"15 checked dependency ranges",verified
JA-P24-E008,NOE-P24-RESIDUE-FIELD,is_realized_as,NOE-P24-RESIDUE-R,mathematical_object,"P24 section 3 residue-field construction",source-defined
JA-P24-E009,NOE-P24-BAR-RESIDUE-R,is_residue_field_of,NOE-P24-BAR-PRIME,mathematical_object,"P24 Theorem IV proof",source-defined
JA-P24-E010,NOE-P24-RESIDUE-R,is_residue_field_of,NOE-P24-PRIME-IDEAL-P,mathematical_object,"P24 section 3",source-defined
JA-P24-E011,NOE-P24-BAR-RESIDUE-R,is_isomorphic_to,NOE-P24-RESIDUE-R,mathematical_object,"P24 Theorem IV first remark",source-defined
JA-P24-E012,NOE-P24-BAR-PRIME,transforms_to,NOE-P24-PRIME-IDEAL-P,mathematical_object,"P24 Lemma I and Theorem II",source-defined
JA-P24-E013,NOE-P24-ELEMENTARY-FORM,is_elementary_divisor_form_of,NOE-P24-PRIME-IDEAL-P,mathematical_object,"P24 Theorem IV",source-defined
JA-P24-E014,NOE-P24-NORM,is_power_of,NOE-P24-ELEMENTARY-FORM,mathematical_object,"P24 Theorems I XIII XIV",source-defined
JA-P24-E015,NOE-P24-ASSOCIATED-PRIME,labels_role_of,NOE-P24-PRIME-IDEAL-P,mathematical_object,"P24 primary-decomposition definitions",internally-reviewed
JA-P24-E016,NOE-P24-GALOIS-EXTENSION,splits,NOE-P24-ELEMENTARY-FORM,mathematical_object,"P24 Theorems IV and XI",source-defined
JA-P24-E017,NOE-P24-ELEMENTARY-DIVISOR,constitutes,NOE-P24-ELEMENTARY-FORM,mathematical_object,"P24 module representation",source-defined
JA-P24-E018,NOE-P24-INDIVIDUAL-NORM,is_factor_of,NOE-P24-NORM,mathematical_object,"P24 section 1 definition 6",source-defined
JA-P24-E019,NOE-P24-PRIME-FUNCTION,classifies,NOE-P24-ELEMENTARY-FORM,mathematical_object,"P24 Theorem I",source-defined
JA-P24-E020,NOE-P24-PRIMARY-FUNCTION,is_power_of,NOE-P24-PRIME-FUNCTION,concept,"P24 definition 7 explicit sense window",source-defined
JA-P24-E021,NOE-P24-ZERO-FIELD,is_isomorphic_to,NOE-P24-RESIDUE-R,mathematical_object,"P24 Theorem III",source-defined
JA-P24-E022,NOE-P24-ABSOLUTE-PRIME-IDEAL,refines,NOE-P24-PRIME-IDEAL-P,mathematical_object,"P24 section 7",source-defined
