mapping_id,source_object,source_locator,source_representation,target_object,target_locator,target_representation,relation,review_state,note
NOE-P24-JA-D001,DE-D001,DE 13657,srcnumdisplay,JA-D001,JA TeX 283,align,equivalent_representation,content_checked,numbered transformation 1
NOE-P24-JA-D002,DE-D002,DE 13659,srcnumdisplay,JA-D002,JA TeX 288,align,equivalent_representation,content_checked,numbered inverse transformation 1-prime
NOE-P24-JA-D003,DE-D003,DE 13663,bracket,JA-D003,JA TeX 295,bracket,one_to_one,content_checked,U-lambda expansion
NOE-P24-JA-D004,DE-D004,DE 13667,bracket,JA-D004,JA TeX 299,bracket,one_to_one,content_checked,T-lambda expansion
NOE-P24-JA-D005,DE-INLINE-13670,DE 13670,inline,JA-D005,JA TeX 303,bracket,source_inline_promoted,content_checked,coordinate change displayed for Japanese readability
NOE-P24-JA-D006,DE-D005,DE 13675,equation,JA-D006,JA TeX 311,equation,one_to_one,content_checked,equation 2
NOE-P24-JA-D007,DE-D006,DE 13681,align,JA-D007,JA TeX 317,align,one_to_one,content_checked,module representation 3
NOE-P24-JA-D008,DE-D007,DE 13691,equation-star,JA-D008,JA TeX 327,equation-star,one_to_one,content_checked,individual norm product
NOE-P24-JA-D009,DE-D008,DE 13698,align,JA-D009,JA TeX 334,align,one_to_one,content_checked,divisibility relations 4
NOE-P24-JA-D010,DE-D009,DE 13707,bracket,JA-D010,JA TeX 343,bracket,one_to_one,content_checked,basic-ideal component decomposition
NOE-P24-JA-D011,DE-D010,DE 13715,equation,JA-D011,JA TeX 351,equation,one_to_one,content_checked,zero factorization 5
NOE-P24-JA-D012,DE-D011,DE 13723,bracket,JA-D012,JA TeX 360,bracket,notation_variant,content_checked,prime-ideal nonzero product
NOE-P24-JA-D013,DE-D012,DE 13726,bracket,JA-D013,JA TeX 363,bracket,notation_variant,content_checked,primary-ideal nonzero product
NOE-P24-JA-D014,DE-D013,DE 13746,bracket,JA-D014,JA TeX 383,bracket,one_to_one,content_checked,coefficient expansions
NOE-P24-JA-D015,DE-D014,DE 13766,bracket,JA-D015,JA TeX 403,bracket,reconciled_divergence,content_checked,Theorem I prime case corrected to sealed product
