record_id,concept_id,source_expression,selected_japanese,status,evidence_class,evidence_locator,adverse_or_competing_form,sense_window,excluded_senses,trap_class,basin_membership,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_record
JA-P24-T001,noe.p24.residue_field,Restklassenkörper,剰余体,internally-accepted,native-independent-target-source,"P25 UTokyo and Nagoya Japanese evidence; sealed P31 P24 lines 13809-13871",剰余類体,"Field obtained from the residue-domain classes modulo a prime ideal by quotient formation; the proof distinguishes barred and transformed isomorphic residue fields","residue ring before quotient formation; ambient fraction field; numerical remainder",cjk_remainder_field_ring_split,modern_sino_xenic_coinage_or_calque,clear,"Japanese evidence controls this form; Mandarin-Simplified evidence is not used and cannot authorize it.",not_applicable,decisions/NOE-P24-RESIDUE-FIELD.ja.json
JA-P24-T002,noe.p24.associated_prime,zugehöriges Primideal,随伴素イデアル,internally-accepted,native-independent-target-source,"P25 Japanese associated-prime evidence; sealed P31 P24 decomposition passages",付随素イデアル,"Prime associated to a primary component or supplied by a shortest primary decomposition","adjoint ideal; arbitrary related prime; associated graded object",cjk_shared_han_local_standard,modern_sino_xenic_coinage_or_calque,clear,"Japanese-local evidence controls the selection; no Mandarin-Simplified transfer is permitted.",not_applicable,decisions/NOE-P24-ASSOCIATED-PRIME.ja.json
JA-P24-T003,noe.p24.galois_extension,Galoisscher Körper,ガロア拡大体,internally-accepted,native-independent-target-source,"P25 Japanese university Galois-extension evidence; sealed P31 P24 Theorems IV and XI",ガロア体,"Galois extension in which the elementary-divisor form or norm splits into linear factors","finite field; Galois representation; arbitrary extension",cjk_eponym_finite_field_split,mixed_or_contested,clear,"Independent Japanese ガロア拡大 evidence controls; Mandarin-Simplified evidence is not used.",not_applicable,decisions/NOE-P24-GALOIS-EXTENSION.ja.json
JA-P24-T004,noe.p24.elementary_divisor,Elementarteiler,単因子,internally-accepted,native-independent-target-source,"P25 Okayama Hiroshima and Tokyo Woman's Christian University module evidence; sealed P31 P24 section 1",初等因子,"Divisibility-ordered module or Smith factors E_mu^(i); their product is the individual norm and their greatest member is E^(i)",irreducible polynomial factor; generic elementary factor; Chinese-local 初等因子 evidence,cjk_elementary_divisor_local_standard,modern_sino_xenic_coinage_or_calque,risk,"Simplified-Chinese 初等因子 is visible on the evidence shelf but excluded; independent Japanese 単因子 controls.",potentially_distorted,decisions/NOE-P24-ELEMENTARY-DIVISOR.ja.json
JA-P24-T005,noe.p24.basic_ideal,Grundideal,基本イデアル,held-work-specific,source+draft-consistency,"sealed P31 P24 definition 4 and Theorems VIII-X; inherited Japanese witness",基礎イデアル,"Noether-Hentzelt stage-indexed ideal g_(i-1) defined by existence of a nonzero multiplier b^(i) and used in the module representation","an arbitrary foundational ideal; base ideal of a linear system; coefficient ideal",cjk_historical_ideal_label,mixed_or_contested,risk,"No exact independent Japanese historical witness recovered; Mandarin-Simplified cognates cannot fill the Japanese gap.",unavailable,decisions/NOE-P24-BASIC-IDEAL.ja.json
JA-P24-T006,noe.p24.individual_norm,Einzelnorm,個別ノルム,held-work-specific,source+draft-consistency,"sealed P31 P24 section 1 definition 5; inherited Japanese witness",各段ノルム,"Product R^(i) of the finitely many nonunit elementary divisors at stage i; norm of G_(i-1) relative to M_(i-1)",field norm of one element; full ideal norm R_m; analytic norm,cjk_historical_norm_label,mixed_or_contested,risk,"No independent exact Japanese witness for Noether's stagewise label; Mandarin-Simplified evidence cannot promote it.",unavailable,decisions/NOE-P24-INDIVIDUAL-NORM.ja.json
JA-P24-T007,noe.p24.prime_function,Primfunktion,素関数,held-source-tethered,source+draft-consistency,"sealed P31 P24 throughout; inherited Japanese reader; modern Japanese 既約多項式 as explanatory control",既約多項式,"Noether's historical label for a polynomial irreducible over the fixed coefficient field","prime field; prime-counting function; arbitrary polynomial function",cjk_historical_function_sense,mixed_or_contested,risk,"No independent exact Japanese historical-label witness recovered; Chinese evidence is non-transferable.",unavailable,decisions/NOE-P24-PRIME-FUNCTION.ja.json
JA-P24-T008,noe.p24.zero_field,Nullstellenkörper,零点体,held-source-tethered,source+draft-consistency,"sealed P31 P24 section 3; inherited Japanese reader; Japanese 根体 as narrower competitor",根体,"Field generated by an ideal's compatible zero system and used before passing to the derived Galois extension","splitting field; physical zero field; residue field before choosing an isomorphism",cjk_historical_field_label,mixed_or_contested,risk,"Japanese 根体 evidence is narrower than the generalized ideal construction; Mandarin-Simplified evidence is not used.",unavailable,decisions/NOE-P24-ZERO-FIELD.ja.json
JA-P24-T009,noe.p24.absolute_prime_ideal,absolutes Primideal,絶対素イデアル,internally-accepted,Japanese-domain-compositional+source,"sealed P31 P24 section 7; established Japanese 絶対/素イデアル mathematical components",絶対的素イデアル,"Prime ideal remaining prime after extension of coefficients to an algebraically closed field","absolute prime number; geometrically prime only under a narrower convention; absolute value ideal",cjk_compositional_algebra_term,modern_sino_xenic_coinage_or_calque,clear,"Japanese mathematical components are unambiguous in the explicit definition; no Mandarin-Simplified support is used.",not_applicable,decisions/NOE-P24-ABSOLUTE-PRIME-IDEAL.ja.json
JA-P24-T010,noe.p24.primary_function,Primärfunktion,準素関数,held-source-tethered,source+explicit-definition,"sealed P31 P24 section 1 definition 7; inherited Japanese reader",一次関数,"ここでは素関数の冪","modern generic primary function; linear function; primary factor in an unrelated role",cjk_historical_function_sense,mixed_or_contested,risk,"The shared Han-form shelf may be dominated by Mandarin-Simplified usage; that evidence cannot authorize Japanese and creates qualitative retrieval debt only.",potentially_distorted,decisions/NOE-P24-PRIMARY-FUNCTION.ja.json
