node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
NOETHER-P24-DE-SEALEDP31,source_unit,Noether Paper 24 sealed German unit,de,"sealed P31 whole-file A48CB5CD1716974B686AC1CBA681CA4B17BC72F9043B78AD2528ACA41FCF814F; unit raw CRLF CA71FFFDAB3CEEE3EC614AB30A13F26EEF7D12D95D13875B8613BFC6B8C77232; lines 13631-14119",verified,"Complete German Paper 24 title through terminal clearpage","stale R821 pointer; unsealed candidate; inherited Japanese authority"
NOETHER-P24-DE-AUDIT,source_audit,P24 full-paper German audit package,de,"Noether_LocalCodex_20260717_P24_FullPaperAudit_from_P23Head; 33 printed pages checked; 15 repair groups",verified,"Paper 24 source witness and repair provenance","Japanese translation authority; unaudited OCR"
NOETHER-P24-JA-INHERITED,draft_translation,Inherited Japanese Paper 24,ja,"cumulative reader P24 slice lines 12556-13075; SHA-256 4400441E948D23C9C1EC13CCD09A4E7371AC88122DC9E30A6F163870C5280086",witness-only,"Pre-change Japanese candidate and defect locator","source authority; native Japanese terminology authority"
NOETHER-P24-JA-WORKING,translation_unit,Source-reconciled Japanese Paper 24,ja,"Noether_Paper24_Japanese_SourceReconciled_v001.tex; graph-opening SHA-256 DAB025A262FB009C76E233FF48A4FCFEDF21B95739189B5226E769B12700D79D; frozen exact TeX SHA-256 E597F143D06B8EC4CD0CE5CBE42A1DB77C86D65FD080CDE6206C57379930704E; extracted text SHA-256 D7A6765954426D566A1902B5F31105908028F966C83E7553DEFB3978BC64F6E4; 16-page PDF SHA-256 C1032A418366B61DCC9F7EC743FDA29E60C6CB2CB7032DA4AAC941D95820DBDB; 16/16 individual original-detail page renders passed",internal-final,"Japanese P24 only; source-synchronized and internally final tranche","external/community/human certification; SGA work"
NOETHER-P24-DISPLAY-MAP,structural_artifact,Paper 24 display correspondence,en,"DISPLAY_CORRESPONDENCE.csv; 54 target-keyed rows",internally-reviewed,"47 source display objects plus seven documented inline promotions","raw count equality as semantic parity"
NOETHER-P24-NOTE-MAP,structural_artifact,Paper 24 footnote correspondence,en,"FOOTNOTE_CORRESPONDENCE.csv; 24 rows",internally-reviewed,"All source and target footnotes by locator and disposition","final page placement before final render"
NOETHER-P24-DEPENDENCIES,structural_artifact,Paper 24 dependency ranges,en,"STRUCTURAL_DEPENDENCY_RANGES.csv; 15 ranges",internally-reviewed,"Display and note ownership by section and theorem","fine-grained prose edges not yet materialized"
NOE-P24-RESIDUE-FIELD,concept,Residue field,ja,"sealed P31 P24 and previously checked independent Japanese university evidence",internally-accepted,"剰余体 formed after quotient formation from residue-domain classes","residue ring before field formation; ambient fraction field"
NOE-P24-ASSOCIATED-PRIME,concept,Associated prime,ja,"sealed P31 P24 and previously checked independent Japanese mathematical evidence",internally-accepted,"随伴素イデアル attached to a primary component or decomposition","adjoint ideal; arbitrary related prime"
NOE-P24-GALOIS-EXTENSION,concept,Galois extension,ja,"sealed P31 P24 and independent Japanese university algebra evidence",internally-accepted,"ガロア拡大体 used for linear-factor decomposition","finite field; Galois representation"
NOE-P24-ELEMENTARY-DIVISOR,concept,Elementary divisor,ja,"sealed P31 P24 and independent Japanese module evidence",internally-accepted,"単因子 in the divisibility-ordered module representation","irreducible factor; Chinese-local 初等因子 authority"
NOE-P24-BASIC-IDEAL,concept,Basic ideal,ja,"sealed P31 P24 and inherited Japanese consistency",held-source-tethered,"基本イデアル g_i in Noether-Hentzelt stage construction","arbitrary foundational ideal; base ideal of a linear system"
NOE-P24-INDIVIDUAL-NORM,concept,Individual norm,ja,"sealed P31 P24 and inherited Japanese consistency",held-source-tethered,"個別ノルム R^(i) as product of stage-i nonunit elementary divisors","full ideal norm; field norm of an element"
NOE-P24-PRIME-FUNCTION,concept,Prime function,ja,"sealed P31 P24 and inherited Japanese consistency",held-source-tethered,"素関数 as Noether's historical label for an irreducible polynomial","prime field; prime-counting function"
NOE-P24-ZERO-FIELD,concept,Zero field,ja,"sealed P31 P24 and inherited Japanese consistency",held-source-tethered,"零点体 generated by a compatible ideal-zero system","splitting field; residue field itself; physical zero field"
NOE-P24-ABSOLUTE-PRIME-IDEAL,concept,Absolute prime ideal,ja,"sealed P31 P24 explicit definition and Japanese mathematical components",internally-accepted,"絶対素イデアル remaining prime after algebraic-closure coefficient extension","absolute prime number; absolute value ideal"
NOE-P24-PRIMARY-FUNCTION,concept,Primary function,ja,"sealed P31 P24 definition 7",held-source-defined,"準素関数 means here a power of a prime function","primary ideal component; arbitrary primary polynomial"
NOE-P24-PRIME-IDEAL-P,mathematical_object,Prime ideal p,und,"sealed P31 P24",source-defined,"Prime ideal in the transformed polynomial ring","barred original prime unless explicitly related"
