mapping_id,source_locator,target_locator,relation,review_state,note
NOE-P24-JA-FN01,DE 13640 note 1,JA TeX 266 note 1,one_to_one,content_checked,Hentzelt bibliography
NOE-P24-JA-FN02,DE 13640 note 2,JA TeX 266 note 2,one_to_one,content_checked,Idealtheorie bibliography
NOE-P24-JA-FN03,DE 13640 note 3,JA TeX 266 note 3,one_to_one,content_checked,Steinitz bibliography
NOE-P24-JA-FN04,DE 13648,JA TeX 274,one_to_one,content_checked,Kronecker contrast
NOE-P24-JA-FN05,DE 13656,JA TeX 282,one_to_one,content_checked,transformation generality
NOE-P24-JA-FN06,DE 13697,JA TeX 333,one_to_one,content_checked,resultant-form terminology
NOE-P24-JA-FN07,DE 13704,JA TeX 340,one_to_one,content_checked,later factor caveat
NOE-P24-JA-FN08,DE 13706,JA TeX 342,one_to_one,content_checked,prime-function analogy
NOE-P24-JA-FN09,DE 13753,JA TeX 389,reconciled_divergence,content_checked,H-N note corrected from inherited 10 to sealed 13
NOE-P24-JA-FN10,DE 13761,JA TeX 397,one_to_one,content_checked,number-field module analogy
NOE-P24-JA-FN11,DE 13815,JA TeX 450,one_to_one,content_checked,existence of unity
NOE-P24-JA-FN12,DE 13821,JA TeX 456,one_to_one,content_checked,algebraic-rank invariance
NOE-P24-JA-FN13,DE 13823,JA TeX 458,one_to_one,content_checked,Steinitz section 6
NOE-P24-JA-FN14,DE 13864,JA TeX 499,reconciled_divergence,content_checked,barred prime and zero field restored
NOE-P24-JA-FN15,DE 13868 note 15,JA TeX 503 note 15,one_to_one,content_checked,H-N section 7
NOE-P24-JA-FN16,DE 13868 note 16,JA TeX 503 note 16,reconciled_divergence,content_checked,sealed p-to-g exponent label restored
NOE-P24-JA-FN17,DE 13896,JA TeX 531,one_to_one,content_checked,H-N closing paragraph
NOE-P24-JA-FN18,DE 13904,JA TeX 539,one_to_one,content_checked,chain dimension definition
NOE-P24-JA-FN19,DE 13960,JA TeX 595,one_to_one,content_checked,Theorem VIII internal proof note
NOE-P24-JA-FN20,DE 14012,JA TeX 650,one_to_one,content_checked,multiplicity consequence
NOE-P24-JA-FN21,DE 14046,JA TeX 684,one_to_one,content_checked,Ostrowski parallel argument
NOE-P24-JA-FN22,DE 14087,JA TeX 725,one_to_one,content_checked,algebraically closed field
NOE-P24-JA-FN23,DE 14093,JA TeX 731,one_to_one,content_checked,Ostrowski and Noether bibliography
NOE-P24-JA-FN24,DE 14099,JA TeX 741,one_to_one,content_checked,H-N section 4
