issue_id,timestamp,work_unit,source_target_locator,class,symptom,severity,discovery_channel,evidence_vs_inference,attempts,resolution_or_hold,remaining_risk,recurrence_cue,transferable_lesson,decision_ids,structural_ids,changed_artifacts,supersession_state
JA-P24-F001,2026-07-18T17:26:18.841+02:00,P24 opening apparatus,"DE 13631 onward; JA 12556-12560",source_omission,"separate title author and rule apparatus absent from inherited witness",medium,bilingual_opening_diff,"presence and absence are source observations; restoration requirement is editorial source-fidelity judgment","no repair yet",mandatory restoration queued,"printed typography not yet independently checked","cumulative witness compresses article opening",Audit apparatus independently from body prose,JA-D017,NOE-P24-JA-U001,SOURCE_CHECK.md,open
JA-P24-F002,2026-07-18T17:26:18.841+02:00,P24 opening terminology,"JA 12567 and later",sense_and_dominance_risk,"Galois field and residue-class field forms risk finite-field and ring/field ambiguity",high,opening_semantic_scan,"inherited forms are draft facts; cross-unit correction is editorial inference requiring per-occurrence checks","automatic global replacement rejected",held for occurrence-keyed audit,"489-line unit contains multiple constructions with different field/ring roles","ambiguous Galois or residue labels",Carry sense windows across units but revalidate every occurrence,JA-D012;JA-D017,NOE-P24-JA-U010,SOURCE_CHECK.md,open
JA-P24-F003,2026-07-18T17:34:00+02:00,P24 first standalone build,"TeX preamble line 6",font_not_found,"Noto Serif CJK JP from the inherited cumulative preamble is unavailable to XeTeX; no PDF produced",medium,build_log,"fontspec failure is a tool fact; selecting the already-tested Yu Gothic policy is an implementation decision","accepting a font-substituted or absent PDF rejected",switch to Yu Gothic with controlled synthetic slant and rebuild,"synthetic slant remains a manufactured face","fontspec cannot find inherited cumulative font",Revalidate inherited preamble fonts in each actual production environment,JA-D013;JA-D018,NOE-P24-JA-U000,TeX and first build log,repair_in_progress
JA-P24-F004,2026-07-18T17:35:15+02:00,P24 first successful standalone PDF,"custom footnote size and 16-page PDF",math_font_size_substitution,"seven LaTeX font warnings because inherited 7.5/3.75 point footnote math sizes are unavailable",low,build_log,"warning lines are tool facts; selecting supported 8-point footnotes is typographic implementation judgment","accept warning-bearing PDF rejected",use supported 8/9.5-point footnote size and rebuild,"page flow may change and requires full rerender","size substitution warning",Nonstandard text sizes can trigger hidden math-font substitutions even when glyphs appear,JA-D018,NOE-P24-JA-U000,TeX and build log,repair_in_progress
JA-P24-F005,2026-07-18T17:40:29+02:00,P24 residual-language audit,"target TeX lines 557;565;589;621;693; sealed DE 13922-13930;13954;13985;14058",untranslated_bridge_prose,"five inherited English bridge phrases remained inside Japanese mathematical prose; the first narrow scan found only three",high,visual_and_regex_audit,"English strings and German correspondences are source/tool facts; Japanese bridge wording is editorial inference","accepting visually legible English fragments rejected; first narrow phrase list proved incomplete","translated four consequence bridges as したがって or 一方 and the multiplication bridge as また、適当に乗じた後には; broader ASCII-prose scan then returned only proper names and bibliography","regex cannot establish full semantic fidelity and bibliographic Latin text must not be translated automatically","ASCII prose embedded between displays or paragraph fragments",Use both visual inspection and a broad residual-language scan; a short expected-phrase list is insufficient,JA-D019,"NOE-P24-JA-U020;NOE-P24-JA-U021",Noether_Paper24_Japanese_SourceReconciled_v001.tex,resolved_internal
JA-P24-F006,2026-07-18T17:36:39+02:00,P24 render QA,"render_check/CONTACT_SHEET.png",qa_tool_failure,"two generated contact sheets were almost blank although all individual page PNG files rendered correctly",medium,visual_inspection,"blank contact sheet and valid individual renders are tool observations","using the contact sheet as QA evidence rejected","contact sheet excluded; every page is inspected from its individual PNG","cause of blank composite remains unresolved; recurrence possible",blank or near-white composite despite nonblank page images,Never accept a contact sheet without comparing it to individual pages,JA-D019,NOE-P24-JA-U000,render_check/CONTACT_SHEET.png,rejected_artifact
JA-P24-F007,2026-07-18T17:41:00+02:00,P24 post-correction build,"workspace accidental directory C:/Users/Floris/Documents/interlanguage/$out",shell_argument_routing,"XeLaTeX treated the intended absolute output variable literally and wrote a successful but noncanonical build into a directory named $out",medium,build_stdout,"literal output path is a tool fact; rejecting and deleting only the verified accidental generated directory is an operational decision","accepting binaries outside the tranche output directory rejected","verified exact accidental path and three generated files; removed that directory; rebuilt twice from the tranche with -output-directory=output","Windows native-command argument routing can recur with variable-valued key=value options","XeLaTeX transcript contains /$out/",Run XeLaTeX from the tranche with a literal relative output directory,JA-D019,NOE-P24-JA-U000,"accidental $out directory removed; canonical output rebuilt",resolved_internal
JA-P24-F008,2026-07-18T17:50:19.9472087+02:00,P24 formula-level source rebase,"sealed DE 13656-14110; target TeX 282-770",mathematical_source_divergence,"content-keyed comparison showed that equal section/theorem counts and a compilable inherited witness concealed multiple obsolete or incorrect formulas and symbols",critical,display_sequence_and_sentence_audit,"sealed formula bytes and target divergences are source/tool facts; Japanese prose repair is editorial translation","count-only display parity and acceptance of the inherited mathematical layer rejected","corrected variable-exclusion range; E versus E_0; Theorems I-II; Lemma V; Theorem IV; Theorem X exponent chain; section 7 exponents; rebuilt twice as syntax gate","prose and footnote audit remains open; intermediate PDF is not sealed or visually accepted","display count mismatch or mathematically tautological/contradictory proof transition",Topology parity cannot substitute for formula-content parity; compare every display and its governing sentence to the sealed source,JA-D020,"NOE-P24-JA-S01;NOE-P24-JA-TI;NOE-P24-JA-TII;NOE-P24-JA-TIV;NOE-P24-JA-TX;NOE-P24-JA-TXVI",Noether_Paper24_Japanese_SourceReconciled_v001.tex;output intermediate PDF and log,repair_in_progress
JA-P24-F009,2026-07-18T17:59:33.9639261+02:00,P24 structural display inventory,"sealed DE 13657-14110; target TeX 283-769",structural_count_error,"preliminary structural records first reported 45 and later 49 source display objects; ordered representation-aware enumeration proves 47 source objects and 54 target objects",medium,ordered_marker_parser,"counts and marker types are computations; equivalence and promotion relations are editorial structural judgments","retaining aggregate opener count or forcing raw count equality rejected","created 54-row display correspondence and 24-row footnote correspondence; corrected JSON to 47 source display objects","parent/dependency integration and final rendered page placement remain pending","mixed srcnumdisplay equation align bracket and inline-promoted formulas",Count typed display objects by representation and map objects rather than comparing raw opener totals,JA-D023,NOE-P24-JA-U000,"DISPLAY_CORRESPONDENCE.csv;FOOTNOTE_CORRESPONDENCE.csv;STRUCTURAL_INDEX.json",resolved_internal
JA-P24-F010,2026-07-18T19:26:53+02:00,P24 successive 16-page renders,"page boundaries across rejected candidates; final target E597F143 and PDF C1032A41",visual_word_break,"successive candidates divided one or more Japanese lexical units across pages: 拡大; 素イデアル; なぜなら; 係数領域; 再び; そのとき; 任意; 互いに対応する; 随伴素イデアル; 剰余体; 用いるとき; ノルム",medium,original_detail_render_inspection,"each split and its page boundary are visual observations; selecting narrowly scoped nonbreak protection is an editorial layout decision","accepting readable but divided compounds rejected; fixed-page assumptions rejected; every candidate rebuilt and rerendered after adjustment","the exact E597F143 target was built twice; PDF C1032A41 was freshly extracted and rendered; all 16 individual 200-ppi pages passed without lexical split, clipping, collision, missing glyph, or margin overflow","any later source or layout edit can repaginate the article","a complete Japanese word ends on one page and resumes on the next","Treat every pagination mutation as invalidating prior visual evidence and inspect individual CJK pages at original detail",JA-D019;JA-D028,NOE-P24-JA-U000,"TeX; PDF; extracted text; individual page renders; BUILD_AND_VISUAL_QA.md",resolved_by_exact_hash_final_rebuild
