structural_id,parent_id,order,unit_type,source_locator,target_locator,label,dependency_ids,source_state,target_state,review_state,publication_state,confidence,ambiguity_note
NOE-P24-JA-U000,,0,article,DE 13631-14119,JA TeX 257-780,Paper 24,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-U001,NOE-P24-JA-U000,1,apparatus,DE 13631-13638,JA TeX 257-264,title citation author apparatus,,verified,complete,visually_reviewed,internal-final,high,
NOE-P24-JA-U010,NOE-P24-JA-U000,10,prose_unit,DE 13640-13652,JA TeX 266-278,opening program and four problem families,NOE-P24-JA-U001,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S01,NOE-P24-JA-U000,100,section,DE 13654-13738,JA TeX 280-373,§ 1,NOE-P24-JA-U010,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S02,NOE-P24-JA-U000,200,section,DE 13739-13808,JA TeX 375-442,§ 2,NOE-P24-JA-S01,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LI,NOE-P24-JA-S02,10,lemma,DE 13743,JA TeX 379,Lemma I,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LII,NOE-P24-JA-S02,20,lemma,DE 13757,JA TeX 393,Lemma II,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TI,NOE-P24-JA-S02,30,theorem,DE 13763,JA TeX 399,Theorem I,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TII,NOE-P24-JA-S02,40,theorem,DE 13781,JA TeX 417,Theorem II,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LIII,NOE-P24-JA-S02,50,lemma,DE 13785,JA TeX 421,Lemma III,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S03,NOE-P24-JA-U000,300,section,DE 13809-13871,JA TeX 444-505,§ 3,NOE-P24-JA-S02,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LIV,NOE-P24-JA-S03,10,lemma,DE 13813,JA TeX 448,Lemma IV,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TIII,NOE-P24-JA-S03,20,theorem,DE 13825,JA TeX 460,Theorem III,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-LV,NOE-P24-JA-S03,30,lemma,DE 13839,JA TeX 474,Lemma V,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-TIV,NOE-P24-JA-S03,40,theorem,DE 13851,JA TeX 486,Theorem IV,,verified,complete,internally_reviewed,internal-final,high,
NOE-P24-JA-S04,NOE-P24-JA-U000,400,section,DE 13872-13907,JA TeX 507-541,§ 4,NOE-P24-JA-S03,verified,complete,internally_reviewed,internal-final,high,
