range_id,object_class,first_object_id,last_object_id,parent_id,relation,dependency_ids,review_state,note
NOE-P24-JA-R001,display,NOE-P24-JA-D001,NOE-P24-JA-D013,NOE-P24-JA-S01,child_of,NOE-P24-JA-U010,checked,section 1 definitions and equations
NOE-P24-JA-R002,display,NOE-P24-JA-D014,NOE-P24-JA-D019,NOE-P24-JA-S02,child_of,"NOE-P24-JA-TI;NOE-P24-JA-TII",checked,section 2 theorem and proof displays
NOE-P24-JA-R003,display,NOE-P24-JA-D020,NOE-P24-JA-D022,NOE-P24-JA-S03,child_of,"NOE-P24-JA-TIII;NOE-P24-JA-TIV",checked,section 3 Lemma V and Theorem IV displays
NOE-P24-JA-R004,display,NOE-P24-JA-D023,NOE-P24-JA-D026,NOE-P24-JA-S04,child_of,"NOE-P24-JA-TV;NOE-P24-JA-TVI;NOE-P24-JA-TVII",checked,section 4 dimension-chain displays
NOE-P24-JA-R005,display,NOE-P24-JA-D027,NOE-P24-JA-D041,NOE-P24-JA-S05,child_of,"NOE-P24-JA-TVIII;NOE-P24-JA-TIX;NOE-P24-JA-TX;NOE-P24-JA-TXI",checked,section 5 decomposition displays
NOE-P24-JA-R006,display,NOE-P24-JA-D042,NOE-P24-JA-D048,NOE-P24-JA-S06,child_of,"NOE-P24-JA-TXII;NOE-P24-JA-TXIII;NOE-P24-JA-TXIV",checked,section 6 imperfect-field examples
NOE-P24-JA-R007,display,NOE-P24-JA-D049,NOE-P24-JA-D054,NOE-P24-JA-S07,child_of,"NOE-P24-JA-TXV;NOE-P24-JA-TXVI;NOE-P24-JA-TXVII",checked,section 7 inline-promoted proof formulas
NOE-P24-JA-R008,footnote,NOE-P24-JA-FN01,NOE-P24-JA-FN04,NOE-P24-JA-U010,annotates,NOE-P24-JA-U001,checked,opening program notes
NOE-P24-JA-R009,footnote,NOE-P24-JA-FN05,NOE-P24-JA-FN08,NOE-P24-JA-S01,annotates,"NOE-P24-JA-D001;NOE-P24-JA-D013",checked,section 1 notes
NOE-P24-JA-R010,footnote,NOE-P24-JA-FN09,NOE-P24-JA-FN10,NOE-P24-JA-S02,annotates,"NOE-P24-JA-TI;NOE-P24-JA-TII",checked,section 2 notes
NOE-P24-JA-R011,footnote,NOE-P24-JA-FN11,NOE-P24-JA-FN16,NOE-P24-JA-S03,annotates,"NOE-P24-JA-TIII;NOE-P24-JA-TIV",checked,section 3 notes
NOE-P24-JA-R012,footnote,NOE-P24-JA-FN17,NOE-P24-JA-FN18,NOE-P24-JA-S04,annotates,"NOE-P24-JA-TVI;NOE-P24-JA-TVII",checked,section 4 notes
NOE-P24-JA-R013,footnote,NOE-P24-JA-FN19,NOE-P24-JA-FN20,NOE-P24-JA-S05,annotates,"NOE-P24-JA-TVIII;NOE-P24-JA-TXI",checked,section 5 notes
NOE-P24-JA-R014,footnote,NOE-P24-JA-FN21,NOE-P24-JA-FN21,NOE-P24-JA-S06,annotates,NOE-P24-JA-TXIV,checked,section 6 note
NOE-P24-JA-R015,footnote,NOE-P24-JA-FN22,NOE-P24-JA-FN24,NOE-P24-JA-S07,annotates,"NOE-P24-JA-TXV;NOE-P24-JA-TXVI",checked,section 7 notes
