record_id,concept_id,channel,form_or_issue,scope,evidence_or_reason,disposition,source_id,source_class,concept_match,provenance_level,review_status,permitted_use,linked_decision_record
JA-P24-A001,noe.p24.source_pointer,adverse,stale R821 current-authority pointer,Paper 24 source authority,"00_current_german_authority remains stale at R821; controlling brief requires sealed P31 A48.",Never use stale pointer as current authority; cite exact P31 path and hash.,noether-current-pointer,generated_corpus,wrong_version,internally_reviewed,rejected,adverse_evidence,SOURCE_USE.md
JA-P24-A002,noe.p24.inherited_formula_layer,adverse,topology parity concealed formula drift,Paper 24 inherited Japanese witness,"Matching seven sections and Theorems I-XVII concealed wrong zero/nonzero relations factors indices and exponent chains.",Use inherited reader only as witness; require object-level sealed-source comparison.,noether-ja-cumulative-v001,draft_translation,near,internally_reviewed,rejected,adverse_evidence,DISPLAY_CORRESPONDENCE.csv
JA-P24-A003,noe.p24.galois_extension,competitor,ガロア体,Japanese inherited Paper 24,"Can denote a finite field and drops the extension sense required by Theorems IV and XI.",Use ガロア拡大体; retain only as competitor history.,noether-ja-cumulative-v001,draft_translation,ambiguous,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P24-GALOIS-EXTENSION.ja.json
JA-P24-A004,noe.p24.elementary_divisor,competitor,初等因子,CJK evidence shelf and inherited reader,"Simplified-Chinese and inherited-draft mass can dominate retrieval but does not authorize Japanese terminology; independent Japanese module sources support 単因子.",Use 単因子 and record qualitative Mandarin-dominance debt without a scalar.,cjk-evidence-shelf,mixed_cjk_sources,near,internally_reviewed,rejected,competitor_evidence,decisions/NOE-P24-ELEMENTARY-DIVISOR.ja.json
JA-P24-A005,noe.p24.basic_ideal,absence,missing exact independent Japanese witness,Noether-Hentzelt historical Grundideal,"The inherited 基本イデアル is semantically coherent but no exact independent Japanese historical witness has been recovered.",Keep held/work-specific and define at first occurrence; do not claim standardization.,japanese-local-shelf,absence_record,ambiguous,internally_reviewed,held,adverse_evidence,decisions/NOE-P24-BASIC-IDEAL.ja.json
JA-P24-A006,noe.p24.individual_norm,absence,missing exact independent Japanese witness,Noether's Einzelnorm,"個別ノルム preserves the stagewise contrast with the full norm but remains source-tethered.",Keep held/work-specific and preserve explicit definition.,japanese-local-shelf,absence_record,ambiguous,internally_reviewed,held,adverse_evidence,decisions/NOE-P24-INDIVIDUAL-NORM.ja.json
JA-P24-A007,noe.p24.render_contact_sheet,adverse,blank contact-sheet artifact,Paper 24 visual QA,"Composite appeared blank although individual rendered pages were valid.",Reject contact sheet and inspect individual pages after final build.,p24-render-tool,generated_artifact,not_applicable,internally_reviewed,rejected,adverse_evidence,DIFFICULTY_AND_FAILURE_LEDGER.csv
JA-P24-A008,noe.p24.primary_function,competitor,一次関数 and generic primary-function senses,Japanese terminology retrieval,"Primärfunktion is explicitly defined in this source as a power of a Primfunktion; generic modern senses would erase the historical definition.",Keep 準素関数 only with the explicit sense window ここでは素関数の冪.,sealed-p31-p24,authoritative_source,exact,internally_reviewed,held,adverse_evidence,decisions/NOE-P24-PRIMARY-FUNCTION.ja.json
JA-P24-A009,noe.p24.corresponding_zero_system,competitor,付随零点系,Japanese theorem wording,"The compound can be misread as a zero system attached in a generic or associated-prime sense and fails to express the source's indexed mutual correspondence.",Use 互いに対応する一組の零点系 in Theorems IV and XI.,sealed-p31-p24,authoritative_source,exact,internally_reviewed,held,competitor_evidence,decisions/NOE-P24-CORRESPONDING-ZERO-SYSTEM.ja.json
JA-P24-A010,noe.p24.source_punctuation,adverse,"extra closing parenthesis in `(Anm. 21));`",sealed German P31 line 14093,"The footnote has one unmatched closing parenthesis; likely punctuation is `(Anm. 21); Hilfssatz S. 296.`. The Japanese target is already balanced.",Do not mutate sealed authority locally; routed to persistent task `4 -nterslav` for scan-backed authority disposition.,noether-p31-sealed-p24,canonical_source_authority,exact,internally_reviewed,held,adverse_evidence,JAPANESE_DECISION_LOGBOOK_20260718.md#JA-D026
JA-P24-A011,noe.p24.source_punctuation,supersession,original printed footnote punctuation,sealed German P31 line 14093,"Original-print comparison confirms that `(Anm. 21));` is faithful and that the adjacent closing marks serve the note number and enclosing parenthetical respectively.",Withdraw the proposed deletion; close JA-P24-A010 and notify `4 -nterslav` that no source correction is requested.,noether-p24-original-print,primary_source_scan,exact,internally_reviewed,cleared,corrective_evidence,JAPANESE_DECISION_LOGBOOK_20260718.md#JA-D027
JA-P24-A012,noe.p24.pagination,adverse,"page-boundary splits in 拡大; 素イデアル; なぜなら; 係数領域; 再び; そのとき; 任意; 互いに対応する; 随伴素イデアル; 剰余体; 用いるとき; ノルム",successive Paper 24 Japanese render candidates,"Individual original-detail page inspection found the listed Japanese lexical units divided across page boundaries in one or more superseded candidates; clean compilation did not expose the defect.",Reject every affected pagination; accept only the exact E597F143/C1032A41 render after two builds and inspection of all 16 individual pages.,p24-render-sequence-20260718,generated_artifact,not_applicable,internally_reviewed,rejected,adverse_evidence,BUILD_AND_VISUAL_QA.md
