item,tex/source form,Spanish policy,Japanese policy,notes
K field,\Kfield = \mathfrak{K},cuerpo / campo according to context,体,function field/body
system,\Ssys = \mathfrak{S},sistema,系,
integrality domain,\Jdom = \mathfrak{J},dominio de integridad,整性領域,
relatively integral domain,\Gdom = \mathfrak{G},dominio relativamente entero,相対的整領域,Paper 06 §§9-15
linear family,\Lsys = \mathfrak{L},familia lineal,線形族,
finite group,\Hgrp = \mathfrak{H},grupo finito \mathfrak{H},有限群 \mathfrak{H},Paper 07
Galois resolvent,\Phi(z\,u),resolvente de Galois,Galois resolvent,Paper 07
linear families,\mathcal L \mathcal S \mathcal T,familias lineales,線形族,Paper 08
operator symbols,\Omega \nabla \Delta,preserve in formulas,数式で保持,Paper 08
algebraic integers,[\Omega],enteros de [Ω],[Ω] の整数,Paper 06 §§14-15
unit epsilon,R_0=\eps,unidad; R_0=\varepsilon,単元; R_0=\varepsilon,keep macro if present
colon quotient,F(x):G(x),preserve colon quotient,コロン商を保持,do not silently convert to fraction
Lüroth,Lüroth,Lüroth,Lüroth,retain diacritic
Clebsch--Gordan,Clebsch--Gordan,Clebsch--Gordan,Clebsch--Gordan,retain en dash/double hyphen in TeX source
Gattungsbereich,\emph{Gattungsbereich},retain italic German term,イタリックのドイツ語として保持,historical named concept
source anomaly,A_\tau(G_i(x)),preserve and audit,保持して監査に記録,Paper 06 §11 formula (6)
source abbreviation,in inf.,preserve,保持,Paper 06 §12 example
Paper09 domains,"\mathfrak G, \mathfrak H, \mathfrak M, \mathfrak L, \mathfrak R","preserve Fraktur; translate surrounding term, not symbol",Frakturは保持し周囲語を訳す,Paper09
basis symbols,"H, \eta, \xi, \vartheta, \Theta",preserve basis symbols,基底記号を保持,Paper09
root/index notation,"\sqrt[\nu]{}, \sqrt[\sigma]{}",preserve indexed roots,指数付き根号を保持,Paper09
congruence notation,"\pmod{...}, \operatorname{mod}",preserve TeX congruence layout,合同式レイアウトを保持,Paper09
old infinity phrase,in inf.,preserve when source/control uses it; note as historical abbreviation,原文/対照が用いる場合は保持,Paper09 source-control anomaly/preservation
