"probe_id","source_surface","source_language_or_scope","topic_tags","query_or_scope","outcome_status","candidate_url","repository","source_path_or_archive_path","source_hash_or_sha","license_or_access_signal","access_status","local_path_or_manifest_path","evidence_tier","upload_policy","blocker_or_next_gate","non_claim_boundary"
"SLT-RERUN-CONTROL-AGENTS","control file","repository instructions","source-canon coordination","AGENTS.md","observed","","","AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","local repo file hash","bytes=6731; last_write=2026-07-04T21:59:26+02:00","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","control_hash","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Instructions stable; keep source-canon-first guardrails.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-CONTROL-COPILOT","control file","repository instructions","source-canon coordination",".github/copilot-instructions.md","observed","","",".github/copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","local repo file hash","bytes=2369; last_write=2026-07-04T21:59:26+02:00","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","control_hash","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Instructions stable; keep source-canon-first guardrails.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-CONTROL-PARENT","control ledger","parent ledger","source-canon coordination","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","observed","","","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","512C36564A65B56EFCE8A80383D36794298373174DD3C7F17ADFBCF9D01CD01E","local file hash","bytes=459041; last_write=2026-07-05T03:37:42+02:00","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","control_hash","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Parent ledger advanced; use latest local hash as coordination evidence.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-CONTROL-STEERING","control ledger","source-canon steering","source-canon coordination","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","observed","","","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","local file hash","bytes=4993; last_write=2026-07-04T18:45:58+02:00","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","control_hash","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Source-canon-first steering remains stable.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-REGISTER-STATE","R2 normalized register","R2 Pan-Turkic","register status; source-level TeX/archive; hard blockers","NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","zero_source_level_rows_remain","","","NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","local file hash","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","register_gap_state","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Continue source acquisition; no source-level support can be inferred from fallback rows.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-LOCAL-R2-PAYLOADS","local R2 outputs file inventory","R2 Pan-Turkic","source-level TeX/LaTeX/archive payload presence","Get-ChildItem outputs for .tex/.latex/.ltx/.bib/.zip/.tar/.gz/.xz/.7z","no_source_level_payload_in_r2_outputs","","","","","local filesystem inventory","matching_payload_files=0","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs","local_inventory_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Continue source acquisition; do not infer source-level support from PDF/HTML rows.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-OLD-PROBE-MD-REPAIR","prior artifact quality check","R2 source-level probe markdown","placeholder repair; provenance hygiene","Scan old 20260704T2324 source-level probe markdown","superseded_due_placeholder_artifact_note","","","NOETHER_R2_PAN_TURKIC_SOURCE_LEVEL_TEX_ARCHIVE_PROBE_20260704T2324.md","EA38AFAC5FAD40B5A97B20FEB4BC40DEF2C1820C08DD3C9B4CDE0A491FA8A943","local file hash","old markdown contains literal $csvPath/$jsonPath and NUL-rendered zero characters; CSV/JSON rows remain structurally usable","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_LEVEL_TEX_ARCHIVE_PROBE_20260704T2324.md","artifact_repair_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Use this clean rerun artifact as the current source-level probe note; do not rely on stale placeholder-bearing markdown.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-PACKAGE-388","B3 package frontier","package frontier context","package rows; R2 visibility","NOETHER_SESSION_OUTPUT_PACKAGE388_MANIFEST.csv","observed_no_r2_rows","","","NOETHER_SESSION_OUTPUT_PACKAGE388_MANIFEST.csv","F0D1EEE8CB500416B7DC85683B32C3FB72B94FEF8D1713314B3033004FE0816F","package manifest hash","manifest_rows=7; r2_rows=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE388_20260705T035014_ROLLING_DELTA_AFTER_PACKAGE387\NOETHER_SESSION_OUTPUT_PACKAGE388_MANIFEST.csv","package_frontier_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-canon artifact visibility in this package; Event 041 remains lane-local pending B3.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-PACKAGE-389","B3 package frontier","package frontier context","package rows; R2 visibility","NOETHER_SESSION_OUTPUT_PACKAGE389_MANIFEST.csv","observed_no_r2_rows","","","NOETHER_SESSION_OUTPUT_PACKAGE389_MANIFEST.csv","9E2D6D0F0335BAE1007E47E424D4CCB54D01DE50E7CA5D69CDE702D5759800DE","package manifest hash","manifest_rows=3; r2_rows=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE389_20260705T035131_ROLLING_DELTA_AFTER_PACKAGE388\NOETHER_SESSION_OUTPUT_PACKAGE389_MANIFEST.csv","package_frontier_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-canon artifact visibility in this package; Event 041 remains lane-local pending B3.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-RERUN-PACKAGE-390","B3 package frontier","package frontier context","package rows; R2 visibility","NOETHER_SESSION_OUTPUT_PACKAGE390_MANIFEST.csv","observed_no_r2_rows","","","NOETHER_SESSION_OUTPUT_PACKAGE390_MANIFEST.csv","A88A1E66487337BCB272DA05DC47159E5EA7F16BC480662BC051214D576327A5","package manifest hash","manifest_rows=2; r2_rows=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE390_20260705T035306_ROLLING_DELTA_AFTER_PACKAGE389\NOETHER_SESSION_OUTPUT_PACKAGE390_MANIFEST.csv","package_frontier_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-canon artifact visibility in this package; Event 041 remains lane-local pending B3.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
