"record_id","record_type","parent_id","revision","revision_of","supersedes","superseded_by","volume","expose","unit","source_lines","source_locator","authority_sha256","source_reading","target_reading","status","raw_cursor","substantive_cursor","target_tex_sha256","target_pdf_sha256","evidence_sha256","release_state"
"SGA2-X-P23-STMT-INDEP@1","independent_review","","1","","","","SGA2","X","Proposition 2.3 statement independent audit","3414-3423","printed116;physical100-101;running92-93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","complete bounded statement independently replayed and reviewed","producer statement passes source translation build render and machine gates","independent_pass_internal","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","62713CF86C335AA07D4F72CE5F0A3C8F67964731101BFABE33C4518DA1ADAF96","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-SOURCE@1","source_replay_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","exact authority replay","3414-3423","printed116;physical100-101;running92-93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","ten authority lines with terminal LF","924-byte stored slice byte-identical to live authority replay","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-LOCATORS@1","locator_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","distinct source locators","3414-3423","printed116;physical100-101;running92-93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","statement begins after printed116 marker and crosses physical page boundary","all three locator systems preserved without conflation","independent_pass_same_edition_caveat","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","41AD02C57321A8D2200FF32A929BC93ADBC3DE0D59DCD5A284D28D859FB87A90","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-FUNCTORS@1","formula_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","three pullback functors and object classes","3415","printed116;physical100;running92","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","L_U P_U E_U respectively modules finite flat and etale coverings","same functors classes and pullback along hat X to X preserved","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-I@1","formula_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","item i full faithfulness","3418","printed116;physical100;running92","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","Lef X Y implies all three functors fully faithful for each open neighborhood","hypothesis quantifier and all three conclusions preserved","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-II-MODULE@1","formula_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","item ii module algebraization","3421","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","Leff X Y every O_hatX object and existence of U E with L_U E isomorphic to mathcal E","module case object roles existential dependence and isomorphism preserved","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","0ADFF5B4A4FDD17DFF772AAF4AFA55FDFE23BC061351A440BC54CAD0ACC43B72","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-II-PARALLEL@1","parallel_case_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","item ii finite flat and etale parallel cases","3421","printed116;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","three resp ellipses supply two parallel covering cases","analogous assertions explicitly stated with P_U and E_U respectively","independent_pass_faithful_explication","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-BUILD@1","build_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","independent two-pass rebuild","3414-3423","independent target rebuild","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","byte-identical target TeX rebuilt under fresh job name","two exits zero pass2 clean one A4 page","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","4112A2172FFFEDFD3302684AD1C0437270FACC22E49A572AF7BB839D45CC1E56","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-RENDER@1","render_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","independent target render and extraction","3414-3423","target1;source physical100-101","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","source statement crosses two physical pages","independent render and extracted text byte-identical to producer outputs","independent_visual_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","A6E67AC8D7CDBEA2052334900D98252462ADDF2304A6BD5AEDB5C79799601368","internal_not_for_release"
"SGA2-X-P23-STMT-INDEP-FONTS@1","font_review","SGA2-X-P23-STMT-INDEP@1","1","","","","SGA2","X","independent font embedding","3414-3423","independent target PDF page1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","eleven target font rows","all eleven embedded subsetted and Unicode mapped","independent_pass","3424","3425","1EAE03E37C9D0602F5972E61BD8F328570C1C199530D35932F882D6E9F9E0133","083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F","AFBF4868614EDE03188EA162E0992001270DADF18A647A041A24D852F1812ACA","internal_not_for_release"
