ordinal,relative_path,bytes,sha256,role,scope,public_caveat,supersedes
1,01_proposition2_3_statement/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md,5961,0720E6ED70DE00B28AE0632E941CFC1005EDF0D8E4DB45519908F8917AA85F80,provenance_audit_or_readme,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
2,01_proposition2_3_statement/independent_review/INDEPENDENT_REBUILD.pdf,178612,4112A2172FFFEDFD3302684AD1C0437270FACC22E49A572AF7BB839D45CC1E56,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
3,01_proposition2_3_statement/independent_review/INDEPENDENT_RENDER_001_150DPI.png,156442,A6E67AC8D7CDBEA2052334900D98252462ADDF2304A6BD5AEDB5C79799601368,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
4,01_proposition2_3_statement/independent_review/INDEPENDENT_REVIEW_EVIDENCE.csv,9165,341E4D70316F036760C98761123A1826E1760549CE233C1C578CAF4D43AE34CF,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
5,01_proposition2_3_statement/independent_review/INDEPENDENT_REVIEW_EVIDENCE.jsonl,6143,B460E858F1C4D6E20EB9C2FB0E74621ED55BFD4BC7014334767BA73C8AF6DB93,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
6,01_proposition2_3_statement/independent_review/INDEPENDENT_REVIEW_VALIDATION.json,6568,F8F879132F7B5E34B98E860BF63CB3BAD5A58CE4DC8F7B2850A04C6DF1DD0D00,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
7,01_proposition2_3_statement/producer/MACHINE_EVIDENCE.csv,6615,7B75468102B1ECED4970C7271F02DB6173CE464E3F74D866F10B45B3726A5224,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
8,01_proposition2_3_statement/producer/MACHINE_EVIDENCE.jsonl,4478,95D188E06596802F198D8B8DBFDE793B83F24E0B7DE9D96326CE36116B311F57,machine_evidence_revision_rights_or_identity_ledger,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
9,01_proposition2_3_statement/producer/MACHINE_VALIDATION.json,6056,5C772E475FAF6A90D2FD7C0B5A0ADB8702E2E32FEDBAEF381B53EB66078F487B,validation_or_artifact_tool_machine_receipt,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
10,01_proposition2_3_statement/producer/RENDER_PAGE_001_150DPI.png,156442,A6E67AC8D7CDBEA2052334900D98252462ADDF2304A6BD5AEDB5C79799601368,rendered_target_review_or_machine_ledger_visual_qa,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
11,01_proposition2_3_statement/producer/SGA2_Expose_X_Proposition_2_3_Statement_English_SourceAligned.pdf,178612,083AE3363895379E1A690D0865FDBD150EC2A6F1596A0A675BE08D583AF39E2F,built_target_or_independent_rebuild_pdf,SGA2 Expose X French3414-3456; raw cursor3457; substantive cursor3458,bounded independently reviewed checkpoint; not complete expose volume or critical edition,local pending or failed evidence states only; no prior public file by byte identity
