source_term,spanish,japanese,notes
Körper,cuerpo,体,Noether rational-function-field context
System,sistema,系,Abstract system of functions/polynomials
lineare Schar,familia lineal,線形族,Keep as family not pencil unless geometry demands
Integritätsbereich,dominio de integridad,整性領域,Noether's integrality-domain term
relativ-ganzer Bereich,dominio relativamente entero,相対的整領域,Hilbert Problem 14 terminology
Rationalbasis,base racional,有理基底,
Minimalbasis,base mínima,最小基底,
Involutionsbasis,base de involución,インボリューション基底,
Integritätsbasis,base de integridad,整性基底,
ganze rationale Funktion,función racional entera,整有理関数,Polynomial/integral-rational function
ganzzahlig,entero / con coeficientes enteros,整数係数 / 整数上整,Distinguish from ganze rationale in §§14-15
Abbildungsbereich,dominio de aplicación,写像領域,
erster Art,de primera especie,第一種,
regulär,regular,正則,
Grundpunkt,punto fundamental,基本点,
Resultante,resultante,終結式,
