sync_id,record_type,lane_or_scope,source_or_artifact,local_or_repo_path,exists,bytes,sha256,last_write_utc,observed_state,governance_interpretation,r9_action_or_blocker,non_claim_boundary,promotion_allowed
R9-GOV-SYNC-20260705-001,GitHub instruction bus,whole program,AGENTS.md,C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md,true,8348,E4E6A7422E118543E5ADAB00ACFB32E8C097FE6F40153745A9E5D9CCAF0DCE6B,2026-07-05T14:11:53.367846+00:00,read at B3 checkout HEAD c8fd72191abb3e3841b571f2497ce719839c9deb,GitHub-visible instructions are authoritative over local heartbeat/thread side channels; source-canon sufficiency transition is controlling.,"R9 must keep source-canon first, then maintain draft-only support for source-sufficient covered rows and gap status for uncovered rows.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-002,GitHub instruction bus,whole program,.github/copilot-instructions.md,C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md,true,2898,D553C306879C915C9B0132E6DF50F010FE8F9ADC9EB130C9295BC4DF9DBD50FF,2026-07-05T14:11:53.369857+00:00,read at B3 checkout HEAD c8fd72191abb3e3841b571f2497ce719839c9deb,GitHub-visible instructions are authoritative over local heartbeat/thread side channels; source-canon sufficiency transition is controlling.,"R9 must keep source-canon first, then maintain draft-only support for source-sufficient covered rows and gap status for uncovered rows.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-003,GitHub instruction bus,whole program,NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md,C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md,true,2334,D2B3A68F28C90C09A3BEAC978D78E336C375F9B44F13CD544771DCC7026BA127,2026-07-05T14:11:53.371866+00:00,read at B3 checkout HEAD c8fd72191abb3e3841b571f2497ce719839c9deb,GitHub-visible instructions are authoritative over local heartbeat/thread side channels; source-canon sufficiency transition is controlling.,"R9 must keep source-canon first, then maintain draft-only support for source-sufficient covered rows and gap status for uncovered rows.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-004,GitHub instruction bus,whole program,NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json,C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json,true,2922,E01C2CBA3FAF4A16A87E493E71AF2C0159A4AC120A0E42F650ED40CF4FE7CE10,2026-07-05T14:11:53.373877+00:00,read at B3 checkout HEAD c8fd72191abb3e3841b571f2497ce719839c9deb,GitHub-visible instructions are authoritative over local heartbeat/thread side channels; source-canon sufficiency transition is controlling.,"R9 must keep source-canon first, then maintain draft-only support for source-sufficient covered rows and gap status for uncovered rows.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-005,GitHub instruction bus,whole program,NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,true,1781,A6504AFF333D3B58866F19D95A39BE171F67002952A566A13BDDE8C25A0C0EA2,2026-07-05T14:11:53.375625+00:00,read at B3 checkout HEAD c8fd72191abb3e3841b571f2497ce719839c9deb,GitHub-visible instructions are authoritative over local heartbeat/thread side channels; source-canon sufficiency transition is controlling.,"R9 must keep source-canon first, then maintain draft-only support for source-sufficient covered rows and gap status for uncovered rows.","No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-006,local parent ledger,whole program,NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md,true,550451,A1474CE44F37E2C4E9D34F3D658D581614D07980F5004286392791931E8682EC,2026-07-05T14:54:14.798299+00:00,"Loop Check 96 observed: package 631 pushed, package 632 B3-owned drift; sufficiency-transition rule live.",Local records are supporting context; GitHub-visible bus is the open-machine authority.,R9 publishes local blockers/tasks as artifacts for B3 packaging and does not push.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-007,local steering record,whole program,NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md,true,4993,531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4,2026-07-04T16:45:58.641917+00:00,Older source-canon-first witness-table shape still applies; superseded only where transition rule allows draft support after sufficiency.,Local records are supporting context; GitHub-visible bus is the open-machine authority.,R9 publishes local blockers/tasks as artifacts for B3 packaging and does not push.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-008,B3 steward log,package steward,NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md,true,424302,0A4F6C2FD0F0D341F879E2CAF45698FBBC27B51B604BDA3960DC6CDDCAD8344E,2026-07-05T14:40:59.849133+00:00,B3 durable log records packages through source-canon sufficiency broadcast/package 631 addendum; parent ledger is newer for package 632 drift.,Local records are supporting context; GitHub-visible bus is the open-machine authority.,R9 publishes local blockers/tasks as artifacts for B3 packaging and does not push.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-009,cross-lane sufficiency artifact,Arabic RTL,NOETHER_ARABIC_RTL_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,true,9087,9236A7F583898D07CE9CBBB6D9C643F8D7B88ECA2050FA732D5A389043D1CF78,2026-07-05T14:22:03.082170+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-010,cross-lane sufficiency artifact,CJK draft,NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md,true,48247,AAE9BCE217545BD90792F3E8049E7A1D8520090DC658BDAAA5B7DAFD742A1BD0,2026-07-05T14:23:25.291071+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-011,cross-lane sufficiency artifact,CJK native/source evidence,NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\NOETHER_CJK_SOURCE_CANON_SUFFICIENCY_TRANSITION_DRAFT_SUPPORT_20260705.md,true,13743,5AC9AABFE8D42AD82C9D5CAA20BCD5B970A22E691BFCED08928D629B2746180B,2026-07-05T14:20:54.499177+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
R9-GOV-SYNC-20260705-012,cross-lane sufficiency artifact,R2 Pan-Turkic,NOETHER_R2_PAN_TURKIC_SOURCE_CANON_SUFFICIENCY_DRAFT_SLICE_20260705T1620.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_SUFFICIENCY_DRAFT_SLICE_20260705T1620.md,true,3136,E5344F99B1D6B8CFEF812291C7DD21DBF8C431E1E2C68079594600A5076405AF,2026-07-05T14:24:23.345145+00:00,present in local cross-lane output scan,"Sufficiency transition is being implemented as draft/non-canonical support after source baseline, not as approval.",Use as method/frontier comparison only; do not import another lane evidence as R9 source witness.,"No native/community review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, package upload, commit, or Git push claimed.",false
