record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,source_lines,locator,source_reading,target_reading,decision,status,authority_sha256,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,review_state
SGA2-X-L3573-PURITY-II-PROOF@1,unit_status,,1,,,SGA2-X-L3573-PURITY-II-PROOF@2,3573-3574,printed122;physical105;running97,complete part ii proof,source-aligned English proof,no-overwrite successor,producer_FAIL_privacy_superseded_by_R2,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,B05278589CC78D89064D5DCB7F8DFCBC1E83E992E4CA3DDB38861B0865731A8D,3575,3576,internal_not_for_release,fresh_independent_FAIL_bound
SGA2-X-L3573-AUTHORITY@1,authority_binding,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,,3573,printed122;physical105;running97,965 Latin-1 bytes without EOL,French immutable,bind exact source line,pass,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,3575,3576,internal_not_for_release,pending_fresh_independent_review
SGA2-X-L3573-PDF-WITNESS@1,witness_role,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,,3573,printed122;physical105;running97,same-edition page reproduces three defects,manifestation only,reject independent corroboration,pass,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,41AD02C57321A8D2200FF32A929BC93ADBC3DE0D59DCD5A284D28D859FB87A90,3575,3576,rights_gated_internal,pending_fresh_independent_review
SGA2-X-L3573-JCREINHOLD@1,comparison_role,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,,468-476,comparison lines468-476,three corrected readings,comparison only,reject authority role,pass,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,E96058C135666DB99271F9454E6321DA78CA60ED39AEC5F8BFAC5CD67DB3F333,3575,3576,comparison_internal,pending_fresh_independent_review
SGA2-X-L3573-POUVONS-VS-PROUVONS-SRCCAND-001@1,provisional_candidate,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-POUVONS-VS-PROUVONS-SRCDEF-001@1,3573,printed122;physical105;running97,Pouvons que,provisional Prouvons candidate,preserve append-only,superseded,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,3575,3576,internal_not_for_release,superseded_by_manager_decision
SGA2-X-L3573-COR39-VS-COR38-XREF-SRCCAND-001@1,provisional_candidate,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-COR39-VS-COR38-XREF-SRCDEF-001@1,3573,printed122;physical105;running97,corollaire X.3.9,provisional Corollary3.8 candidate,preserve append-only,superseded,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,3575,3576,internal_not_for_release,superseded_by_manager_decision
SGA2-X-L3573-UN-VS-UNE-INTERSECTION-SRCCAND-001@1,provisional_candidate,SGA2-X-L3573-PURITY-II-PROOF@1,1,,,SGA2-X-L3573-UN-VS-UNE-INTERSECTION-SRCDEF-001@1,3573,printed122;physical105;running97,un intersection complete,provisional une candidate,preserve append-only,superseded,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,BBC2D1966E57C80C63782EA45A3F0AEB36B3A38968C4A69B7A8CB64B67D17071,3575,3576,internal_not_for_release,superseded_by_manager_decision
SGA2-X-L3573-POUVONS-VS-PROUVONS-SRCDEF-001@1,final_source_defect,SGA2-X-L3573-PURITY-II-PROOF@1,1,,SGA2-X-L3573-POUVONS-VS-PROUVONS-SRCCAND-001@1,,3573,printed122;physical105;running97,Pouvons que,Let us prove,repair proof transition,accepted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,0583581E6A5B283CC95E52341218E13633F24B05A48DC078A75475D0E77C6603,3575,3576,internal_not_for_release,pending_fresh_independent_review
SGA2-X-L3573-COR39-VS-COR38-XREF-SRCDEF-001@1,final_source_defect,SGA2-X-L3573-PURITY-II-PROOF@1,1,,SGA2-X-L3573-COR39-VS-COR38-XREF-SRCCAND-001@1,,3573,printed122;physical105;running97,corollaire X.3.9,Corollary 3.8,repair cross-reference,accepted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,0583581E6A5B283CC95E52341218E13633F24B05A48DC078A75475D0E77C6603,3575,3576,internal_not_for_release,pending_fresh_independent_review
SGA2-X-L3573-UN-VS-UNE-INTERSECTION-SRCDEF-001@1,final_source_defect,SGA2-X-L3573-PURITY-II-PROOF@1,1,,SGA2-X-L3573-UN-VS-UNE-INTERSECTION-SRCCAND-001@1,,3573,printed122;physical105;running97,un intersection complete,a complete intersection,repair grammatical gender,accepted,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,,,0583581E6A5B283CC95E52341218E13633F24B05A48DC078A75475D0E77C6603,3575,3576,internal_not_for_release,pending_fresh_independent_review
SGA2-X-L3573-PURITY-II-PROOF@2,unit_status,,2,SGA2-X-L3573-PURITY-II-PROOF@1,SGA2-X-L3573-PURITY-II-PROOF@1,,3573-3574,printed122;physical105;running97,R1 translation preserved with privacy-defective logs excluded,byte-identical target with public-safe summaries,no-overwrite privacy successor,producer_R2_PASS_review_ready,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT_R2.md,3868,0CE55BE7E42FA21F320D53AA63A400C90AEA89D3C6E5FA7990029241ABD7B6DF,3575,3576,internal_not_for_release,review_ready_pending_fresh_R2_independent_review
