ordinal,relative_path,bytes,sha256,last_write_local,custody_state
1,build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.aux,162,09272726B6BCD93175BF0C45298A936362D70AB34E0BD87798585DCD7B0363FE,2026-07-22T02:15:51.665612+02:00,restricted_original_root_contamination_not_copied
2,build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.log,24962,3093A93F2609A401EF27DF9E801809CD7C97703FDE9FF744D4CCA2DB77C2D7D4,2026-07-22T02:15:51.704109+02:00,restricted_original_root_contamination_not_copied
3,build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.out,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,2026-07-22T02:15:51.563219+02:00,restricted_original_root_contamination_not_copied
4,build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.pdf,210031,D2ED98310B92E1936B06EDB5BBAA2396CB84A486B1C1FAF07FAE2DAD7F113BA2,2026-07-22T02:15:51.704109+02:00,restricted_original_root_contamination_not_copied
5,independent_audit.py,17225,C88439C28E59444527E3D2DD943C5882D784865FC3498CA0F2A1A9BB4BBADB88,2026-07-22T02:19:50.081091+02:00,restricted_original_root_contamination_not_copied
6,REBUILD_EXTRACTED_TEXT.txt,2414,A24A9DC808A2F2973A6E615BD0429BA584CC01B40D7D576D058539448BD23F47,2026-07-22T02:16:25.161637+02:00,restricted_original_root_contamination_not_copied
7,REBUILD_PAGE_001.png,314385,22323A08E88E25D14BF811D8949B077A737F6D48182CA1FA6745CA0614DAFE46,2026-07-22T02:16:37.168401+02:00,restricted_original_root_contamination_not_copied
8,REBUILD_PASS1.log,8033,C02F69183941929DF29EF5AA05DB60C990A8FE1686E54A2975363F96B56821A0,2026-07-22T02:15:50.059601+02:00,restricted_original_root_contamination_not_copied
9,REBUILD_PASS2.log,8033,C02F69183941929DF29EF5AA05DB60C990A8FE1686E54A2975363F96B56821A0,2026-07-22T02:15:51.059999+02:00,restricted_original_root_contamination_not_copied
10,REBUILD_PASS3.log,8033,C02F69183941929DF29EF5AA05DB60C990A8FE1686E54A2975363F96B56821A0,2026-07-22T02:15:51.748589+02:00,restricted_original_root_contamination_not_copied
11,REBUILD_PDFFONTS.txt,1520,D2AA774D353B6F3571C040B86D8952EF6A16C12824EDC7BFB120DC6403485DAE,2026-07-22T02:16:24.963280+02:00,restricted_original_root_contamination_not_copied
12,REBUILD_PDFINFO.txt,681,D95CB29DF57B99704075AB072335189F78559A6AF3727739A4DD3730AC2E23EA,2026-07-22T02:16:36.704561+02:00,restricted_original_root_contamination_not_copied
13,REBUILD_RENDER.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,2026-07-22T02:16:36.710064+02:00,restricted_original_root_contamination_not_copied
