ordinal,relative_path,bytes,sha256,pre_review_identity_match,custody_state,notes
1,BUILD_PASS1.log,7577,7F2E9262BCFA12C933949079EEDE8298D2F335FEA3539D7049E4BDA89A3F84C8,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
2,BUILD_PASS2.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
3,BUILD_PASS3.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
4,MACHINE_EVIDENCE.csv,4525,D6044A93E163E639DC267ED274E6BF8169AEA0DD1125521ADA9A9A5F75F2C608,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
5,MACHINE_EVIDENCE.jsonl,7234,B67EFF05ECB12622D264AE42125B11BAC220ED2791B99A42B76B3AFDA9DB008E,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
6,PRIVACY_SCAN.csv,118,A1477D5CCD7AF7F1A4099335764D43F7562F96A6AC4EBEAA5A334A9418E88AA8,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
7,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.aux,162,09272726B6BCD93175BF0C45298A936362D70AB34E0BD87798585DCD7B0363FE,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
8,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.log,24682,34C5847828156904BAE30A3922FE42665C0B97F473F7DC30B19C2092FC8C0C24,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
9,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.out,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
10,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.pdf,210031,4A4200DE92635B265CDCA1BE28DFBAA7D318E09217EC481149B1E5B358B288CA,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
11,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.tex,3063,385556B1AE857E855163EF2A7F26A9BA69010BD054616C01AFD48BD54BAB5499,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
12,SHA256SUMS.csv,3150,EA11F086F97EF2D9282FC3363F48917491018A0F08261B8C3572B9FDFE78CE76,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
13,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT.md,3053,FD1EFE619269791C8CEA08BE942AEFC55CBA2B17567BF03CE37956D300BE3757,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
14,TARGET_EXTRACTED_TEXT.txt,2414,A24A9DC808A2F2973A6E615BD0429BA584CC01B40D7D576D058539448BD23F47,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
15,TARGET_PAGE_001.png,239911,BD5809F281B9EDE4E7A67C2A69D649B5EFF759D445386B118FBDA891C4EB5CA7,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
16,TARGET_PDFFONTS.txt,1520,D2AA774D353B6F3571C040B86D8952EF6A16C12824EDC7BFB120DC6403485DAE,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
17,TARGET_PDFINFO.txt,681,A7545154DAE65AB51519A1DAC1208DCA80D85355A46899C4962DF218A30E6730,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
18,TARGET_RENDER.log,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
19,validate_package.py,9198,C04070555581934CAD5FAEF046F91ED68F798AB30FC3B03843D0E7C5264D8037,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
20,VALIDATION.json,1770,1E2C833194804771552CCBB4124D808660F8406FFD5AFAF703C37CF95B9956DE,true,preserved_r1_top_level_file,root later gained separately inventoried review subdirectory
