ordinal,review_root_name,relative_path,bytes,sha256,status
1,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,CONTAMINATION_BINDING.csv,2385,CF0F080DD3E9608DF0FD002A27DC82A486B3A582CD2DD806F231B73DC0E60B69,bound_predecessor_FAIL_not_copied
2,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.aux,162,09272726B6BCD93175BF0C45298A936362D70AB34E0BD87798585DCD7B0363FE,bound_predecessor_FAIL_not_copied
3,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.log,24962,3093A93F2609A401EF27DF9E801809CD7C97703FDE9FF744D4CCA2DB77C2D7D4,bound_predecessor_FAIL_not_copied
4,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.out,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,bound_predecessor_FAIL_not_copied
5,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/build/SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.pdf,210031,D2ED98310B92E1936B06EDB5BBAA2396CB84A486B1C1FAF07FAE2DAD7F113BA2,bound_predecessor_FAIL_not_copied
6,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/independent_audit.py,17225,C88439C28E59444527E3D2DD943C5882D784865FC3498CA0F2A1A9BB4BBADB88,bound_predecessor_FAIL_not_copied
7,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/REBUILD_EXTRACTED_TEXT.txt,2414,A24A9DC808A2F2973A6E615BD0429BA584CC01B40D7D576D058539448BD23F47,bound_predecessor_FAIL_not_copied
8,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/REBUILD_PAGE_001.png,314385,22323A08E88E25D14BF811D8949B077A737F6D48182CA1FA6745CA0614DAFE46,bound_predecessor_FAIL_not_copied
9,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/REBUILD_PASS1.log,8033,C02F69183941929DF29EF5AA05DB60C990A8FE1686E54A2975363F96B56821A0,bound_predecessor_FAIL_not_copied
10,sga2_x_line3573_adjudicated_20260722_fail_20260722_001,contamination_evidence/producer_root_independent_review_20260722_001/REBUILD_PASS2.log,8033,C02F69183941929DF29EF5AA05DB60C990A8FE1686E54A2975363F96B56821A0,bound_predecessor_FAIL_not_copied
