record_id,artifact_class,artifact_locator,bytes,sha256,privacy_disposition,rights_state,release_state,notes
SGA2-X-L3573-R2-RIGHTS-RAWLOG1@1,raw_predecessor_build_log,predecessor/BUILD_PASS1.log,7577,7F2E9262BCFA12C933949079EEDE8298D2F335FEA3539D7049E4BDA89A3F84C8,restricted_not_copied,task_operational_evidence,restricted_internal,79 dewrapped private-path hits
SGA2-X-L3573-R2-RIGHTS-RAWLOG2@1,raw_predecessor_build_log,predecessor/BUILD_PASS2.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,restricted_not_copied,task_operational_evidence,restricted_internal,79 dewrapped private-path hits
SGA2-X-L3573-R2-RIGHTS-RAWLOG3@1,raw_predecessor_build_log,predecessor/BUILD_PASS3.log,7467,09BCF4FE0BA5BD6EEC0D243335B73B786A1783D02150C369E0BD0CF89ABD826B,restricted_not_copied,task_operational_evidence,restricted_internal,79 dewrapped private-path hits
SGA2-X-L3573-R2-RIGHTS-RAWENGINE@1,raw_predecessor_engine_log,predecessor/target-engine.log,24682,34C5847828156904BAE30A3922FE42665C0B97F473F7DC30B19C2092FC8C0C24,restricted_not_copied,task_operational_evidence,restricted_internal,79 dewrapped private-path hits
SGA2-X-L3573-R2-RIGHTS-CLEANLOG1@1,public_safe_build_summary,BUILD_PASS1_PUBLIC_SAFE.log,599,6621D9A9F087AE22E51E225483CB94BDAB240731CC524C802D1FF2AF7AA4D102,privacy_clean_dewrapped,task_operational_summary,internal_not_for_release,raw path content omitted
SGA2-X-L3573-R2-RIGHTS-CLEANLOG2@1,public_safe_build_summary,BUILD_PASS2_PUBLIC_SAFE.log,572,0E1B690C21141026C117F589E68F53FA6C94C4CD7E14D47BE76FA8DA76FEB6D7,privacy_clean_dewrapped,task_operational_summary,internal_not_for_release,raw path content omitted
SGA2-X-L3573-R2-RIGHTS-CLEANLOG3@1,public_safe_build_summary,BUILD_PASS3_PUBLIC_SAFE.log,572,337C13B109BFA3E248233C5BD753478A0103239FF7C4A255FC3391A51403752F,privacy_clean_dewrapped,task_operational_summary,internal_not_for_release,raw path content omitted
SGA2-X-L3573-R2-RIGHTS-CLEANENGINE@1,public_safe_engine_summary,ENGINE_LOG_PUBLIC_SAFE.log,544,890294C40BBA2FED498A0345AF2DF33DDFC411E16BC0410071489AAC13262B7D,privacy_clean_dewrapped,task_operational_summary,internal_not_for_release,raw path content omitted
SGA2-X-L3573-R2-RIGHTS-TEX@1,target_tex,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.tex,3063,385556B1AE857E855163EF2A7F26A9BA69010BD054616C01AFD48BD54BAB5499,privacy_clean_dewrapped,task_generated_translation,internal_not_for_release,byte-identical to R1
SGA2-X-L3573-R2-RIGHTS-PDF@1,target_pdf,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.pdf,210031,4A4200DE92635B265CDCA1BE28DFBAA7D318E09217EC481149B1E5B358B288CA,privacy_clean_metadata_and_text,task_generated_translation,internal_not_for_release,byte-identical to R1
SGA2-X-L3573-R2-RIGHTS-SOURCE@1,French_authority,external_authority_line3573_3574,978,B05278589CC78D89064D5DCB7F8DFCBC1E83E992E4CA3DDB38861B0865731A8D,not_copied,French_rights_retained,rights_gated_internal,authority remains byte-identical
SGA2-X-L3573-R2-RIGHTS-CANDIDATE@1,comparison_lineage,external_jcreinhold_lines468_476,1019,E96058C135666DB99271F9454E6321DA78CA60ED39AEC5F8BFAC5CD67DB3F333,not_copied,comparison_rights_separate,comparison_internal,comparison only and not authority
