record_id,record_type,parent_id,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,source_locator,authority_role,authority_sha256,source_reading,target_reading,decision,status,confidence,evidence_path,evidence_bytes,evidence_sha256,raw_cursor,substantive_cursor,release_state,revisit_condition
SGA2-X-C38-IR-20260722@1,independent_review_status,,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,exact producer target independently reviewed,independent PASS,accept exact producer target,independent_pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,manager_seal_and_custody_decision
SGA2-X-C38-IR-AUTH@1,authority_identity,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,French arXiv TeX SHA C2F899...,authority byte-exact,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\source_control\french_arxiv\smf_doc-math_4_01.tex,586789,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-SCOPE@1,source_scope,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,lines 3536-3540; 218 bytes,scope replay exact,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SOURCE_LINES_3536_3540_LATIN1_LF.tex,218,94D108BA11D32F382E082BC77136954852D98A5FCBD1DE545A67C4064F9F3E2D,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-LOC@1,locator_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,printed120;physical104;running96,locators distinct and confirmed,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\independent_review\sga2_x_corollary3_8_statement_proof_lines3536_3540_20260722\tmp\pdfs\SOURCE_PHYSICAL_104.txt,3498,E5EFE11EBAB337BCCCD2D0211BAB5CCEDC7C12FF38C20DB77A3D32F90B520954,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-DEPTH@1,formula_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,\prof A\geq 2,depth A >= 2,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-HAT@1,formula_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,\hat{A},\widehat{A},retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-PURITY@1,logic_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,purity of completion implies purity of A,direction preserved,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-REF35@1,reference_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,\Ref{X.3.5},Lemma 3.5,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-REF36@1,reference_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,\Ref{X.3.6},Lemma 3.6,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SGA2_Expose_X_Corollary_3_8_Statement_and_Proof_English_SourceAligned.tex,1563,856B396D68A41AD2F6EAFD17AB50C0B2167519D4361E378EFE1F758BFEF9146B,3541,3542,internal_not_for_release,none
SGA2-X-C38-IR-CURSOR@1,boundary_check,SGA2-X-C38-IR-20260722@1,1,,,,SGA2,X,Corollary 3.8 statement and proof independent review,3536-3540,printed120;physical104;running96,french_arxiv_editable_authority,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,raw3541;substantive3542,cursor preserved,retain checked evidence,pass,high,<USER_HOME>\Documents\interlanguage\03_projects\language_management\english_germanic\03_working_translations\sga2_source_aligned_en_arxiv_math0511279v1_20260718\working\unit_X_corollary3_8_statement_proof_lines3536_3540_20260720\SOURCE_NEXT_LINE3542_LATIN1_NO_EOL.tex,90,DF17A55BC0E31E17B96E03B83BF2108252101010433948276728DB4A0D519B84,3541,3542,internal_not_for_release,none
