"field","value","label"
"packet","R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706\R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z","local-output-path"
"prior_frontier","963f529950a0309fadf2848b5c91f12da936f01f","branch-comparison"
"current_head","5dcc7bf5785eead01fd397b8e179a8276f3b668b","branch-comparison"
"observed_remote_head","5dcc7bf5785eead01fd397b8e179a8276f3b668b","branch-observation"
"branch_delta_rows","42","branch-delta"
"source_body_rows","143","source-body-canon"
"micro_evidence_rows","148","source-gated-micro-evidence"
"blocker_rows","225","active-recovery-blocker"
"claim_guard","No bridge promotion, cross-gate merge, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion.","boundary"
