path	bytes	sha256	role	acceptance	printed_page_range	provenance
README.md	2758	6397CABF9C5DC9BB81FC52AEE30F8C04965B8182B8B85AF4BE998EA5C69B6041	HANDOFF_EXPLANATION	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
SOURCE_BACKED_DIFF.tsv	72	39252F7DC5580AB5CD7CDC314BFD122162CF6790F1621519557E44F6CD62DB42	SOURCE_BACKED_CORRECTION_LEDGER	NO_COMPARISON_PERFORMED		Header only; zero source comparisons, not a NONE finding
evidence/RETRIEVAL_PROVENANCE.json	1562	2AB276C550CA78A3379532CD1EF95BD392DC08F8481085DFE003A2DDD85C0D99	RETRIEVAL_PROVENANCE	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
evidence/retrieved_text/00_READ_FIRST.md.txt	1271	7C3DFBB451ABA1BBEB4FE5CDCAE069A196257C4436B5DFB2166530DF5C6F7DA1	RETRIEVED_INSTRUCTION_TEXT	NOT_ORIGINAL_FILE_BYTES		file_search file_00000000f6dc81f4bfe3c0c7d42c34ff; turn0file0; reconstructed UTF-8 text, not byte-verified original
evidence/retrieved_text/01_GOVERNING_INSTRUCTIONS.md.txt	2658	F99002D792738241830152847903A0F74F7FC5F6C5210E103869D7970610C664	RETRIEVED_INSTRUCTION_TEXT	NOT_ORIGINAL_FILE_BYTES		file_search file_00000000454081f4b4440c046bc2ace1; turn0file7; reconstructed UTF-8 text, not byte-verified original
evidence/retrieved_text/03_SOURCE_HIERARCHY.md.txt	1569	2B86F98F8A144F68D085570D75D224160F4F222D02EA573CBF4CA8C4CEA93379	RETRIEVED_INSTRUCTION_TEXT	NOT_ORIGINAL_FILE_BYTES		file_search file_00000000edc88210bf0bf806339db09c; turn0file12; reconstructed UTF-8 text, not byte-verified original
evidence/retrieved_text/04_INITIAL_STATE.json	1315	1AAA825AA57A995DD5EC7C7E877C8A48C0117AC63885C27EB5484B375F1F1474	RETRIEVED_INITIAL_STATE	NOT_ORIGINAL_FILE_BYTES		file_search file_00000000804081f4aa9c73184b190cd7; turn0file11; reserialized retrieved JSON, not byte-verified original
evidence/retrieved_text/09_OUTPUT_AND_DIFF_CONTRACT.md.txt	1429	BCAE3F9BBEA9E34DD2FF0349AFEC45E401BCAB841B2F0FB7B47F0186F0E4939C	RETRIEVED_INSTRUCTION_TEXT	NOT_ORIGINAL_FILE_BYTES		file_search file_0000000094ac81f4b89ede1a62ed04c1; turn0file5; reconstructed UTF-8 text, not byte-verified original
evidence/retrieved_text/20_PROMPT_01_PP063_074.md.txt	1891	E632DBC4A29A27328C9B9003EA5432EFA4ED75493EAD749F5BDE1E69429EE3A8	RETRIEVED_INSTRUCTION_TEXT	NOT_ORIGINAL_FILE_BYTES		file_search file_00000000a88881f48968525c14203288; turn0file4; reconstructed UTF-8 text, not byte-verified original
ledgers/COPY_MATTER_PENDING.tsv	248	C1AF74186D496A33E2988EABF02B0EB14C463C81101B3F31B4372A61BBB0CB15	COPY_MATTER_PENDING_LEDGER	ADMINISTRATIVE_ONLY	63-64	Retrieved governing text only; no scan confirmation
ledgers/EXPECTED_TOPOLOGY_AND_PAGE_STATUS.tsv	4437	5D3B69352A65657B5F14BE01610992D71FFCC55650CA80948603D90CDFE98BF2	EXPECTED_TOPOLOGY_NOT_VALIDATED	ADMINISTRATIVE_ONLY	63-98	Mapping stated in retrieved 03_SOURCE_HIERARCHY.md and 20_PROMPT_01_PP063_074.md; not a substitute for 05_PAGE_MAP.tsv
ledgers/REQUIRED_INPUTS.tsv	1632	9209514549D792F9D45DD5C58108757B9DCC12133406425DA9AC67551AF6BEF1	INPUT_ACCESS_LEDGER	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
qa/INPUT_ACCESS.json	1605	6D49FD38817FBE20ADAC4C1EA1160FB60A8AFBE88F7B421A773C9AC07C64EC67	INPUT_ACCESS_EVIDENCE	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
qa/PROMPT_01_GATES.tsv	929	4CF91A75BF11C09F829C16D4ABE817069B398570E91FBA22C2596BACDED93E2F	PROMPT_PROGRESS_GATES	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
state/CURSOR.json	3261	9C88563F53D41B4C292A291245DB1127AEC599411B3B4EBAA5BA805EB4CFB92B	CURSOR_AND_ACCEPTANCE_STATE	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
tools/verify_handoff.py	2899	55AB28C36D029BD65EEC8975385D86B8A9E9ED3F409CA39A1A85B513081522FF	HANDOFF_VERIFIER	ADMINISTRATIVE_ONLY		Generated during this response; not authority evidence
