"row_id","status","path","classification","r3_source_use_decision"
"delta-001","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_READY_2B1.md","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-002","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_SENT_2B1.md","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-003","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/BRANCH_COMMITS_58566_TO_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-004","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/BRANCH_COMPARE_58566_TO_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-005","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/EXACT_BLOCKERS_AND_RECOVERY_ROWS_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-006","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/FABLE_SOURCE_USE_ADVERSE_COVERAGE_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-007","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/MANIFEST.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-008","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/OWNER_PACKET_ROUTE_SUMMARY_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-009","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/PACKET_MANIFEST_SHA_STATUS_2B1.csv","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-010","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/README.md","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
"delta-011","A","coordination/non-slavic-core-2b1fed31-r3-r6-cjk-r2-source-gate-route-20260706/NON_SLAVIC_CORE_2B1FED31_R3_R6_CJK_R2_SOURCE_GATE_ROUTE_20260706/SHA256SUMS.txt","non-slavic-core-route-context","route context only unless exact R3 row independently source-gated"
