defect_id,component_id,source_locator,issue,target_disposition,status,confidence,source_defect_ledger_safe_locator,source_defect_ledger_bytes,source_defect_ledger_sha256,supersedes,closed_by,revisit_condition
SGA2-VIII-CUM-C01-DEFECT-STATE@1,SGA2-VIII-CUM-C01,French 2501-2525,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C02-DEFECT-STATE@1,SGA2-VIII-CUM-C02,French 2527-2551,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C03-DEFECT-STATE@1,SGA2-VIII-CUM-C03,French 2553-2559,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C04-DEFECT-STATE@1,SGA2-VIII-CUM-C04,French 2561-2571,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C05-DEFECT-STATE@1,SGA2-VIII-CUM-C05,French 2573-2581,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C06-DEFECT-STATE@1,SGA2-VIII-CUM-C06,French 2583-2595,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C07-DEFECT-STATE@1,SGA2-VIII-CUM-C07,French 2597-2609,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C08-DEFECT-STATE@1,SGA2-VIII-CUM-C08,French 2611-2616,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C09-DEFECT-STATE@1,SGA2-VIII-CUM-C09,French 2618-2638,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C10-DEFECT-STATE@1,SGA2-VIII-CUM-C10,French 2640-2659,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C11-DEFECT-STATE@1,SGA2-VIII-CUM-C11,French 2661-2668,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C12-DEFECT-STATE@1,SGA2-VIII-CUM-C12,French 2670-2681,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C13-DEFECT-STATE@1,SGA2-VIII-CUM-C13,French 2683-2713,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
SGA2-VIII-CUM-C14-DEFECT-STATE@1,SGA2-VIII-CUM-C14,French 2715-2721,bounded source-defect and emendation state,carry the frozen reviewed body and its unit-level decision state without silent cumulative changes,no_separate_unit_defect_ledger; formula_and_terminology_ledgers_control,high,,,,,,new source evidence or documented editorial adjudication
