comparison_id,component_id,source_tex_lines,control_type,source_feature,cumulative_disposition,unit_evidence_safe_locator,unit_evidence_bytes,unit_evidence_sha256,result,authority_basis,caveat
SGA2-VIII-CUM-C01-FORMULA-INHERIT@1,SGA2-VIII-CUM-C01,2501-2525,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P11S/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,6235,8BAEB40A16282936A0A4F7C058C1CD890A2A802B666DB58F33DAED477FEA8254,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C02-FORMULA-INHERIT@1,SGA2-VIII-CUM-C02,2527-2551,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P11C/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7852,4DB72155E8E31E8D31AF0595EB54A46016EB9E373112A3A2543FC996BF969941,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C03-FORMULA-INHERIT@1,SGA2-VIII-CUM-C03,2553-2559,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-L12S/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7253,070BA1C94B2A0E457BFE5EB5E84DD40E48450ABCEC050DE6F0F43434493CE87D,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C04-FORMULA-INHERIT@1,SGA2-VIII-CUM-C04,2561-2571,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-L12PD13/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7957,E2E2F6BBEE191CE34FD0CF91498FC66E66B098BD522FAFCF0D90E9519B40CF81,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C05-FORMULA-INHERIT@1,SGA2-VIII-CUM-C05,2573-2581,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P14S/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7457,39EB82B25D3C22CECC590796E672A958B2D65995A610F898743A903BA698F7FC,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C06-FORMULA-INHERIT@1,SGA2-VIII-CUM-C06,2583-2595,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-P14N/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,8162,78258C4927D1681F9F0C58F9E006E366CE30A0F881C79BE5B48DE0B4CBE65B35,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C07-FORMULA-INHERIT@1,SGA2-VIII-CUM-C07,2597-2609,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-Q12/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,12270,C5E083A3CE5A9781227CD4DFC0FB7D8174C399EE879C8C968DB9A9354808FB87,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C08-FORMULA-INHERIT@1,SGA2-VIII-CUM-C08,2611-2616,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-Q15A/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,10854,777128DC33F7EE14CF5601C242CC93C5288E56379DCB1AD5B878D88BE4931704,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C09-FORMULA-INHERIT@1,SGA2-VIII-CUM-C09,2618-2638,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-L12C/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,7667,544E32FCE8420E986308E3D83208F58BB860B43C8D46FE069D7FBF2BA06FC639,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C10-FORMULA-INHERIT@1,SGA2-VIII-CUM-C10,2640-2659,bounded_formula_symbol_note_structure_evidence,component source and formula decisions represented by the frozen bounded-unit ledger,body integrated verbatim; no formula or symbol rewrite at cumulative assembly,bounded_unit_evidence/SGA2-VIII-T21/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,4689,F94719A86BCA686D82D164D722A36B6D28F58C96AF9C672927AC9A6C59B7AE8B,pass_by_exact_body_identity,corrected French TeX plus same-edition page control and bounded review evidence,Same-edition PDF is not independent corroboration; independent bounded cumulative review passed in R5
