evidence_id,evidence_type,safe_relative_path,page_number,scope,bytes,sha256,method,status,caveat
SGA2-VIII-PUB-BUILD-001,editable_source,SGA2_Expose_VIII_English_SourceAligned_Bounded_Checkpoint_R5.tex,,French2501-2928,40052,45D23396E4173CABB74629886435B4558CC7B56F328E7300EADC902250FA7C4A,presentation-only derivative of independently audited target,body_exact_public_presentation_successor,Not whole-volume source
SGA2-VIII-PUB-BUILD-002,built_pdf,SGA2_Expose_VIII_English_SourceAligned_Bounded_Checkpoint_R5.pdf,,eight A4 pages,492231,A449E3266DF15F7AFB4A3EAC5A37B6761FE03A19E9DFD61F7142D34EDA5BBB49,three-pass pdfLaTeX,pass,Metadata and first-page status prose differ from audited target
SGA2-VIII-PUB-BUILD-003,compile_log,build_evidence/BUILD_PASS1_PUBLIC_SANITIZED.log,,pdfLaTeX pass 1,8745,A87D70F5D400142DAB4D152D66E7D7A010C2949A18B22FF244DD31C183A076B6,sanitized console transcript,pass,Private paths removed
SGA2-VIII-PUB-BUILD-004,compile_log,build_evidence/BUILD_PASS2_PUBLIC_SANITIZED.log,,pdfLaTeX pass 2,8566,E105BD80335BABDCBC26E7F4F379B0376B3C53B139D74763B6E1906825BC6AC6,sanitized console transcript,pass,Private paths removed
SGA2-VIII-PUB-BUILD-005,compile_log,build_evidence/BUILD_PASS3_PUBLIC_SANITIZED.log,,pdfLaTeX pass 3,8566,E105BD80335BABDCBC26E7F4F379B0376B3C53B139D74763B6E1906825BC6AC6,sanitized console transcript,pass,Private paths removed
SGA2-VIII-PUB-BUILD-006,pdf_info,build_evidence/PDFINFO.txt,,reader metadata and geometry,787,7D47F82CFBC01653127348DF04B3EDF6463CFB191D044E19A76DF221647BB43E,pdfinfo,pass,Eight A4 pages
SGA2-VIII-PUB-BUILD-007,font_inventory,build_evidence/PDFFONTS.txt,,reader fonts,3135,D2D5EB7F2A0F58692649288BA6B05823865F26D28460D041583E0203F3F4A571,pdffonts,pass,31 fonts embedded subset and Unicode mapped
SGA2-VIII-PUB-BUILD-008,text_extraction,build_evidence/TARGET_TEXT.txt,,reader text layer,34238,22490D852995226258D3FF521514CB042894E2DCDD1EC000088878AA7408D368,pdftotext layout,pass,QA evidence only
SGA2-VIII-PUB-RENDER-001,target_page_render,render_qa/page-1.png,1,public presentation reader,297986,48C1EF5DC21EED03BE80ACF41038786F7CBE3F5A268B4CAE6B94E1F49790E454,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-002,target_page_render,render_qa/page-2.png,2,public presentation reader,293763,4CE9519A0A3CE6A4B8C0B63F58E6025F25FA0F7A58521F05F7200E9DD7228224,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-003,target_page_render,render_qa/page-3.png,3,public presentation reader,334601,C742CF2F53933CCA89B6C5652BC15C68F045E6295930F6943E2AC08325297B04,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-004,target_page_render,render_qa/page-4.png,4,public presentation reader,455805,350AF474AF25B9BF08865361B0BFFD2390553DF23565A65168406CFADE28DD31,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-005,target_page_render,render_qa/page-5.png,5,public presentation reader,340746,4048F251B90787A49FCB41D83D169C383FE482476ED68BC4DC35417D1F777B33,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-006,target_page_render,render_qa/page-6.png,6,public presentation reader,280499,86519023263332448B758C68691DD1BB8779B6F892311CBA612475D0D8A99CAF,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-007,target_page_render,render_qa/page-7.png,7,public presentation reader,262842,565E5AF4F5FC57759CA9F63D5F7F5CCD2CE9537A807746D6265D3D9886488ADF,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-RENDER-008,target_page_render,render_qa/page-8.png,8,public presentation reader,328053,2E8798D60E6B2F7CB7780AE79CC7508FF7CCC1145DF6EEB5BE2514B7C2CA40E7,pdftoppm 150 dpi plus direct visual inspection,pass,Legible; no clipping overlap missing glyph or broken formula/diagram
SGA2-VIII-PUB-IND-001,independent_component_audit,independent_review/INDEPENDENT_COMPONENT_BODY_AUDIT.csv,,30 component bodies,6537,75DA0DE1E330158AF6CDFC60EAF43A9237504FF5FC06D58E8D0E9486B20F34FE,independent exact-body replay,pass,Audited target body; public successor body tail is byte-identical
SGA2-VIII-PUB-IND-002,independent_formula_structure_audit,independent_review/INDEPENDENT_FORMULA_STRUCTURE_AUDIT.csv,,18 controls,6595,87CDACB263D4524FAF0C4BF2CD221A67AF0706B42007B9874974965259C9087F,independent formula diagram and source-render review,pass_with_open_source_readings,French2859 and French2865 remain open
SGA2-VIII-PUB-IND-003,audited_target_pdf_rebuild_validation,independent_review/AUDITED_TARGET_PDF_REBUILD_VALIDATION.json,,audited target reader,5124,8B1E78BEEC8E4E867CC231C9AEBCF360283246C0B874B5406477B5BEB5B3589A,independent three-pass rebuild,pass,Applies to exact audited target PDF
