coverage_id,state_class,component_id,scope,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,body_included,status,continuation_cursor,caveat
SGA2-VIII-CUM-BOUNDARY-IN@1,non_body_control,INBOUND:SGA2-VIII-LAYOUT-2500,pre-Exposé layout command,2500,83-84 boundary,74-75 boundary,66-67 boundary,preamble comment before first component,false,checked_control_excluded_from_translation_body,French line 2501,"Source command is chapterspace{-1}; it controls layout, not translated prose"
SGA2-VIII-CUM-C01-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C01,"Exposé opening, Section 1, and Proposition 1.1",2501-2525,84,75,67,component marker SGA2-VIII-CUM-C01,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C02-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C02,Proposition 1.1 consequences and functor setup,2527-2551,84-85,75-76,67-68,component marker SGA2-VIII-CUM-C02,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C03-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C03,Lemma 1.2 statement,2553-2559,85,76,68,component marker SGA2-VIII-CUM-C03,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C04-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C04,Lemma 1.2 proof opening and Definition 1.3,2561-2571,85-86,76,68,component marker SGA2-VIII-CUM-C04,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C05-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C05,Proposition 1.4 statement,2573-2581,86,76-77,68-69,component marker SGA2-VIII-CUM-C05,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C06-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C06,Proposition 1.4 proof comment and notation,2583-2595,86-87,77,69,component marker SGA2-VIII-CUM-C06,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C07-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C07,Bicomplex setup and equations (1.2)-(1.4),2597-2609,87,77,69,component marker SGA2-VIII-CUM-C07,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C08-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C08,First spectral sequence and abutment,2611-2616,88,77-78,69-70,component marker SGA2-VIII-CUM-C08,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C09-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C09,Initial term and proof close,2618-2638,88,78,70,component marker SGA2-VIII-CUM-C09,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C10-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C10,Theorem 2.1 statement,2640-2659,89,78-79,70-71,component marker SGA2-VIII-CUM-C10,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C11-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C11,Corollary 2.2 statement,2661-2668,89,79,71,component marker SGA2-VIII-CUM-C11,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C12-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C12,Corollary 2.3 statement,2670-2681,89,79,71,component marker SGA2-VIII-CUM-C12,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C13-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C13,Corollary 2.3 proof and open-cover comparison,2683-2713,89-90,79-80,71-72,component marker SGA2-VIII-CUM-C13,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C14-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C14,Lemma 2.4 reduction and statement,2715-2721,90,80,72,component marker SGA2-VIII-CUM-C14,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
SGA2-VIII-CUM-C15-COVERAGE@1,source_bearing_component,SGA2-VIII-CUM-C15,Lemma 2.4 proof by upper semicontinuity,2723-2731,90-91,80,72,component marker SGA2-VIII-CUM-C15,true,integrated_from_frozen_bounded_target,French line 2930 chapterspace control; Expose IX begins at French line 2931,Cumulative review remains independent bounded cumulative review passed in R5
