visual_id,relative_path,bytes,sha256,parent_pdf_index_0based,parent_pdf_physical_page_1based,book_folio,expose,linked_tex_file,generator_source_class,disposition
SGA7I-VIS-00005,c475_cor4.png,34612,000FD0ACAE4FB34E734F5FA6A644947DEA94B308CF754D757AC482F5761DE2BE,475,476,464,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00006,z330_titleB.png,20197,0011054C1BF787B518215E375C6B802DE95539108AF4C45C79C7D3C90969C774,330,331,319,IX,expose_IX_body.tex,non_image_helper,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00007,k448_912b.png,11816,0012C14955625B042E865289A240A9933ED669C8EF972789C95420E4DE07944E,448,449,437,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00008,c9452_452_a_1026.png,20462,00168EDE6BD45A13294769AD41927D50B0DAF359C714C2419D8D6665B1242D96,452,453,441,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00011,raw197_b.png,86483,00291DF1B4A5C786F3CAE15BC9D7596C837F95692345A83823F6500717EDED01,197,198,186,VII,expose_VII_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00013,raw1235_235_supz.png,21505,003AF9748DBC8AE5F5BD83A4EBED485C2A028EA9AE41A4AD1145E5CD4D6812CB,235,236,224,VIII,expose_VIII_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00014,c354_l6b.png,23692,003D6706EB5A758878BF95E2B785AA356FF3C49B01B77AA2ADF657D2234827B0,354,355,343,IX,expose_IX_body.tex,source_or_derived_dynamic_input,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00017,crop_150_lbl2.png,7250,004A929FBE02B1FED26303F1464DD8846EBAE6697F369D5C7B09D2D40FEAC9EC,150,151,139,VII,expose_VII_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00020,j6_a6.png,16399,005A3EC4F26A8E4B70382B9DB58A8917D5CBA5A025E61B1CF9E378FB93A22524,394,395,383,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00024,y_qua.png,13141,006EA912039FFF737DD1CC587210F023A7CFD041674E8478FCAD6FDAA3C0CE8D,464,465,453,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00025,c482_o.png,42564,007D24936275760C608580165EB991594152270CEDFA06E6E2F08FA96E10149E,482,483,471,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00028,c208_l1.png,18661,008E4418D8354E59E10AA9B6422FF3E9AFB12B2EF3B116F6814D0D898AE894E6,208,209,197,VII,expose_VII_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00034,jcrop_441_wedge.png,8484,00A298221072021280BDAADC990CB31C3027F7661D9EEE609019125A1E5A222C,441,442,430,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00036,c285_e.png,77986,00C49438D581A5D151087EE36DE9E49FA68174184EA68C884B410296B237658B,285,286,274,VIII,expose_VIII_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00037,p431_L8_927a.png,22886,00C575A285CB040D7B1740B791D5587CCD6040D3DE97D520316E3A00A215D148,431,432,420,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00039,c526_p3.png,35287,00D0D2A05B167E9713BD57F872A027D2B7740EE1FCB32F6330F3FF0A50D8C8E4,526,527,515,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00041,y_558b.png,10026,00DF63F0AB72011193AB04D8FD26ABF00D3297FE8B9767DF2CF656C691187F5D,390,391,379,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00043,crop_478_e127.png,11611,00EAC5D94CD2AFC967975A521A750FFC8C1AC68017AE0BD9BC60C7B8E76B441C,478,479,467,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
SGA7I-VIS-00046,z_glyph5_503.png,11951,00F7009B89CCCA8B4EFBB59D65E4D1D85C3DC80071572901B0F5DBCBB2B63AFC,503,504,492,IX,expose_IX_body.tex,controlling_540_page_scan,ledgered_targeted_crop_not_present_in_surviving_local_cache
