"blocker_status","lane_scope","evidence_now","blocker_effect","route_or_language","next_action","blocker_id","b3_packaging_note"
"source-gated-check-row-blocked","creole_contact","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","Math-source authority, translation approval, accepted terminology, or formula-neighboring prose beyond source titles.","Bislama / Vanuatu","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","R6-DRAFT-R6LEX-R6-SCAFFOLD-BISLAMA-003","metadata/reviewer-control row only; no target rendering"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Ecuador Kichwa/CNIB","continue source-owner/manual/browser recovery; do not widen support","R6-212DFB-SEARCH-1","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Ecuador EIB/CNIB general","continue source-owner/manual/browser recovery; do not widen support","R6-212DFB-SEARCH-2","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Paraguay Guarani/PRODEPA","continue source-owner/manual/browser recovery; do not widen support","R6-212DFB-SEARCH-3","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Paraguay PRODEPA background","continue source-owner/manual/browser recovery; do not widen support","R6-212DFB-SEARCH-4","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","sign_access","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved","ASL algebra/STEM","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","R6-212DFB-SEARCH-5","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","sign_access","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved","ASL math dictionary","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","R6-212DFB-SEARCH-6","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","sign_access","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved","DGS math videos","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","R6-212DFB-SEARCH-7","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","sign_access","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved","DGS corpus dictionary","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","R6-212DFB-SEARCH-8","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","sign_access","html_probe_and_candidate_links_only_no_raw_body_saved","source/reviewer/ethics authority remains unresolved","DGS open dictionary comparator","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","R6-212DFB-SEARCH-9","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Paraguay Guarani language program","continue source-owner/manual/browser recovery; do not widen support","R6-AC6F-WEB-PARAGUAY-GUARANI-PROGRAM-PDF","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
"active_source_recovery_blocker","indigenous","probe_failed_no_body_saved","source/reviewer/ethics authority remains unresolved","Paraguay mathematics program comparator","continue source-owner/manual/browser recovery; do not widen support","R6-AC6F-WEB-PARAGUAY-MATH-PROGRAM-PDF","B3 may package metadata and hashes; raw PDF candidates require source-use review before public rolling upload if policy requires gating"
