"field","value","source_use_label"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707\R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z","b3-uploader-summary"
"frontier","1a823d4a910b663836c699ea360127b1f2c8f525","b3-uploader-summary"
"requested_is_origin_head","True","b3-uploader-summary"
"branch_commits_from_359","1","b3-uploader-summary"
"branch_delta_rows_from_359","114","b3-uploader-summary"
"local_359_same_frontier_status","local-359-same-frontier-packet-validated","b3-uploader-summary"
"branch_dfb0_status","branch-visible-dfb0-r3-packet-validated","b3-uploader-summary"
"recovery_rows","4","b3-uploader-summary"
"fable_adverse_rows","3","b3-uploader-summary"
"language_boundary_rows","5","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"claims","no GitHub Issues, no native-review/approval/license/gate/source-cert/final/bridge-pilot/translation-completion claim","b3-uploader-summary"
