concept_id,source_unit_id,language_tag,script_profile,term_form,register,sense_window,excluded_senses,trap_class,basin_membership,evidence_channel,source_provenance,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_status,review_status,decision_record_path
NOE-FINITE-GENERATION,NOE-P29-U01/U03/U04,zh-Hans-CN,Hans PRC-oriented mathematical prose,有限生成,"commutative algebra; invariant theory; research reader","A ring/algebra has a finite set of algebra generators; this is not a statement that its underlying set has finitely many elements.","finite cardinality; finite-dimensional vector space; finite-degree field extension",none,modern_sino_xenic_coinage_or_calque,support,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F criterion/proof loci; https://math.ecnu.edu.cn/~rdu/years/ca%20book/main.pdf sha256=C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862 pp.30/39/42",risk,"PRC Simplified sources dominate; they do not support zh-Hans-SG, regional Hant, ja, ko, or vi forms.",potentially_distorted,internally_reviewed_for_use,internally_reviewed,decisions/NOE-P29-FINITE-GENERATION.zh-Hans-CN.json
NOE-INTEGRITY-BASIS,NOE-P29-U01/U03/U04,zh-Hans-CN,Hans PRC-oriented historical algebra prose,整性基（即有限代数生成组）,historical invariant theory,"A finite set generating the ring as an algebra in Noether's historical Integritätsbasis sense.","number-field integral basis; free module basis; orthogonal basis",other,mixed_or_contested,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F Integritätsbasis proof loci; https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zSGjQAcqAWCrPACd7v7jEBRk596.pdf sha256=07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D p.15 adverse bare-整基 sense",risk,"Only Hans algebra/number-theory evidence was checked; no independent Hant regional or Singapore witness for 整性基.",potentially_distorted,internally_reviewed_for_use,internally_reviewed,decisions/NOE-P29-INTEGRITY-BASIS.zh-Hans-CN.json
NOE-MODULE-GENERATING-SYSTEM,NOE-P29-U01/U03,zh-Hans-CN,Hans PRC-oriented historical algebra prose,模生成组,module theory inside historical invariant theory,"A finite set whose module span is the module; linear independence and freeness are not asserted.","modulus; congruence class; mold/pattern; free module basis",modulus,modern_sino_xenic_coinage_or_calque,support,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F Modulbasis loci; https://math.ecnu.edu.cn/~rdu/years/ca%20book/main.pdf sha256=C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862 p.40; https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zSGjQAcqAWCrPACd7v7jEBRk596.pdf sha256=07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D p.14",risk,"Mandarin Simplified module evidence cannot fill Singapore, Hant regional, Japanese 加群/モジュール, Korean, or Vietnamese channels.",potentially_distorted,internally_reviewed_for_use,internally_reviewed,decisions/NOE-P29-MODULE-GENERATING-SYSTEM.zh-Hans-CN.json
NOE-FRACTION-FIELD,NOE-P29-U03,zh-Hans-CN,Hans PRC-oriented commutative algebra prose,分式域,commutative algebra,"The field of fractions of an integral domain R, denoted Rat(R) or Frac(R).","quotient ring; residue-class field; arbitrary field quotient",none,modern_sino_xenic_coinage_or_calque,support,"https://math.ecnu.edu.cn/~rdu/years/ca%20book/main.pdf sha256=C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862 pp.39/41; https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zSGjQAcqAWCrPACd7v7jEBRk596.pdf sha256=07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D pp.14/15",risk,"Evidence is PRC Hans; no Singapore or independent regional Hant terminology row is available.",potentially_distorted,internally_reviewed_for_use,internally_reviewed,TERMINOLOGY.md
NOE-ALGEBRAICALLY-INDEPENDENT-SYSTEM,NOE-P29-U02/U03,zh-Hans-CN,Hans PRC-oriented algebra prose,不可约组（按 Steinitz 即代数无关组）,historical field theory,"Steinitz's irreduzibles System: a tuple of algebraically independent functions.","irreducible polynomial; irreducible representation; indecomposable module",other,modern_sino_xenic_coinage_or_calque,support,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F Steinitz footnote; https://math.ecnu.edu.cn/~rdu/years/ca%20book/main.pdf sha256=C84AC610F21076DF2EC3AB6737D0713D1C84D3A84B38D2FAC42EAFEB3760C862 p.31",risk,"The historical-label decision has no Singapore/Hant regional independent witness.",potentially_distorted,internally_reviewed_for_use,internally_reviewed,TERMINOLOGY.md
NOE-LINEAR-SUBSTITUTION,NOE-P29-U01/U04,zh-Hans-CN,Hans PRC-oriented historical invariant-theory prose,线性代换,invariant theory,"An invertible linear coordinate substitution A_k sending x to x^(k).","abstract linear operator; textual replacement; statistical imputation",none,modern_sino_xenic_coinage_or_calque,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F coordinate formulas; https://faculty.hfut.edu.cn/_resources/group1/M00/00/1A/rB_zR2jQEVKARzGGABDKdnVFJ60618.pdf sha256=01C390945C8795BF481E6B429B20579751075C6C712736669FCFE5854AB53C49 p.6 competitor 线性变换",risk,"No exact native Chinese invariant-theory witness was found; PRC representation prose supplies only a competitor.",potentially_distorted,candidate_after_context_check,context_checked,TERMINOLOGY.md
NOE-GALOIS-RESOLVENT,NOE-P29-U04/U05,zh-Hans-CN,Hans PRC-oriented historical invariant-theory prose,伽罗瓦预解式,invariant theory and equation theory,"The displayed resolvent Φ(z,u) whose coefficient system supplies invariants.","splitting field; Galois group; numerical resolvent operator",other,mixed_or_contested,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F resolvent display and coefficient discussion; Chinese bibliographic discovery only; product deliberately unindexed",risk,"The eponym is a global phonetic loan while 预解式 is a Sino-xenic calque; exact-sense native support is thin and Hans-dominant.",potentially_distorted,candidate_after_context_check,context_checked,TERMINOLOGY.md
NOE-WHOLE-RATIONAL-FUNCTION,NOE-P29-U04,zh-Hans-CN,Hans PRC-oriented historical invariant-theory prose,整有理函数（即多项式）,historical invariant theory,"Historical ganze rationale Funktion: a polynomial in x, not a rational function with denominator and not an integral element.","integral element over a ring; arbitrary rational function; integer-valued function",other,mixed_or_contested,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F section 2.1 definition and formula context",risk,"No exact independent Chinese historical-invariant-theory witness in the checked shelf.",potentially_distorted,candidate_after_context_check,context_checked,TERMINOLOGY.md
NOE-RELATIVE-INVARIANT,NOE-P29-U06,zh-Hans-CN,Hans PRC-oriented historical invariant-theory prose,相对不变量,invariant theory,"f(x^(k)) differs from f(x) only by a nonzero factor from overline P.","relative topological invariant; relative Chern number; absolute invariant",none,modern_sino_xenic_coinage_or_calque,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F section 2.3 definition; witness/Noether_Paper29_SimplifiedChinese_Inherited_exact_slice.tex sha256=9C13B87F9E50D8B0519986E734F128190EAD93BEF32EFB65636B09E3A044067D translation witness only",risk,"Exact-sense native evidence is absent; Mandarin Hans witness must not be promoted across standards or languages.",potentially_distorted,held,context_checked,TERMINOLOGY.md
NOE-MODULAR-INVARIANT,NOE-P29-U06,zh-Hans-CN,Hans PRC-oriented historical invariant-theory prose,模不变量,invariant theory over finite value systems,"f(x)=f(x^(k)) for every specialized value tuple from overline P; equality as a function on the value system.","module invariant; modulus/remainder invariant; mold/pattern; modular form invariant",modulus,unresolved,candidate,"source/Noether_Paper29_German_P31_Sealed_exact_slice.tex sha256=904488A1630B36E12352A3313B16CC9283B345E28E5363E48B7E4757B388128F section 2.3 definition; witness/Noether_Paper29_SimplifiedChinese_Inherited_exact_slice.tex sha256=9C13B87F9E50D8B0519986E734F128190EAD93BEF32EFB65636B09E3A044067D translation witness only; native-evidence absence row ZH-P29-A007",risk,"The dominant Hans shelf has no independent exact-sense row; Singapore, Hant regional, Japanese, Korean, and Vietnamese channels are unavailable.",potentially_distorted,held,context_checked,TERMINOLOGY.md
