const	pos	arabic
UrsaMajor	1	الكوكب الذي على خطم الدب الأكبر
UrsaMajor	2	الذي على ركبة هذا الدب اليسرى
UrsaMajor	3	الشمالي الذي على طرف رجله اليسرى المقدمة
UrsaMajor	4	الكوكب الجنوبي منه
UrsaMajor	5	الكوكب الذي على ظهره في المربعة
UrsaMajor	6	الذي على مراق بطن هذا الدب الأكبر
UrsaMajor	7	الكوكب الذي في أصل ذنبه
UrsaMajor	8	الذي في أصل فخذه اليسرى المؤخرة
UrsaMajor	9	المقدم الذي على طرف رجله اليسرى المؤخرة
UrsaMajor	10	الكوكب الذي يلو هذا
UrsaMajor	11	الجنوبي الذي على طرف رجله اليسرى المؤخرة
UrsaMajor	12	الكوكب الجنوبي عن هؤلاء
UrsaMajor	13	المقدم من الثلثة على ذنبه
UrsaMajor	14	المتوسط من هذه الثلثة
UrsaMajor	15	الثالث الذي على طرف ذنبه
UrsaMajor	16	الذي تحت الذنب من الجنوب
UrsaMajor	17	الذي بين رجلي الدب المقدمة وبين رأس الأسد
UrsaMajor	18	المظلم الذي يلو الثلثة المظلمة الباقية
UrsaMajor	19	المظلم المتقدم لهذا الكوكب
UrsaMajor	20	الذي بين يدي هذا الكوكب من المظلمة
Aries	2	الكوكب المؤخر منهما
Aries	3	الشمالي من الاثنين اللذين في فم الحمل
Aries	4	الكوكب الجنوبي منهما
Aries	5	الكوكب الذي على عنق الحمل
Aries	6	الذي على ظهر الحمل
Aries	7	الذي على مخرج أليته
Aries	8	المقدم من الثلثة التي على أليته
Aries	9	الكوكب المتوسط منها
Aries	10	المؤخر من هذه الثلثة
Aries	11	الكوكب الذي خلف فخذ الحمل
Aries	12	الذي فوق وسط فخذه
Aries	13	الذي على ظهر رجله المؤخرة
Aries	14	وهو الذي فوق رأسه
Taurus	1	الشمالي من الاربعة التي على قطع الثور
Taurus	2	الثاني الذي يلوه من هذه الاربعة
Taurus	3	الجنوبي من هذه الاربعة التي على قطعه
Taurus	4	الكوكب الذي على صدر الثور
Taurus	5	الذي على كتفه اليمنى
Taurus	6	الذي في وجه الثور على أنفه من كواكب الدبران
Taurus	7	الذي بين هذا الكوكب وبين عينه الشمالية الدبران
Taurus	8	الدبران وهو الذي على عينه وتحت قرنه الجنوبي
Taurus	9	الذي بين الأول وبين عينه الأخرى الجنوبية
Taurus	10	التالي لهذا الذي على عينه الشمالية
Taurus	11	الذي على أصل قرنه عند أذنه الجنوبية
Taurus	12	الذي على وسط قرنه الجنوبي من الاثنين
Taurus	13	الذي على أصل قرنه الشمالي
Taurus	14	الذي على طرف قرنه الجنوبي
Taurus	15	الذي على طرف قرنه الشمالي وهو على رجل ذي الأعنة
Taurus	16	الشمالي الذي في السطر المقدم من الثريا
Taurus	17	الشمالي الذي في آخر الشق المقدم من الثريا
Taurus	18	المؤخر الصغير الذي مؤخر الثريا
Taurus	19	الصغير الخارج من شمال الثريا
Cancer	2	الشمالي من الاثنين اللذين عند المربع السحابي في الإظلام
Cancer	3	الكوكب الجنوبي منهما ويسميان المربع
Cancer	4	الذي على زبانة السرطان الشمالية
Cancer	5	الذي على زبانة السرطان الجنوبية
Cancer	6	الذي على طرف رجله المؤخرة الجنوبية
Cancer	7	الذي على طرف رجله المؤخرة الشمالية
Cancer	8	الجنوبي من الاثنين اللذين ذكرناهما
Cancer	9	الشمالي من الاثنين اللذين عند السحابي وهما الحماران
Cancer	10	الكوكب الجنوبي منهما
Leo	1	الكوكب الذي على طرف منخر الأسد
Leo	2	الشمالي من الاثنين اللذين في رأس الأسد
Leo	3	الأوسط من الثلثة التي في عنقه
Leo	4	المقدم من الثلثة التي في عنقه وهو الشمالي
Leo	5	الجنوبي من هذه الثلثة التي في عنق الاسد
Leo	6	قلب الأسد ويسمى الملك
Leo	7	المقدم من الاثنين اللذين على ظهره
Leo	8	الكوكب الذي يلو هذا
Leo	9	الذي في فخذ الاسد المؤخرة
