module,type,source,source_location_in_fetchquest,notes
15_document_architecture_original_vs_bespoke,bespoke integration,project source/gap architecture,ukrainian_applied_math_source_fetch_gap_stage_v2.zip; sorted source pack manifests,Explains two-lane structure: integrated reference plus source-preserved papers
16_source_preserved_esfk_paper_start,adapted translation start,"Solà, Quaternion kinematics for the error-state Kalman filter, arXiv:1711.02508",01_P0_immediate_full_tex/P0_arxiv_1711.02508/src,"Condensed Ukrainian TeX start from Abstract, ErrorState, Noise, kinematics"
17_measurement_update_injection_reset,bespoke applied core,ESKF/Kalman standard equations plus Solà ESKF reset concepts,P0_arxiv_1711.02508/src/ErrorState.tex; Noise.tex,Generic educational formulas
18_sensor_models_and_calibration,bespoke applied core,State estimation/robotics sensor modeling sources,P0_arxiv_2411.03951; P0_arxiv_1711.02508; P0_arxiv_1812.01537,"Generic measurement models, calibration, time offset"
19_bayesian_filtering_smoothing_factor_graphs,adapted overview,Continuous-time state estimation survey; Labbe Kalman; robotics estimation sources,P0_arxiv_2411.03951 and P0_github_rlabbe_Kalman-and-Bayesian-Filters-in-Python,Filtering/smoothing/factor graph bridge
20_control_foundations_state_space,bespoke applied core,control systems foundations,P1_github_RussTedrake_underactuated; gapfill control candidates,"State-space, PID, LQR, stability"
21_signal_filter_design_core,adapted/bespoke,"PySDR Ukrainian lane, ThinkDSP, signal processing course",P0_github_777arc_PySDR; P1_github_AllenDowney_ThinkDSP; P1_github_jvierine_signal_processing_course,FIR/IIR/window/frequency checks
22_matrix_derivatives_and_least_squares_checks,bespoke applied core,micro Lie theory; optimization sources,P0_arxiv_1812.01537; P0_github_open-optimization_open-optimization-or-book,"Jacobians, finite-difference tests, least squares"
paper_modules/arxiv_1711_02508_sola_eskf_ua_start,standalone source-preserved start,Solà arXiv:1711.02508,01_P0_immediate_full_tex/P0_arxiv_1711.02508/src,Separate paper module
paper_modules/arxiv_1812_01537_micro_lie_ua_start,standalone source-preserved start,Solà-Deray-Atchuthan arXiv:1812.01537,01_P0_immediate_full_tex/P0_arxiv_1812.01537/src,Separate paper module
