"edge_id","source_file","source_line","source_column_1based","expose","reference_scope","visible_text","reference_form","reference_type","destination_stable_id","destination_label","resolution_basis","resolution_status","revision"
"SGA5-EDGE-000001","SGA5_English_sync_workpass.tex","325","","I","I","Paragraph~1","r8_admitted","named_internal_reference","SGA5-TARGET-00114","sga5:I:subsection:1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000002","SGA5_English_sync_workpass.tex","327","","I","I","paragraph~2","r8_admitted","named_internal_reference_context_resolved","SGA5-TARGET-00026","sga5:I:section:2","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000003","SGA5_English_sync_workpass.tex","329","","I","I","paragraph~3","r8_admitted","named_internal_reference_context_resolved","SGA5-TARGET-00033","sga5:I:section:3","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000004","SGA5_English_sync_workpass.tex","331","","I","I","Paragraph~4","r8_admitted","named_internal_reference_context_resolved","SGA5-TARGET-00056","sga5:I:section:4","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000005","SGA5_English_sync_workpass.tex","333","","I","I","paragraph~5","r8_admitted","named_internal_reference_context_resolved","SGA5-TARGET-00102","sga5:I:section:5","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000006","SGA5_English_sync_workpass.tex","376","","I","I","(1.3)","r8_admitted","parenthesized_internal_number_context_resolved","SGA5-TARGET-00004","sga5:I:proposition:1.3","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000007","SGA5_English_sync_workpass.tex","379","","I","I","(1.3)","r8_admitted","parenthesized_internal_number_context_resolved","SGA5-TARGET-00004","sga5:I:proposition:1.3","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000008","SGA5_English_sync_workpass.tex","407","","I","I","(1.5.1)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00008","sga5:I:lemma:1.5.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000009","SGA5_English_sync_workpass.tex","407","","I","I","(1.5)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00007","sga5:I:proposition:1.5","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000010","SGA5_English_sync_workpass.tex","414","","I","I","(1.5)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00007","sga5:I:proposition:1.5","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000011","SGA5_English_sync_workpass.tex","496","","I","I","Definition 1.7","r8_admitted","named_internal_reference","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000012","SGA5_English_sync_workpass.tex","502","","I","I","1.7","r8_admitted","cued_internal_number","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000013","SGA5_English_sync_workpass.tex","515","","I","I","1.7","r8_admitted","cued_internal_number","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000014","SGA5_English_sync_workpass.tex","524","","I","I","Lemma 1.9","r8_admitted","named_internal_reference","SGA5-TARGET-00013","sga5:I:lemma:1.9","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000015","SGA5_English_sync_workpass.tex","528","","I","I","1.7","r8_admitted","cued_internal_number","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000016","SGA5_English_sync_workpass.tex","532","","I","I","1.8","r8_admitted","cued_internal_number","SGA5-TARGET-00012","sga5:I:remark:1.8","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000017","SGA5_English_sync_workpass.tex","537","","I","I","Proposition 1.11","r8_admitted","named_internal_reference","SGA5-TARGET-00015","sga5:I:proposition:1.11","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000018","SGA5_English_sync_workpass.tex","576","","I","I","1.9","r8_admitted","cued_internal_number","SGA5-TARGET-00013","sga5:I:lemma:1.9","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000019","SGA5_English_sync_workpass.tex","584","","I","I","Proposition 1.12","r8_admitted","named_internal_reference","SGA5-TARGET-00017","sga5:I:proposition:1.12","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000022","SGA5_English_sync_workpass.tex","596","","I","I","Lemma 1.14","r8_admitted","named_internal_reference","SGA5-TARGET-00024","sga5:I:lemma:1.14","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000023","SGA5_English_sync_workpass.tex","630","","I","I","Proposition 1.12","r8_admitted","named_internal_reference","SGA5-TARGET-00017","sga5:I:proposition:1.12","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000024","SGA5_English_sync_workpass.tex","638","","I","I","Definition 1.7","r8_admitted","named_internal_reference","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000025","SGA5_English_sync_workpass.tex","638","","I","I","Proposition 1.6","r8_admitted","named_internal_reference","SGA5-TARGET-00010","sga5:I:proposition:1.6","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000026","SGA5_English_sync_workpass.tex","646","","I","I","Corollary 1.13","r8_admitted","named_internal_reference","SGA5-TARGET-00023","sga5:I:corollary:1.13","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000027","SGA5_English_sync_workpass.tex","654","","I","I","Lemma 1.14","r8_admitted","named_internal_reference","SGA5-TARGET-00024","sga5:I:lemma:1.14","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000028","SGA5_English_sync_workpass.tex","654","","I","I","Proposition 1.12","r8_admitted","named_internal_reference","SGA5-TARGET-00017","sga5:I:proposition:1.12","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000029","SGA5_English_sync_workpass.tex","668","","I","I","Definition 1.7","r8_admitted","named_internal_reference","SGA5-TARGET-00011","sga5:I:definition:1.7","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000030","SGA5_English_sync_workpass.tex","706","","I","I","Proposition 1.9","r8_admitted","named_internal_reference_kind_mismatch","SGA5-TARGET-00013","sga5:I:lemma:1.9","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000031","SGA5_English_sync_workpass.tex","826","","I","I","Theorem 2.1","r8_admitted","named_internal_reference","SGA5-TARGET-00027","sga5:I:theorem:2.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000032","SGA5_English_sync_workpass.tex","826","","I","I","Lemma 2.2","r8_admitted","named_internal_reference","SGA5-TARGET-00030","sga5:I:lemma:2.2","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000033","SGA5_English_sync_workpass.tex","855","","I","I","(3.1.1)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00035","sga5:I:statement:3.1.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000034","SGA5_English_sync_workpass.tex","896","","I","I","5.1","r8_admitted","cued_internal_number_context_resolved","SGA5-TARGET-00103","sga5:I:theorem:5.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000035","SGA5_English_sync_workpass.tex","935","","I","I","(3.1.4)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00038","sga5:I:statement:3.1.4","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000036","SGA5_English_sync_workpass.tex","935","","I","I","(3.1.3)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00037","sga5:I:statement:3.1.3","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000037","SGA5_English_sync_workpass.tex","935","","I","I","(3.1.1)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00035","sga5:I:statement:3.1.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000038","SGA5_English_sync_workpass.tex","942","","I","I","(3.1.2)","r8_admitted","parenthesized_internal_number","SGA5-TARGET-00036","sga5:I:statement:3.1.2","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000039","SGA5_English_sync_workpass.tex","1001","","I","I","3.2.1","r8_admitted","cued_internal_number","SGA5-TARGET-00042","sga5:I:proposition:3.2.1","preserved_r8_admitted_edge","compiled_resolved","R8"
"SGA5-EDGE-000040","SGA5_English_sync_workpass.tex","1009","","I","I","3.2.1","r8_admitted","cued_internal_number","SGA5-TARGET-00042","sga5:I:proposition:3.2.1","preserved_r8_admitted_edge","compiled_resolved","R8"
