candidate_id,source_file,source_line,source_column_1based,expose,reference_scope,visible_text,candidate_kind,displayed_number,candidate_labels,reason,status,final_classification,revision
SGA5-CAND-000001,SGA5_English_sync_workpass.tex,323,,I,I,Theorem~4.3,theorem,4.3,sga5:I:equation:4.3|sga5:I:lemma:4.3|sga5:I:subsection:4.3,external_work_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000002,SGA5_English_sync_workpass.tex,405,,I,I,Lemma~1,lemma,1,sga5:I:subsection:1,external_work_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000003,SGA5_English_sync_workpass.tex,461,,I,I,Exposé XVII,expose,XVII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000004,SGA5_English_sync_workpass.tex,461,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000005,SGA5_English_sync_workpass.tex,471,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000006,SGA5_English_sync_workpass.tex,476,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000007,SGA5_English_sync_workpass.tex,547,,I,I,Exposé XVIII,expose,XVIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000008,SGA5_English_sync_workpass.tex,558,,I,I,Exposé X,expose,X,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000009,SGA5_English_sync_workpass.tex,558,,I,I,Exposé XVIII,expose,XVIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000010,SGA5_English_sync_workpass.tex,570,,I,I,Exposé XVIII,expose,XVIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000011,SGA5_English_sync_workpass.tex,572,,I,I,Exposé XVII,expose,XVII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000012,SGA5_English_sync_workpass.tex,574,,I,I,Exposé XVIII,expose,XVIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000013,SGA5_English_sync_workpass.tex,616,,I,I,Exposé VIII,expose,VIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000014,SGA5_English_sync_workpass.tex,618,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000015,SGA5_English_sync_workpass.tex,622,,I,I,Exposé VIII,expose,VIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000016,SGA5_English_sync_workpass.tex,626,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000017,SGA5_English_sync_workpass.tex,626,,I,I,Exposé VIII,expose,VIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000018,SGA5_English_sync_workpass.tex,646,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000019,SGA5_English_sync_workpass.tex,778,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000020,SGA5_English_sync_workpass.tex,791,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000021,SGA5_English_sync_workpass.tex,864,,I,I,Exposé IX,expose,IX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000022,SGA5_English_sync_workpass.tex,872,,I,I,Exposé VIII,expose,VIII,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000023,SGA5_English_sync_workpass.tex,880,,I,I,Exposé XIV,expose,XIV,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000024,SGA5_English_sync_workpass.tex,880,,I,I,Exposé XIX,expose,XIX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000025,SGA5_English_sync_workpass.tex,896,,I,I,Exposé XVI,expose,XVI,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000026,SGA5_English_sync_workpass.tex,896,,I,I,Exposé XIX,expose,XIX,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000027,SGA5_English_sync_workpass.tex,922,,I,I,Exposé XIV,expose,XIV,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000028,SGA5_English_sync_workpass.tex,925,,I,I,Exposé XVI,expose,XVI,,external_expose_reference,external_not_linked,external_not_linked,R8
SGA5-CAND-000029,SGA5_English_sync_workpass.tex,926,,I,I,Exposé XIX,expose,XIX,,external_expose_reference,external_not_linked,external_not_linked,R8
