stable_id,latex_label,expose,target_kind,displayed_number,title,source_file,source_line,declaration_type,aux_number,pdf_page,status
SGA5-TARGET-00001,sga5:I:expose:i,I,expose,I,Exposé I,SGA5_English_sync_workpass.tex,315,expose_heading,,1,compiled_resolved
SGA5-TARGET-00002,sga5:I:definition:1.1,I,definition,1.1,Definition 1.1,SGA5_English_sync_workpass.tex,339,subsection,1,2,compiled_resolved
SGA5-TARGET-00003,sga5:I:remark:1.2,I,remark,1.2,Remarks 1.2,SGA5_English_sync_workpass.tex,346,subsection,1,2,compiled_resolved
SGA5-TARGET-00004,sga5:I:proposition:1.3,I,proposition,1.3,Proposition 1.3 {\normalfont (cf.~[H]~1.7.6)},SGA5_English_sync_workpass.tex,357,subsection,1,2,compiled_resolved
SGA5-TARGET-00005,sga5:I:remark:1.3.1,I,remark,1.3.1,Remark 1.3.1,SGA5_English_sync_workpass.tex,375,subsection,1,3,compiled_resolved
SGA5-TARGET-00006,sga5:I:definition:1.4,I,definition,1.4,Definition 1.4,SGA5_English_sync_workpass.tex,378,subsection,1,3,compiled_resolved
SGA5-TARGET-00007,sga5:I:proposition:1.5,I,proposition,1.5,Proposition 1.5,SGA5_English_sync_workpass.tex,387,subsection,1,3,compiled_resolved
SGA5-TARGET-00008,sga5:I:lemma:1.5.1,I,lemma,1.5.1,Lemma 1.5.1,SGA5_English_sync_workpass.tex,395,subsection,1,3,compiled_resolved
SGA5-TARGET-00009,sga5:I:remark:1.5.2,I,remark,1.5.2,Remark 1.5.2,SGA5_English_sync_workpass.tex,413,subsection,1,4,compiled_resolved
SGA5-TARGET-00010,sga5:I:proposition:1.6,I,proposition,1.6,Proposition 1.6,SGA5_English_sync_workpass.tex,416,subsection,1,4,compiled_resolved
SGA5-TARGET-00011,sga5:I:definition:1.7,I,definition,1.7,Definition 1.7,SGA5_English_sync_workpass.tex,432,subsection,1,5,compiled_resolved
