"field","value"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_732B5139_B63_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260706\R3_732B5139_B63_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260706_20260706T205243Z"
"prior_frontier","b63d1b9799e6dfbd432adeb63d98b97a71cad2cd"
"current_frontier","732b5139b66ff3a849ce16d6c79a66a168b061e2"
"branch_delta_rows","110"
"branch_visible_b63_files","16"
"hash_matches","16"
"hash_mismatches","0"
"carried_forward_files","11"
"new_generated_draft_rows","false"
"raw_source_zip_copied","false"
"language_lane_git_push","false"
