"timestamp_utc","target_thread_id","target_lane","observed_status","action","result","r3_evidence_effect"
"20260706T205628Z","019f2b1b-b71d-7a13-8daa-f60f930faf65","R9 Africa/Horn/West","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1b-76eb-76b2-9994-605163fe315b","R7 Malay SEA Pacific","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1c-0b86-7ef0-a2c0-54ba67a9ef0e","R2 Pan-Turkic","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1a-9ff1-7530-b677-82bd81bd2c83","legacy B GitHub PR steward","idle/unread","mutual_wake_attempted","tool_result_no_active_turn_to_steer","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1b-e4a7-7911-a401-1f277bf7368a","R6 Indigenous/Creole/Sign","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1b-09a8-7861-aa25-c87b6d5adf16","CJK Native Source Evidence","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1c-6412-7630-a8d7-11bd75a54bb9","OLP Relation Function Support","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b3c-ba4c-7a20-adf3-b273a8b12f4c","Split CJK lane","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b3d-6628-7243-ba7a-429e022f974b","Persianate/Tajik split","idle/unread","mutual_wake_sent","success","relay_only_no_r3_source_fact_change"
"20260706T205628Z","019f2b1b-e4a7-7911-a401-1f277bf7368a","R6 incoming wake","incoming_delegation_received","record_incoming_mutual_wake","received_during_active_r3_732b_cycle","no_new_r3_source_fact_change"
