slug,pdf,page,png,width,height,mean_gray,stddev_gray,black_fraction,trim_box,trim_x,trim_y,trim_area_fraction,blankish,dark_or_inverted
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",1,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00001.png",745,1053,0.99372,0.06141,0.01523,479x404+0+0,0,0,0.24668,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",2,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00002.png",745,1053,0.99576,0.0504,0.01042,377x314+0+0,0,0,0.1509,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",3,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00003.png",745,1053,0.96816,0.1251,0.09077,567x659+0+0,0,0,0.4763,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",4,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00004.png",745,1053,0.94029,0.16605,0.17105,567x909+0+0,0,0,0.657,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",5,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00005.png",745,1053,0.94084,0.16465,0.17018,567x909+0+0,0,0,0.657,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",12,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00012.png",745,1053,0.95921,0.14101,0.11575,567x908+0+0,0,0,0.65627,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",22,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00022.png",745,1053,0.96527,0.13481,0.09392,567x837+0+0,0,0,0.60496,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",33,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00033.png",745,1053,0.98006,0.10526,0.05137,568x942+0+0,0,0,0.68205,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",43,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00043.png",745,1053,0.94827,0.15857,0.14418,568x942+0+0,0,0,0.68205,False,False
"00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft","00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft.pdf",54,"gauss_author_clean_refresh_strict_audit/sample_pages/00 Carl Friedrich Gauss - Werke, Band I - Modern LaTeX Draft/page_00054.png",745,1053,0.94993,0.15542,0.14125,567x909+0+0,0,0,0.657,False,False
