entry_id	physical_page	printed_page	kind	source_fact	decision	authority_sha256	status
A001	1		COPY_MATTER	Physical page 1 is the native NUMDAM/SMF cover. It gives Pierre Deligne, the article title, the parenthetical credit Rédigé par J. L. Brylinski, and the citation Mémoires de la S. M. F., 2e série, tome 2 (1980), p. 23-33. It identifies the NUMDAM item at http://www.numdam.org/item?id=MSMF_1980_2_2__23_0, states copyright Mémoires de la S. M. F., 1980, tous droits réservés, summarizes archive-access and reuse conditions, and records digitization under the Numérisation de documents anciens mathématiques programme.	The entire cover is recorded as copy matter and excluded from both article readers; no access, copyright, or digitization prose is imported into the article body.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A002	2	23	PUBLICATION	The article opens with SOCIÉTÉ MATHÉMATIQUE DE FRANCE; 2e série. Mémoire n° 2, 1980, p. 23-33.	Replayed as printed; the inherited Astérisque identification is rejected.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A002A	2	23	PAGE_FURNITURE	The article scans carry alternating running heads and the printed folios 23 through 33.	The edition preserves every source page boundary and records the physical-to-printed mapping; running heads and folios are treated as page furniture rather than repeated in the reader bodies.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A003	2	23	ROLE	Pierre Deligne is the author; the exact source credit is rédigé par J. L. Brylinski.	Brylinski remains source redactor, not coauthor; English uses “written up by”.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A004	3	24	NOTATION	The Betti Hodge decomposition uses H sub B and the p-comma-q Hodge summands. The analytic exact sequence carries the integral, Lie, and exp labels.	Symbols were checked against the authority; no modernization was made beyond legible typesetting.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A005	4	25	NOTATION	The printed Betti/de Rham comparison tensors both realizations with C and gives no tensor-over-Q subscript.	No scalar-field subscript was inserted; the candidate normalization is rejected.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A006	4	25	AMBIGUITY	The projection sentence reads gamma tensor x and subsequently x minus m.	Both readings are retained literally; no silent mathematical emendation was made.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A006A	4	25	SOURCE_READING	The Hodge-filtration display prints the strict index condition p-prime greater than p.	The strict sign is retained in both editions; the conventional weak inequality is not substituted.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A007	5	26	NOTATION	The Tate-motive comparisons and the exterior-square comparison omit scalar subscripts. The Legendre relation prints explicit multiplication points between omega and eta.	Replayed symbol for symbol, including the multiplication points.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A008	6	27	SOURCE_READING	Example 3 describes both period matrices as n by 2n, despite the adjacent g-indexing and a basis indexed through 2g. Its alternating-form and matrix identities also print explicit multiplication points.	The source reading n by 2n is retained without conjectural emendation; pairing commas, multiplication points, and the source order 2i pi are preserved.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A008A	6	27	WORDING	The source says S is the set of ces plongements complexes, not ses plongements complexes.	The diplomatic French retains ces; the English renders it literally as these complex embeddings rather than silently correcting the source.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A009	7	28	LAYOUT	The complete H-phi definition includes the C-factor indexed by sigma and both components of its Hodge type.	The display was rebroken over legible lines; no clause is clipped.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A010	7	28	NOTATION	On the sigma component of the de Rham realization, x in E acts through the inverse embedding sigma-inverse of x, not sigma of x.	The inverse-embedding reading is retained; the inherited candidate disagreement is logged.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A011	8	29	TABLE	Printed page 29 contains a two-column period/motive table with four numbered identities and four motive relations.	Recreated as a native two-column table; all entries checked.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A012	8	29	SOURCE_READING	After the table, the source uses the subscript K on p, although the preceding formula uses the subscript E.	The subscript K is retained without emendation; the apparent notation shift is recorded rather than corrected.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A013	9	30	NOTATION	The absolute-Hodge-cycle definition uses X with ell-adic coefficients and a Tate twist. It prints neither an etale subscript nor a base change to X over the algebraic closure.	French preserves the printed X notation, and English follows it; no base-change notation is inserted.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A014	10	31	LABEL	The source prints unnumbered Corollaire (Borovoï).	No automatic corollary number is generated.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A015	10	31	NOTATION	The Hodge group is the Zariski closure of the image of the multiplicative group under mu, and that same image occurs in the rational-function criterion.	The multiplicative-group notation is retained; it is not normalized to the nonzero complex numbers.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A016	11	32	PROOF_ENDING	The first proof ends with the explicit C.Q.F.D.; the second proof has no printed terminal symbol.	No automatic proof squares are added; English translates the explicit ending as Q.E.D.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
A017	11	32	INEQUALITY	The source gives strict upper and lower inequalities: dimension of G is less than g plus 1, and greater than 2 plus the base-2 logarithm of g.	The strict signs are retained; the candidate weak-inequality normalizations are rejected.	C8B618A1DA8B060E946C2FBCF6A1D36DB73E4F3841330F8822043C593B7F4ECE	COMPLETE
