dispatch_id,thread_id,thread_title,observed_status,action,reason,prompt_summary,management_visibility,boundary_note,sent_or_recorded_at
R9-WC-WAKE-0001,019f2b1b-b71d-7a13-8daa-f60f930faf65,Noether H - R9 Africa Horn West,active,current_thread_not_sent,Current R9 lane; package owner for this artifact,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0002,019f2b1b-76eb-76b2-9994-605163fe315b,Noether G - R7 Malay SEA Pacific,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0003,019f2b1a-c368-7072-a0b6-eb61614a7580,Noether C - Non-Slavic Core Lane,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0004,019f2b1c-0b86-7ef0-a2c0-54ba67a9ef0e,Noether J - R2 Pan-Turkic Blockers,active,wake_sent_and_latest_incoming_wake_received,Old checkpoint preview; latest user/delegation wake from this source thread reinforced whole-corpus objective,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0005,019f2b1b-443f-7d12-94b2-234a0710581e,Noether F - R3 Arabic Persianate LA,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0006,019f3329-ad9c-78a2-8255-5c23752caf73,Noether B3 - GitHub Package Steward,active,wake_sent,Packaging/stewardship lane; R9 continuation package path announced,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0007,019f2b1a-9ff1-7530-b677-82bd81bd2c83,Noether B - GitHub PR Branch Steward,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0008,019f2b1b-e4a7-7911-a401-1f277bf7368a,Noether I - R6 Indigenous Creole Sign,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0009,019f2b1c-9b41-71b3-8924-5d774941fb10,Noether L - Slavic Canonical Baseline,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0010,019f2b1b-09a8-7861-aa25-c87b6d5adf16,Noether E - CJK Native Source Evidence,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0011,019f2b1c-6412-7630-a8d7-11bd75a54bb9,Noether K - OLP Relation Function Support,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0012,019f2b1a-e5f6-7603-95c8-138242581298,Noether D - Whole-Corpus Interlanguage Fable Authority,active,wake_sent,Old checkpoint preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
R9-WC-WAKE-0013,019f2b3c-ba4c-7a20-adf3-b273a8b12f4c,Split Session C by CJK lane,active,wake_sent,Narrow split-lane preview,Whole-corpus continuation: produce source bodies/witness indexes/draft noncanonical support/Fable ledgers/blocker recovery/manifests/SHA/logbook; no approval/completion claims; B3 packages.,"local heartbeat/logbook/artifacts and B3 packaging, not GitHub Issues",coordination wake only; does not certify sibling completion,2026-07-06T03:30:00Z
