metric,value,notes
expansion_rows,70,scope x concept generated-draft/source-gated scaffold rows
scopes,10,coverage scopes
concepts_per_scope,7,Noether/math concept anchors per scope
scope_native_source_body_candidates,5,Amharic
scope_blocker_rows_carried,0,Amharic
scope_native_source_body_candidates,5,Afar
scope_blocker_rows_carried,0,Afar
scope_native_source_body_candidates,5,Somali
scope_blocker_rows_carried,9,Somali
scope_native_source_body_candidates,5,Oromo
scope_blocker_rows_carried,0,Oromo
scope_native_source_body_candidates,5,Tigrigna/Tigrinya
scope_blocker_rows_carried,0,Tigrigna/Tigrinya
scope_native_source_body_candidates,5,Hausa
scope_blocker_rows_carried,5,Hausa
scope_native_source_body_candidates,5,Igbo
scope_blocker_rows_carried,5,Igbo
scope_native_source_body_candidates,5,Yoruba/Wolof/Twi/Fulfulde/Mandinka
scope_blocker_rows_carried,0,Yoruba/Wolof/Twi/Fulfulde/Mandinka
scope_native_source_body_candidates,5,AF05 South Sudan
scope_blocker_rows_carried,1,AF05 South Sudan
scope_native_source_body_candidates,5,AF06 Omotic/Southern Non-Bantu
scope_blocker_rows_carried,1,AF06 Omotic/Southern Non-Bantu
