draft_row_id,source_artifact,gap_id,row_or_capture_id,language_or_packet,source_context_paths,source_context_anchor,target_rendering_or_placeholder,interlinear_or_scaffold,term_alternatives_or_status,formula_neighboring_usage_note,adverse_evidence_note,reviewer_question,source_use_label,source_gate_decision,promotion_allowed,accepted_translation_evidence,native_review_claimed
R9-DRAFT-SCAFFOLD-20260706-001,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00003,R9-LSB-0174,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-002,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00004,R9-LSB-0175,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-003,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00005,R9-LSB-0176,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-004,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00006,R9-LSB-0177,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-005,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00007,R9-LSB-0178,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-006,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00008,R9-LSB-0179,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-007,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00009,R9-LSB-0180,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-008,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00010,R9-LSB-0181,Somali,AHW-SB-00170:bodies/somali/source-pdfs/R9-LSB-0172_124_somali_math_g4_full_textbook_full_textbook_8acdba2e.pdf:ok | AHW-SB-00171:bodies/somali/source-pdfs/R9-LSB-0173_125_somali_math_g4_teacher_guide_teacher_guide_35dac8cd.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-009,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00011,R9-LSB-0190,Somali,AHW-SB-00186:bodies/somali/source-pdfs/R9-LSB-0197_149_somali_math_g6_full_textbook_full_textbook_a7b840d4.pdf:ok | AHW-SB-00187:bodies/somali/source-pdfs/R9-LSB-0198_150_somali_math_g6_teacher_guide_teacher_guide_751a59e6.pdf:ok,school-math context; exact term extraction required from full textbook/teacher-guide bodies,[Somali draft placeholder: formula-preserving school-math prose; reviewer/source extraction required],DE/EN concept -> Somali source-page phrase TBD -> formula unchanged -> reviewer note.,No stable extracted-text term hit recorded in this pass; use packaged Somali PDFs only after page extraction.,Formula symbols may remain unchanged; surrounding prose must be tied to extracted full-book/teacher-guide page evidence before any reviewer-facing rendering.,Do not infer Somali algebra/Noether terms from English/German labels or broken chapter URL names.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-010,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00014,R9-LSB-0317,Hausa,AHW-SB-00304:bodies/hausa/source-archives/R9-HAUSA-GH-ARCHIVE-001_FazamMV23_HausaMath_4c35f0abeb88.zip:ok | AHW-SB-00309:bodies/hausa/source-pdfs/R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf:ok | AHW-SB-01038:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf:ok | AHW-SB-01042:bodies/related-west-african/ocr-witnesses/hausa-igbo-context-recovery-20260705/hausa/114_120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.txt:ok | AHW-SB-01055:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/R9-LSB-0317_jse-144.pdf:ok | AHW-SB-01056:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/R9-LSB-0320_2061.pdf:ok | AHW-SB-01059:bodies/related-west-african/source-pdfs/hausa-igbo-exact-recovery-20260705/hausa/haske_math_lessons_english_hausa_numeracy_education_gov_ng.pdf:ok | AHW-SB-01060:bodies/related-west-african/ocr-witnesses/hausa-igbo-exact-recovery-20260705/hausa/haske_math_lessons_english_hausa_numeracy_education_gov_ng_first8pages_text_witness.txt:ok | AHW-SB-01061:bodies/related-west-african/source-pdfs/hausa-igbo-exact-recovery-20260705/hausa/ethnomathematics_mathematical_game_hausa_culture_v3i16.pdf:ok | AHW-SB-01062:bodies/related-west-african/ocr-witnesses/hausa-igbo-exact-recovery-20260705/hausa/ethnomathematics_mathematical_game_hausa_culture_v3i16_first8pages_text_witness.txt:ok,Lissafi/math public register; HausaMath archive; Hausa numeracy/ethnomathematics context bodies,[Hausa draft placeholder: lissafi/math-context prose only; algebra/Noether terms bracketed pending extraction],DE/EN concept -> Hausa source-anchor label if extracted -> bracketed alternative -> reviewer/source-return question.,Term search did not yield a source-verified exact Noether algebra term in this cycle; keep Lissafi/HausaMath as source-use anchors only.,Formula-neighboring notes may keep symbolic notation unchanged and mark Hausa prose around equality/number/count/algebra as extraction-required.,Do not accept aljabar/algebra forms unless located in a package body and reviewer/source-return permits use.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
R9-DRAFT-SCAFFOLD-20260706-011,R9_SOURCE_GATED_NONCANONICAL_PRETRANSLATION_SCAFFOLD_20260706.csv,AHW-GAP-00017,R9-LSB-0320,Hausa,AHW-SB-00304:bodies/hausa/source-archives/R9-HAUSA-GH-ARCHIVE-001_FazamMV23_HausaMath_4c35f0abeb88.zip:ok | AHW-SB-00309:bodies/hausa/source-pdfs/R9-HAUSA-IA-PDF-001_hawiki-Lissafi-20200722.pdf:ok | AHW-SB-01038:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.pdf:ok | AHW-SB-01042:bodies/related-west-african/ocr-witnesses/hausa-igbo-context-recovery-20260705/hausa/114_120_hausa_rana_read_alouds_www.fhi360.org_wp-content_uploads_drupal_documents_resource-rana-read-alouds.txt:ok | AHW-SB-01055:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/R9-LSB-0317_jse-144.pdf:ok | AHW-SB-01056:bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/R9-LSB-0320_2061.pdf:ok | AHW-SB-01059:bodies/related-west-african/source-pdfs/hausa-igbo-exact-recovery-20260705/hausa/haske_math_lessons_english_hausa_numeracy_education_gov_ng.pdf:ok | AHW-SB-01060:bodies/related-west-african/ocr-witnesses/hausa-igbo-exact-recovery-20260705/hausa/haske_math_lessons_english_hausa_numeracy_education_gov_ng_first8pages_text_witness.txt:ok | AHW-SB-01061:bodies/related-west-african/source-pdfs/hausa-igbo-exact-recovery-20260705/hausa/ethnomathematics_mathematical_game_hausa_culture_v3i16.pdf:ok | AHW-SB-01062:bodies/related-west-african/ocr-witnesses/hausa-igbo-exact-recovery-20260705/hausa/ethnomathematics_mathematical_game_hausa_culture_v3i16_first8pages_text_witness.txt:ok,Lissafi/math public register; HausaMath archive; Hausa numeracy/ethnomathematics context bodies,[Hausa draft placeholder: lissafi/math-context prose only; algebra/Noether terms bracketed pending extraction],DE/EN concept -> Hausa source-anchor label if extracted -> bracketed alternative -> reviewer/source-return question.,Term search did not yield a source-verified exact Noether algebra term in this cycle; keep Lissafi/HausaMath as source-use anchors only.,Formula-neighboring notes may keep symbolic notation unchanged and mark Hausa prose around equality/number/count/algebra as extraction-required.,Do not accept aljabar/algebra forms unless located in a package body and reviewer/source-return permits use.,"Which source-body phrase should be used near Noether/algebra/formula context, and is the register classroom, academic, or public encyclopedia?",generated-draft,draft_noncanonical_source_gated_not_accepted,false,false,false
