action_id,gap_id,row_or_capture_id,language_or_row,source_use_label,source_status,post_dump_bucket,build_type_after_dump,branch_weight_or_gap_note,upstream_dump_alignment,source_gate_decision,adverse_evidence_note,exact_local_hit_count,exact_package_hits,local_standard_register_decision,next_recovery_action,b3_package_root,supporting_recovery_ledger,upstream_extract_ledger,promotion_allowed,accepted_translation_evidence,native_review_claimed
R9-POSTDUMP-GAP-001,AHW-GAP-00003,R9-LSB-0174,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,16,support-metadata/gap-body-recovery-20260705/AHW-GAP-00003_R9-LSB-0174.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-002,AHW-GAP-00004,R9-LSB-0175,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00004_R9-LSB-0175.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-003,AHW-GAP-00005,R9-LSB-0176,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00005_R9-LSB-0176.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-004,AHW-GAP-00006,R9-LSB-0177,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00006_R9-LSB-0177.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-005,AHW-GAP-00007,R9-LSB-0178,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00007_R9-LSB-0178.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-006,AHW-GAP-00008,R9-LSB-0179,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00008_R9-LSB-0179.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-007,AHW-GAP-00009,R9-LSB-0180,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00009_R9-LSB-0180.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-008,AHW-GAP-00010,R9-LSB-0181,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,10,support-metadata/gap-body-recovery-20260705/AHW-GAP-00010_R9-LSB-0181.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-009,AHW-GAP-00011,R9-LSB-0190,Somali,pointer-only,rejected_non_pdf_payload_after_recovery_attempt,draft-ready-scoped-with-adverse-endpoint-and-full-book-context-only,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing_or_context_only,header may be PDF but payload signature is not %PDF; no body admitted,9,support-metadata/gap-body-recovery-20260705/AHW-GAP-00011_R9-LSB-0190.headers.json,Somali local-standard/register support; no Horn umbrella; full-book context allowed only as source-canon support until exact chapter/body gates close,"Locate alternate valid Somali chapter PDFs or source-owner return; if using full textbook/teacher-guide, cite page-extraction evidence before generated-draft support.",C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
R9-POSTDUMP-GAP-010,AHW-GAP-00014,R9-LSB-0317,Hausa,pointer-only,context_or_register_body_packaged_stronger_textbook_glossary_gate_still_open,source-canon-insufficient-active-recovery,separate local-standard/register/crosswalk support,weighted-rooted-tree method is used here as a negative guardrail: no pan-family bridge or umbrella receives witness mass from title/pointer/OCR-only evidence; exact source bodies get row-level weight only after source gates close,"PACKAGE344_345_C2_MAP_PATCH_QUEUE_20260704.csv:2:{""lane"": ""africa_horn_west"", ""hook_rows"": ""40"", ""category_counts"": ""{\""blocker_or_gap\"": 36, \""metadata_candidate\"": 4}"", ""top_concepts_or_topics"": ""[[\""tigrinya mathematics\"", 4], [\""amharic mathematics dataset\"", 3], [\""amharic algebra math\"", 3], [\""hausa lissafi mathematics\"", 3], [\""hausa math dataset\"", 3], [\""somali xisaab mathematics\"", 3], [\""oromo herrega mathematics\"", 3], [\""afar mathe | PACKAGE344_345_SOURCE_CANON_INTAKE_20260704.json:/c2_or_map_patch_queue/0:{""lane"": ""africa_horn_west"", ""hook_rows"": 40, ""category_counts"": {""blocker_or_gap"": 36, ""metadata_candidate"": 4}, ""top_concepts_or_topics"": [[""tigrinya mathematics"", 4], [""amharic mathematics dataset"", 3], [""amharic algebra math"", 3], [""hausa lissafi mathematics"", 3], [""hausa math dataset"", 3], [""somali xisaab mathematics"", 3], [""oromo herrega mathematics"", 3], [""afar mathematics qafar"", 3], [""yor",not_admitted_source_body_missing,no http URL on gap row,2,bodies/related-west-african/source-pdfs/hausa-igbo-context-recovery-20260705/hausa/R9-LSB-0317_jse-144.pdf | support-ledgers/hausa-igbo-context-recovery-20260705/hausa/R9_HAUSA_DIRECT_MATH_SOURCE_RETURN_PASS2_20260703T162646Z.csv | support-ledgers/hausa-igbo-context-recovery-20260705/hausa/R9_HAUSA_DIRECT_MATH_SOURCE_RETURN_PASS2_20260703T162646Z.json | support-ledgers/hausa-igbo-context-recovery-20260705/hausa/R9_HAUSA_DIRECT_MATH_SOURCE_RETURN_PASS2_20260703T162646Z.md | support-ledgers/hausa-igbo-context-recovery-20260705/hausa/R9_HAUSA_DIRECT_MATH_TERMINOLOGY_RETRY_20260703T153101Z.json | support-ledgers/hausa-igbo-context-recovery-20260705/hausa/R9_HAUSA_DIRECT_MATH_TERMINOLOGY_RETRY_20260703T153101Z.md,West African local-standard/register support; no Niger-Congo or pan-West-Africa umbrella; package context rows stay source-intake only,Recover literal source body for the exact row or route reviewer/source-owner return; keep title/comparator metadata out of translation evidence.,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_REMAINING_GAP_SOURCE_RETURN_ACTIVE_RECOVERY_20260706.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_INTERLANGUAGE_DUMP_R9_SOURCE_INTAKE_EXTRACT_20260706.csv,false,false,false
