metric,value,notes
source_manifest_rows,1071,language-source-bodies/africa-horn-west/MANIFEST.csv rows
explicit_gap_rows,21,language-source-bodies/africa-horn-west/GAP_ROWS.csv rows
all_row_status_rows,1092,manifest rows plus explicit gap rows
draft_pretranslation_interlinear_rows,58,source-gated/non-canonical rows consolidated from existing scaffold/reviewer support
exact_blocker_rows,21,active recovery blockers from current gaps
fable_source_use_adverse_update_rows,35,scope status + blockers + sibling boundary rows
coverage_scope_rows,10,R9 assigned/detected language scopes
manifest_source_use_label_count,623,audit-ledger
manifest_source_use_label_count,414,native-source-body
manifest_source_use_label_count,18,ocr-witness
manifest_source_use_label_count,8,image-witness
manifest_source_use_label_count,4,method-note
manifest_source_use_label_count,4,generated-draft
gap_language_count,9,Somali
gap_language_count,5,Hausa
gap_language_count,5,Igbo
gap_language_count,1,AF05 South Sudan: Dinka/Nuer/Zande
gap_language_count,1,AF06 Omotic/Southern Non-Bantu: Khoekhoegowab/Juhoansi
sibling_threads_visible,16,Noether query visible local threads including current
sibling_wake_prompts_sent,15,Whole-corpus continuation prompts sent in this turn
sibling_current_thread_not_sent,1,Current R9 lane logged but not sent background prompt
incoming_mutual_wake_recorded,1,Latest delegation from R2/Pan-Turkic source thread recorded into R9 coordinator ledger
source_backed_scope_pretranslation_expansion_rows,70,New source-backed concept scaffolds added in latest continuation
fable_update_rows_after_expansion,45,Fable source-use/adverse-evidence rows after expansion
