ledger_row_id,row_type,scope_or_gap,source_use_label,branch_weight_or_witness_note,marginal_intelligibility_note,adverse_evidence_note,do_not_use_or_boundary,next_action,supporting_artifact,promotion_allowed,accepted_translation_evidence
R9-WC-FABLE-0001,scope_source_use_status,Amharic,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-baseline-present; continue extraction/source-context/pretranslation support under non-canonical labels,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Use existing bodies for source-context/OCR Unicode triage and draft-only formula-neighboring support; keep license/review gates open.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0002,scope_source_use_status,Afar,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-baseline-present; continue extraction/source-context/pretranslation support under non-canonical labels,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Use existing bodies for source-context/OCR Unicode triage and draft-only formula-neighboring support; keep license/review gates open.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0003,scope_source_use_status,Somali,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-canon-incomplete-or-adverse; continue recovery plus draft-only scaffolds where context bodies exist,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Resolve invalid Somali chapter endpoints or source-owner returns; use full textbook/teacher-guide only with exact page extraction before draft support.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0004,scope_source_use_status,Oromo,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-baseline-present; continue extraction/source-context/pretranslation support under non-canonical labels,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Use existing bodies for source-context/OCR Unicode triage and draft-only formula-neighboring support; keep license/review gates open.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0005,scope_source_use_status,Tigrigna/Tigrinya,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-baseline-present; continue extraction/source-context/pretranslation support under non-canonical labels,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Use existing bodies for source-context/OCR Unicode triage and draft-only formula-neighboring support; keep license/review gates open.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0006,scope_source_use_status,Hausa,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-canon-incomplete-or-adverse; continue recovery plus draft-only scaffolds where context bodies exist,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Continue exact body recovery and source-owner/reviewer route search; title/comparator metadata cannot become translation evidence.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0007,scope_source_use_status,Igbo,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-canon-incomplete-or-adverse; continue recovery plus draft-only scaffolds where context bodies exist,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Continue exact body recovery and source-owner/reviewer route search; title/comparator metadata cannot become translation evidence.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0008,scope_source_use_status,Yoruba/Wolof/Twi/Fulfulde/Mandinka,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-baseline-present; continue extraction/source-context/pretranslation support under non-canonical labels,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Recover exact source bodies/OCR Unicode evidence and reviewer/authority gates; keep draft support non-canonical.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0009,scope_source_use_status,AF05 South Sudan,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-canon-incomplete-or-adverse; continue recovery plus draft-only scaffolds where context bodies exist,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Continue exact body recovery and source-owner/reviewer route search; title/comparator metadata cannot become translation evidence.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
R9-WC-FABLE-0010,scope_source_use_status,AF06 Omotic/Southern Non-Bantu,r9-source-use-scope-status,Source body rows can carry row-level witness support only; gap/pointer/OCR-only rows cannot cast pan-family bridge witness mass.,No R9 interlanguage intelligibility score is asserted; use local-standard/register support pending source and review gates.,source-canon-incomplete-or-adverse; continue recovery plus draft-only scaffolds where context bodies exist,"Do not claim pan-family bridge, native review, accepted terminology, source certification, or translation completion.",Continue exact body recovery and source-owner/reviewer route search; title/comparator metadata cannot become translation evidence.,R9_WHOLE_CORPUS_SCOPE_COVERAGE_AND_NEXT_ACTIONS_20260706.csv,false,false
