record_id,record_type,parent_id,child_ids,revision,revision_of,supersedes,superseded_by,volume,expose,unit,source_lines,printed_pages,physical_pages,running_pages,authority_sha256,source_reading,target_reading,disposition,evidence_path,evidence_sha256,evidence_bytes,target_tex_sha256,target_pdf_sha256,raw_cursor,substantive_cursor,difficulty,review_state,release_state,rights_state,archive_handoff,notes
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,fresh_independent_review,,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-AUTHORITY@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-TARGET@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-BUILD@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-TARGET-RENDER@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2005-P103@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2005-P104@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2008-P103@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2008-P104@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-BOUNDED-LOCATOR@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-FULLPAGE104@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-MACHINE-CSV@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-MACHINE-JSONL@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-R2-RETAINED@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-REVISION-CLOSURE@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-FAIL1@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-FAIL2@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-FORMULA@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-TERMINOLOGY@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-REJECTED@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-MANIFEST@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-RIGHTS@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-PRIVACY@1;SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-PRODUCER-ARTIFACT@1,1,,,,SGA2,X,Lemma3.6 proof locator R3 fresh review,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,complete bounded French proof and page-envelope controls,unchanged English target independently reviewed,PASS,INDEPENDENT_CORE_VALIDATION.json,E157F76C3278C8A3F18BD55972D2B3D378ABCC3474B49388436B2B847F012851,14106,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,high,fresh_independent_pass_pending_final_package,internal_not_for_release,mixed_internal_rights_gated,false,R3 evidence correction passes core and visual review; final machine/package controls pending
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-AUTHORITY@1,authority_control,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,French authority and bounded slice,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,authority and lines3522-3530 rehashed byte-exact,French authority unchanged,PASS,SOURCE_TARGET_INDEPENDENT_AUDIT.md,6E214AE40CBE43DE35F87AD2CEB60702355F439BDF4C59381C3B90B1600FADEA,2517,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,raw3531 blank; substantive3532 remarque
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-TARGET@1,target_identity,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,unchanged English target,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,source-aligned English target reviewed,TeX/PDF byte-identical to original and R2,PASS,SOURCE_TARGET_INDEPENDENT_AUDIT.md,6E214AE40CBE43DE35F87AD2CEB60702355F439BDF4C59381C3B90B1600FADEA,2517,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,working_english_translation_underlying_rights_retained,false,no target mutation in R3
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-BUILD@1,build_reproducibility,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,fresh independent build,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,three clean pdfLaTeX passes,decoded stream text raster and fonts agree,PASS,INDEPENDENT_CORE_VALIDATION.json,E157F76C3278C8A3F18BD55972D2B3D378ABCC3474B49388436B2B847F012851,14106,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,high,fresh_independent_pass_pending_final_package,internal_not_for_release,working_english_translation_underlying_rights_retained,false,binary PDF difference is timestamp-only
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-TARGET-RENDER@1,render_control,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,target visual QA,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,preserved and rebuilt target rendered at300dpi,no clipping overlap missing glyph or formula defect,PASS,INDEPENDENT_RENDER_VISUAL_QA.md,39256160527786B95FD688C65735DD59BAA27DC5A959C669500E65CCDF9E71C2,1658,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,working_english_translation_underlying_rights_retained,false,producer and independent rasters byte-identical
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2005-P103@1,source_locator,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,2005 same-lineage physical103,3522-3530,119-120,103,95,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,full page visibly spans printed119-120,bounded proof starts and crosses printed119-120,PASS,renders/SOURCE_2005_PHYSICAL_103_300DPI.png,E7CADBD5757D290531E39452E26081AE3FE70F5C676DF3261CF444C5F6070119,648035,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,manifestation/locator only
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2005-P104@1,source_locator,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,2005 same-lineage physical104,3530,120-121,104,96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,full page begins printed120 and crosses marker121,line3530 continuation remains printed120,PASS,renders/SOURCE_2005_PHYSICAL_104_300DPI.png,D9EC7F8CEC06B6569B764E3CEE8D7F0D06C7A6D265FEC17A686D364BE78EE60B,632532,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,transition=true; manifestation/locator only
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2008-P103@1,source_locator,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,2008 same-lineage physical103,3522-3530,119-120,103,95,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,full page visibly spans printed119-120,bounded proof starts and crosses printed119-120,PASS,renders/SOURCE_2008_PHYSICAL_103_300DPI.png,217B10F79C70E7B34F4F5C7CD3BBAC69D4D73422CFE03902C65A22DC490C0162,647762,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,manifestation/locator only
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-SOURCE-2008-P104@1,source_locator,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,2008 same-lineage physical104,3530,120-121,104,96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,full page begins printed120 and crosses marker121,line3530 continuation remains printed120,PASS,renders/SOURCE_2008_PHYSICAL_104_300DPI.png,1603B626747F56EF9B185243167D04C9D873E547713B9A746459E0C5618530AD,632500,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,transition=true; manifestation/locator only
SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW-BOUNDED-LOCATOR@1,locator_control,SGA2-X-L3522-L3530-L36P-LOCATOR-R3-IREVIEW@1,,1,,,,SGA2,X,bounded proof locator,3522-3530,119-120,103-104,95-96,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,French lines3522-3530 occupy printed119-120,bounded locator kept distinct from full page104,PASS,INDEPENDENT_LOCATOR_ANALYSIS.json,2D07AED0822055B935A5A516D5991C853FA225CF69AE06018986AE1ACF77E395,4150,F451600AF171DB989672478DF177D266B5282CE196C166EDEB554EA34291E26D,8D1280BF8E170787B7D6C883E564FB2733E9A918131B143BE90D1FE86110205E,3531,3532,focused,fresh_independent_pass_pending_final_package,internal_not_for_release,rights_gated_french_source_evidence,false,physical103-104/running95-96
