gate_id	scope	evidence	result	detail
G01	PRIMARY_IDENTITIES	output/pdf/Deligne_D026_FR.pdf; output/pdf/Deligne_D026_EN.pdf; output/source/Deligne_D026_Source.zip	PASS	FR=18pp/158175/B1881B512; EN=18pp/157369/1F6CD359; Source=37 members/1672532/2E75B938
G02	FINAL_MANIFEST_REPLAY	evidence/D026_FINAL_MANIFEST.tsv	PASS	94_OF_94_ROWS_REHASHED_BY_PRIOR_INDEPENDENT_PHASE
G03	INDEPENDENT_REBUILD	independent_gate/rebuild/compiled_epoch	PASS	FR_AND_EN_BYTE_IDENTICAL; APPARATUS_3PP_BUILD_PASS
G04	INDEPENDENT_SOURCE_REPACK	independent_gate/agent_hash/Deligne_D026_Source.repacked.zip	PASS	BYTE_IDENTICAL_SHA256_2E75B938386D3268AB8C519CF8F7F6001B11484C79AFC1E433623D4877E91CEA
G05	VISUAL_AUTHORITY	independent_gate/renders/authority	PASS	18_OF_18_PAGES_INSPECTED_ZERO_DEFECTS
G06	VISUAL_FRENCH	independent_gate/renders/fr	PASS	18_OF_18_PAGES_INSPECTED_ZERO_DEFECTS
G07	VISUAL_ENGLISH	independent_gate/renders/en	PASS	18_OF_18_PAGES_INSPECTED_ZERO_DEFECTS
G08	VISUAL_APPARATUS	independent_gate/renders/apparatus	PASS	3_OF_3_PAGES_INSPECTED_ZERO_DEFECTS
G09	PDF_STRUCTURE_FR	output/pdf/Deligne_D026_FR.pdf	PASS	18_A4_PAGES; ZERO_ROTATION; ZERO_ANNOTS/FORMS/JS/EMBEDDED_FILES; SAFE_INTERNAL_OPENACTION
G10	PDF_STRUCTURE_EN	output/pdf/Deligne_D026_EN.pdf	PASS	18_A4_PAGES; ZERO_ROTATION; ZERO_ANNOTS/FORMS/JS/EMBEDDED_FILES; SAFE_INTERNAL_OPENACTION
G11	BOOKMARKS_FR	output/pdf/Deligne_D026_FR.pdf	PASS	19_ENTRIES_TITLE_PLUS_PRINTED_FOLIOS_299_316; 72_NAMED_DESTINATIONS
G12	BOOKMARKS_EN	output/pdf/Deligne_D026_EN.pdf	PASS	19_ENTRIES_TITLE_PLUS_PRINTED_FOLIOS_299_316; 72_NAMED_DESTINATIONS
G13	FONT_EMBEDDING_FR	output/pdf/Deligne_D026_FR.pdf	PASS	6_OF_6_UNIQUE_FONTS_EMBEDDED_WITH_TOUNICODE
G14	FONT_EMBEDDING_EN	output/pdf/Deligne_D026_EN.pdf	PASS	6_OF_6_UNIQUE_FONTS_EMBEDDED_WITH_TOUNICODE
G15	FONT_EMBEDDING_APPARATUS	independent_gate/rebuild/compiled_epoch/Deligne_D026_APPARATUS.pdf	PASS	5_OF_5_UNIQUE_FONTS_EMBEDDED_WITH_TOUNICODE
G16	RAW_TEX_AND_PLACEHOLDER_SCAN	FR/EN/APPARATUS_EXTRACTED_TEXT; source/*.tex	PASS	92441_PDF_TEXT_CHARS; ZERO_RAW_TEX; ZERO_PLACEHOLDERS; ZERO_REPLACEMENT_CHARS; ZERO_PREFORMATTED_DUMPS
G17	COMPILE_LOG_SCAN	independent_gate/rebuild/compiled_epoch/*.log	PASS	ZERO_ERRORS; ZERO_LAYOUT_OR_MISSING_GLYPH_SIGNALS; ONLY_6_BENIGN_UNICODE_MATH_WARNING_LINES
G18	PUBLIC_CANDIDATE_SECURITY	output/source/Deligne_D026_Source.zip	PASS_ZERO_FINDINGS	38_ROOT_AND_MEMBER_OBJECTS; 4028791_BYTES_INCLUDING_PDF_TEXT/METADATA; 7_CONTROL_CLASSES
G19	SOURCE_ZIP_INTEGRITY	output/source/Deligne_D026_Source.zip	PASS	CRC_37_OF_37; SAFE_PATHS; FIXED_TIMES; MODE_0644; MANIFEST_36_OF_36
G20	RAW_PRIOR_ARCHIVE_LOCAL_PRESERVATION	input/expanded_state/salvage/30_UNTRUSTED_PRIOR_WORK_DELIGNE_D026.zip	PASS	64_MEMBERS_FULL_CRC_AND_LEDGER_REPLAY; SHA256_2DE877D7; EXCLUDED_LOCAL_ONLY
G21	RAW_PRIOR_LEDGER_LOCAL_PRESERVATION	input/expanded_state/control/PRIOR_WORK_LEDGER.tsv	PASS	64_ROWS_ZERO_ACCEPTED; SHA256_D3398F5B; EXCLUDED_FROM_PUBLIC_ZIP
G22	SANITIZED_LEDGER_DERIVATION	evidence/SANITIZED_ZERO_ACCEPTED_PRIOR_WORK_LEDGER.tsv	PASS	64_OF_64_EXACT_ROW_MAPPING; ZERO_SECURITY_FINDINGS; BYTE_IDENTICAL_IN_PUBLIC_ZIP
G23	PRESERVATION_IDENTITY_PROOF	evidence/ZERO_ACCEPTED_PRESERVATION_RECEIPT.json	PASS	EXACT_RAW_ARCHIVE_AND_LEDGER_IDENTITIES_RECORDED; BYTE_IDENTICAL_IN_PUBLIC_ZIP
G24	PRIVATE_CONTAINER_EXCLUSION	output/source/Deligne_D026_Source.zip	PASS	ZERO_RAW_PRIOR_ARCHIVE_OR_RAW_PRIOR_LEDGER_MEMBERS; SANITIZED_LEDGER_AND_RECEIPT_PRESENT
FINAL	D026_INDEPENDENT_PUBLICATION_GATE	independent_gate/D026_INDEPENDENT_PUBLICATION_GATE.json	PASS	PAPER_COMPLETE__READY_FOR_ORDERED_SPARSE_CORPUS_INTEGRATION; NO_PUBLICATION_ACTION_PERFORMED
