decision_id,source_term,target_choice,decision_status,evidence_channel,evidence_path_or_locator,competitors,adverse_channel,risk,next_review
P36-ID-T001,Idealdifferentiation,pendiferensialan ideal,compositional_candidate,"candidate: exact component string matches","Indonesian Glosarium 1993 lines 3049 and 4857; 2008 lines 2958 and 4759","diferensiasi ideal; diferensial ideal",none,"No exact compound witness; modern Indonesian may prefer diferensiasi",Indonesian algebra/domain review
P36-ID-T002,Differente,Differente,unresolved_source_term,"absence: no recovered Indonesian witness","Recovered Indonesian glossaries and algebra texts searched",none,"Unattested speculative forms rejected: diferens; ideal diferens; different ideal","Any translated form may conflate the different with differentiation",Algebraic-number-theory reviewer
P36-ID-T003,algebraischer Zahlkörper,medan bilangan aljabar,exact_string_candidate,"candidate: exact bilingual glossary string","Indonesian Glosarium 1993 line 533","lapangan bilangan aljabar",none,"Exact string match is not exact-sense or current-register validation",Indonesian number-theory review
P36-ID-T004,Differentialquotient,hasil bagi diferensial,normalized_string_candidate,"candidate: historical glossary string with modernized spacing","Indonesian Glosarium 1993 lines 3047-3049; 2008 lines 2955-2958","hasil-bagi diferensial; kuosien diferensial",none,"Historical glossary writes hasil-bagi; spacing was modernized and exact mathematical sense still requires review",Indonesian algebra/domain review
P36-ID-T005,Ideal,ideal,attested_candidate,"candidate: lexical and native-prose attestations","Indonesian Glosarium 1993 line 4857; UIN ring-theory text lines 1796-1825",none,"Malay unggulan is cross-target adverse evidence and is not inherited into Indonesian","Attestation does not by itself certify this algebraic-number-theory context",Indonesian register review
P36-ID-T006,definierendes Ideal,ideal yang mendefinisikan medan tersebut,cautious_periphrasis,"candidate: attested head plus compositional prose","Ideal attestation as T005; no exact compound witness","ideal pendefinisi; ideal definisi",none,"Explicit medan tersebut removes pronoun ambiguity but the mathematical relation needs domain review",Algebraic-number-theory reviewer
P36-ID-T007,Struktursätze,teorema-teorema struktur,compositional_candidate,"candidate: native theorem register plus ordinary component","UIN ring-theory text uses Teorema and proof prose; no exact phrase found","dalil-dalil struktur","Malay teorem is cross-target evidence and is not inherited into Indonesian","Exact compound absent",Indonesian algebra review
P36-ID-T008,Verallgemeinerung,perampatan,exact_string_candidate,"candidate: exact bilingual glossary string","Indonesian Glosarium 1993 lines 4361-4364",generalisasi,none,"Recovered native-form string is not automatic current-register authority",Indonesian register review
P36-ID-T009,Lagrangesche Interpolationsformel,rumus interpolasi Lagrange,exact_string_candidate,"candidate: exact bilingual glossary string","Indonesian Glosarium 1993 lines 5572-5575; 2008 lines 5484-5487","formula interpolasi Lagrange",none,"Exact string appears twice but still needs domain/register confirmation",Indonesian mathematics review
P36-ID-T010,Daß diese Definition mit der üblichen übereinstimmt,bahwa definisi ini bertepatan dengan definisi yang lazim,prose_translation,"translation judgment: no lexical authority claim","Direct German clause comparison","kesepadanan definisi ini dengan definisi yang lazim; sama dengan definisi biasa",none,"Bertepatan preserves the source's agreement claim without silently collapsing the two definitions",Indonesian prose review
P36-ID-T011,an sich interessanten,menarik secara tersendiri,prose_translation,"translation judgment: no lexical authority claim","Direct German clause comparison","menarik secara intrinsik; menarik dengan sendirinya",none,"Natural scholarly phrasing remains reviewable",Indonesian prose review
P36-ID-T012,soll ... erscheinen,akan dimuat,register_translation,"translation judgment: publication register","Direct German closing sentence","akan terbit; direncanakan muncul",none,"Dimuat fits an article appearing in a journal; modal nuance remains explicit future",Indonesian prose review
