printed_page	authority_pdf_page_1based	scope_pdf_page_1based	role	production_action	prior_bundle	initial_content_state	notes
63	80	1	REPRINT_TITLE_COPY_MATTER	EXCLUDE_FROM_AUTHOR_READERS_LOG_EXACTLY	R27_SCOPE_LABEL_ONLY	TOPOLOGY_VERIFIED_NO_AUTHOR_TEXT	Title leaf cites Crelle Journal Bd. 3 pp.35-69; not author-text production coverage.
64	81	2	BLANK_VERSO_COPY_MATTER	EXCLUDE_FROM_AUTHOR_READERS_LOG_EXACTLY	R27_SCOPE_LABEL_ONLY	TOPOLOGY_VERIFIED_NO_AUTHOR_TEXT	Blank leaf; retain topology, do not invent text.
65	82	3	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
66	83	4	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
67	84	5	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
68	85	6	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
69	86	7	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
70	87	8	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
71	88	9	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
72	89	10	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
73	90	11	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
74	91	12	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R27	UNVERIFIED_PRIOR_WORK	R27 witness physical pages 82-91; audit every inherited byte.
75	92	13	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
76	93	14	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
77	94	15	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
78	95	16	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
79	96	17	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
80	97	18	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	R28	UNVERIFIED_PRIOR_WORK	R28 witness physical pages 92-97; audit every inherited byte.
81	98	19	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
82	99	20	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
83	100	21	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
84	101	22	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
85	102	23	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
86	103	24	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
87	104	25	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
88	105	26	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
89	106	27	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
90	107	28	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
91	108	29	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
92	109	30	AUTHOR_TEXT_FRENCH	DIPLOMATIC_FR_PLUS_EN_PLUS_APPARATUS	NONE	UNTOUCHED	Transcribe and translate directly from authority.
