work,segment,source_range,status,tex_path,pdf_path,notes
SGA 1,existing English snapshot,existing source package snapshot,included,01_existing_translations_latex/SGA1_existing_english_from_jcreinhold.tex,01_existing_translations_latex/rendered_pdfs/SGA1_existing_english_from_jcreinhold_preview.pdf,Rendered PDF is a browsing/checking render of the existing translation snapshot.
SGA 2,existing English snapshot,existing source package snapshot,included,01_existing_translations_latex/SGA2_existing_english_from_jcreinhold.tex,01_existing_translations_latex/rendered_pdfs/SGA2_existing_english_from_jcreinhold_preview.pdf,Rendered PDF is a browsing/checking render of the existing translation snapshot.
SGA 3,existing English snapshot,existing source package snapshot,included,01_existing_translations_latex/SGA3_existing_english_from_jcreinhold.tex,01_existing_translations_latex/rendered_pdfs/SGA3_existing_english_from_jcreinhold_preview.pdf,Rendered PDF is a browsing/checking render of the existing translation snapshot.
SGA 4 Expose I,opening through Proposition 1.4,prior translation segment,included,02_new_translation_latex/SGA4_Expose_I_opening_sections_0_to_1_4_en.tex,02_new_translation_latex/SGA4_Expose_I_opening_sections_0_to_1_4_en.pdf,
SGA 4 Expose I,Sections 2--5,source lines 411--1738,included,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_2_to_5_en.tex,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_2_to_5_en.pdf,
SGA 4 Expose I,Sections 6--7,source lines 1739--2668,included,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_6_to_7_en.tex,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_6_to_7_en.pdf,
SGA 4 Expose I,Sections 8.1--8.6,source lines 2669--3796,included,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_1_to_8_6_en.tex,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_1_to_8_6_en.pdf,
SGA 4 Expose I,Sections 8.7--8.8,source lines 3797--4625,included,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_7_to_8_8_en.tex,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_7_to_8_8_en.pdf,
SGA 4 Expose I,Sections 8.9--8.13,source lines 4626--5804,new in translation segment,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_9_to_8_13_en.tex,02_new_translation_latex/translation segment/SGA4_Expose_I_sections_8_9_to_8_13_en.pdf,Completes Section 8 of Expose I.
SGA 4 Expose I,cumulative through Section 8.13,batches 001--005,cumulative render,,02_new_translation_latex/cumulative/SGA4_Expose_I_sections_0_to_8_13_cumulative_en.pdf,Current SGA 4 Expose I reading copy.
SGA 5,volume introduction opening,prior translation segment,included,02_new_translation_latex/SGA5_volume_introduction_opening_en.tex,02_new_translation_latex/SGA5_volume_introduction_opening_en.pdf,
SGA 5 Expose I,Section 1 dualizing complexes,parallel carried-forward draft,included,02_new_translation_latex/sga5_batch_002/SGA5_Expose_I_section_1_dualizing_complexes_en.tex,02_new_translation_latex/sga5_batch_002/SGA5_Expose_I_section_1_dualizing_complexes_en.pdf,
